case,contrast,can_id,field,a_value,b_value,a_purity,b_purity,a_samples,b_samples,score
ac_charge,charging_vs_unplugged_post,0x132,B1.b0,1,0,1.0,1.0,10499,4500,100.0
ac_charge,charging_vs_unplugged_post,0x132,B2.b6,0,1,1.0,1.0,10499,4500,100.0
ac_charge,charging_vs_unplugged_post,0x132,B3.b0,0,1,1.0,1.0,10499,4500,100.0
ac_charge,charging_vs_unplugged_post,0x132,B3.b1,0,1,1.0,1.0,10499,4500,100.0
ac_charge,charging_vs_unplugged_post,0x132,B3.b2,0,1,1.0,1.0,10499,4500,100.0
ac_charge,charging_vs_unplugged_post,0x132,B3.b3,0,1,1.0,1.0,10499,4500,100.0
ac_charge,charging_vs_unplugged_post,0x132,B3.b4,0,1,1.0,1.0,10499,4500,100.0
ac_charge,charging_vs_unplugged_post,0x132,B3.b5,0,1,1.0,1.0,10499,4500,100.0
ac_charge,charging_vs_unplugged_post,0x132,B3.b6,0,1,1.0,1.0,10499,4500,100.0
ac_charge,charging_vs_unplugged_post,0x132,B3.b7,0,1,1.0,1.0,10499,4500,100.0
ac_charge,charging_vs_unplugged_post,0x132,B4.b7,1,0,1.0,1.0,10499,4500,100.0
ac_charge,charging_vs_unplugged_post,0x132,B5.b0,1,0,1.0,1.0,10499,4500,100.0
ac_charge,charging_vs_unplugged_post,0x204,B0.b0,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B0.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B0.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B0.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B0.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B1.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B1.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B2.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B2.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B2.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B3.b3,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B3.b4,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B3.b5,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B3.b7,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B4.b7,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B5.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B5.b7,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x204,B7.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x20A,B5.b4,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x20C,B2.b0,0,1,1.0,1.0,1049,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B0.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B1.b3,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B1.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B2.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B3.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B4.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B5.b0,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B5.b1,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B5.b5,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B5.b6,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B5.b7,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B6.b0,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B6.b1,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B6.b2,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B6.b6,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B7.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x212,B7.b5,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B0.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B0.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B0.b3,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B0.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B1.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B2.b0,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B2.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B2.b2,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B2.b4,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B3.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B4.b7,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B6.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x21D,B6.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x228,B3.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x228,B3.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x228,B5.b7,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x228,B7.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x228,B7.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x22A,B2.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x22A,B2.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x232,B0.b6,0,1,1.0,1.0,104,45,100.0
ac_charge,charging_vs_unplugged_post,0x232,B1.b1,1,0,1.0,1.0,104,45,100.0
ac_charge,charging_vs_unplugged_post,0x241,B0.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x241,B1.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x241,B2.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x241,B2.b3,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x241,B2.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x241,B3.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x241,B4.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x241,B4.b7,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x241,B5.b1,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x241,B5.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x24A,B0.b1,0,1,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x252,B1.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B1.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B1.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B2.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B2.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B2.b3,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B2.b4,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B2.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B3.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B3.b1,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B4.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B4.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B4.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B4.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B4.b7,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B5.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B5.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x252,B6.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x25D,B0.b2,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x25D,B0.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x25D,B1.b6,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x25D,B1.b7,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x25D,B2.b3,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x25D,B2.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x25D,B3.b1,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x25D,B3.b3,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x25D,B3.b4,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x25D,B3.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x25D,B3.b7,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x25D,B5.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x264,B1.b3,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x264,B1.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x264,B2.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x264,B2.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x264,B2.b7,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x264,B3.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x264,B4.b5,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x264,B4.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x264,B4.b7,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x264,B5.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x273,B4.b2,1,0,1.0,1.0,210,90,100.0
ac_charge,charging_vs_unplugged_post,0x273,B4.b4,1,0,1.0,1.0,210,90,100.0
ac_charge,charging_vs_unplugged_post,0x273,B4.b5,1,0,1.0,1.0,210,90,100.0
ac_charge,charging_vs_unplugged_post,0x273,B4.b6,0,1,1.0,1.0,210,90,100.0
ac_charge,charging_vs_unplugged_post,0x288,B3.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x288,B3.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x288,B5.b7,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x288,B7.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x288,B7.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x292,B6.b7,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2A4,B2.b1,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x2A4,B6.b7,0,1,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x2A7,B5.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2A8,B5.b7,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2AA,B0.b3,0,1,1.0,1.0,1050,449,100.0
ac_charge,charging_vs_unplugged_post,0x2AA,B0.b6,1,0,1.0,1.0,1050,449,100.0
ac_charge,charging_vs_unplugged_post,0x2AA,B2.b3,0,1,1.0,1.0,1050,449,100.0
ac_charge,charging_vs_unplugged_post,0x2D2,B0.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2D2,B2.b3,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2D2,B4.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2D2,B4.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2D2,B5.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2D2,B5.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2D2,B6.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2D2,B6.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2D2,B6.b3,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2D2,B6.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2D2,B6.b7,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2D3,B0.b1,0,1,1.0,1.0,211,90,100.0
ac_charge,charging_vs_unplugged_post,0x2D3,B4.b0,1,0,1.0,1.0,211,90,100.0
ac_charge,charging_vs_unplugged_post,0x2D3,B5.b1,1,0,1.0,1.0,211,90,100.0
ac_charge,charging_vs_unplugged_post,0x2D3,B5.b2,1,0,1.0,1.0,211,90,100.0
ac_charge,charging_vs_unplugged_post,0x2D3,B5.b3,1,0,1.0,1.0,211,90,100.0
ac_charge,charging_vs_unplugged_post,0x2D3,B5.b4,1,0,1.0,1.0,211,90,100.0
ac_charge,charging_vs_unplugged_post,0x2D3,B5.b5,1,0,1.0,1.0,211,90,100.0
ac_charge,charging_vs_unplugged_post,0x2D3,B5.b6,1,0,1.0,1.0,211,90,100.0
ac_charge,charging_vs_unplugged_post,0x2D3,B5.b7,1,0,1.0,1.0,211,90,100.0
ac_charge,charging_vs_unplugged_post,0x2D3,B6.b0,1,0,1.0,1.0,211,90,100.0
ac_charge,charging_vs_unplugged_post,0x2E8,B5.b7,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2EC,B0.b3,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2EC,B0.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x2EC,B2.b3,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x318,B5.b2,0,1,1.0,1.0,1049,450,100.0
ac_charge,charging_vs_unplugged_post,0x321,B1.b4,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x321,B1.b5,0,1,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x32A,B2.b7,0,1,1.0,1.0,21,9,100.0
ac_charge,charging_vs_unplugged_post,0x32A,B3.b0,0,1,1.0,1.0,21,9,100.0
ac_charge,charging_vs_unplugged_post,0x32A,B3.b1,0,1,1.0,1.0,21,9,100.0
ac_charge,charging_vs_unplugged_post,0x32A,B3.b2,0,1,1.0,1.0,21,9,100.0
ac_charge,charging_vs_unplugged_post,0x32A,B3.b3,0,1,1.0,1.0,21,9,100.0
ac_charge,charging_vs_unplugged_post,0x333,B1.b4,0,1,1.0,1.0,210,90,100.0
ac_charge,charging_vs_unplugged_post,0x333,B1.b5,1,0,1.0,1.0,210,90,100.0
ac_charge,charging_vs_unplugged_post,0x33A,B0.b1,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x33A,B0.b2,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x33A,B0.b3,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x33A,B0.b4,0,1,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x348,B3.b0,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x348,B3.b1,0,1,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x353,B6.b0,0,1,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x364,B0.b2,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x364,B0.b3,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x364,B0.b4,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x364,B0.b5,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x364,B1.b1,0,1,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x364,B1.b3,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x364,B1.b4,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x364,B1.b5,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x364,B1.b6,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x364,B1.b7,0,1,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x364,B2.b1,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x383,B2.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x3F5,B2.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x3F5,B2.b4,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x3F5,B2.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x3F5,B2.b6,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x401,B3.b0,1,0,1.0,1.0,3779,1620,100.0
ac_charge,charging_vs_unplugged_post,0x41D,B0.b6,0,1,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x43D,B0.b0,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x43D,B0.b2,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x43D,B0.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x43D,B1.b6,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x43D,B5.b1,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x43D,B5.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x472,B4.b4,1,0,1.0,1.0,105,45,100.0
ac_charge,charging_vs_unplugged_post,0x49D,B6.b5,1,0,1.0,1.0,1050,450,100.0
ac_charge,charging_vs_unplugged_post,0x782,B0.b6,0,1,1.0,1.0,39,16,100.0
ac_charge,charging_vs_unplugged_pre,0x132,B1.b0,1,0,1.0,1.0,10499,2500,100.0
ac_charge,charging_vs_unplugged_pre,0x132,B2.b6,0,1,1.0,1.0,10499,2500,100.0
ac_charge,charging_vs_unplugged_pre,0x132,B3.b0,0,1,1.0,1.0,10499,2500,100.0
ac_charge,charging_vs_unplugged_pre,0x132,B3.b1,0,1,1.0,1.0,10499,2500,100.0
ac_charge,charging_vs_unplugged_pre,0x132,B3.b2,0,1,1.0,1.0,10499,2500,100.0
ac_charge,charging_vs_unplugged_pre,0x132,B3.b3,0,1,1.0,1.0,10499,2500,100.0
ac_charge,charging_vs_unplugged_pre,0x132,B3.b4,0,1,1.0,1.0,10499,2500,100.0
ac_charge,charging_vs_unplugged_pre,0x132,B3.b5,0,1,1.0,1.0,10499,2500,100.0
ac_charge,charging_vs_unplugged_pre,0x132,B3.b6,0,1,1.0,1.0,10499,2500,100.0
ac_charge,charging_vs_unplugged_pre,0x132,B3.b7,0,1,1.0,1.0,10499,2500,100.0
ac_charge,charging_vs_unplugged_pre,0x132,B4.b7,1,0,1.0,1.0,10499,2500,100.0
ac_charge,charging_vs_unplugged_pre,0x132,B5.b0,1,0,1.0,1.0,10499,2500,100.0
ac_charge,charging_vs_unplugged_pre,0x204,B0.b0,0,1,1.0,1.0,1050,250,100.0
ac_charge,charging_vs_unplugged_pre,0x204,B0.b1,1,0,1.0,1.0,1050,250,100.0
ac_charge,charging_vs_unplugged_pre,0x204,B0.b2,1,0,1.0,1.0,1050,250,100.0
