case,contrast,can_id,field,a_mode,b_mode,a_purity,b_purity,a_unique,b_unique,a_median,b_median,effect_size,a_samples,b_samples,score
hvac,on_vs_off_post,0x1FA,B0,26,2,1.0,1.0,1,1,26.0,2.0,2.18218,2800,1200,96.704
hvac,on_vs_off_post,0x253,B2,52,57,1.0,1.0,1,1,52.0,57.0,2.18296,1122,480,96.704
hvac,on_vs_off_post,0x253,B3,133,63,1.0,1.0,1,1,133.0,63.0,2.18296,1122,480,96.704
hvac,on_vs_off_post,0x253,B5,98,145,1.0,1.0,1,1,98.0,145.0,2.18296,1122,480,96.704
hvac,on_vs_off_post,0x253,B6,0,4,1.0,1.0,1,1,0.0,4.0,2.18296,1122,480,96.704
hvac,on_vs_off_post,0x2A1,B5,1,0,1.0,1.0,1,1,1.0,0.0,2.18218,2800,1200,96.704
hvac,on_vs_off_post,0x2A7,B7,129,132,1.0,1.0,1,1,129.0,132.0,2.18218,2800,1200,96.704
hvac,on_vs_off_post,0x2BF,B5,24,0,1.0,1.0,1,1,24.0,0.0,2.18218,1400,600,96.704
hvac,on_vs_off_post,0x2D3,B4,65,64,1.0,1.0,1,1,65,64.0,2.18244,565,242,96.704
hvac,on_vs_off_post,0x2F3,B3,4,128,1.0,1.0,1,1,4,128.0,2.21597,603,240,96.704
hvac,on_vs_off_post,0x323,B4,4,2,1.0,1.0,1,1,4.0,2.0,2.18218,280,120,96.704
hvac,on_vs_off_post,0x361,B3,4,3,1.0,1.0,1,1,4.0,3.0,2.18218,280,120,96.704
hvac,on_vs_off_post,0x421,B0,176,0,1.0,1.0,1,1,176.0,0.0,2.18218,2800,1200,96.704
hvac,on_vs_off_pre,0x1FA,B0,26,2,1.0,1.0,1,1,26.0,2.0,3.02372,2800,400,96.704
hvac,on_vs_off_pre,0x2A1,B5,1,0,1.0,1.0,1,1,1.0,0.0,3.02372,2800,400,96.704
hvac,on_vs_off_pre,0x2A7,B7,129,132,1.0,1.0,1,1,129.0,132.0,3.02372,2800,400,96.704
hvac,on_vs_off_pre,0x2BF,B5,24,0,1.0,1.0,1,1,24.0,0.0,3.02372,1400,200,96.704
hvac,on_vs_off_pre,0x2D3,B4,65,66,1.0,1.0,1,1,65,66,3.01971,565,81,96.704
hvac,on_vs_off_pre,0x2D3,B7,99,100,1.0,1.0,1,1,99,100,3.01971,565,81,96.704
hvac,on_vs_off_pre,0x2F3,B3,4,0,1.0,1.0,1,1,4,0.0,3.10969,603,80,96.704
hvac,on_vs_off_pre,0x321,B2,169,168,1.0,1.0,1,1,169.0,168.0,3.02372,280,40,96.704
hvac,on_vs_off_pre,0x323,B4,4,2,1.0,1.0,1,1,4.0,2.0,3.02372,280,40,96.704
hvac,on_vs_off_pre,0x361,B3,4,3,1.0,1.0,1,1,4.0,3.0,3.02372,280,40,96.704
hvac,on_vs_off_pre,0x383,B0,171,169,1.0,1.0,1,1,171.0,169.0,3.02372,2800,400,96.704
hvac,on_vs_off_pre,0x421,B0,176,0,1.0,1.0,1,1,176.0,0.0,3.02372,2800,400,96.704
hvac,on_vs_off_pre,0x422,B0,112,240,1.0,1.0,1,1,112.0,240.0,3.02372,2800,400,96.704
hvac,on_vs_off_post,0x323,B3,3,2,0.96071,1.0,3,1,3.0,2.0,2.05481,280,120,92.815
hvac,on_vs_off_pre,0x323,B3,3,2,0.96071,1.0,3,1,3.0,2.0,2.64511,280,40,92.815
hvac,on_vs_off_post,0x323,B0,63,60,0.95357,1.0,3,1,63.0,60.0,2.1637,280,120,92.386
hvac,on_vs_off_pre,0x323,B0,63,60,0.95357,1.0,3,1,63.0,60.0,2.96334,280,40,92.386
hvac,on_vs_off_pre,0x452,B0,223,224,0.925,1.0,2,1,223.0,224.0,2.48526,280,40,91.341
hvac,on_vs_off_post,0x452,B0,223,222,0.925,1.0,2,1,223.0,222.0,1.93616,280,120,90.064
hvac,on_vs_off_pre,0x361,B4,2,1,0.9,1.0,3,1,2.0,1.0,2.20288,280,40,89.172
hvac,on_vs_off_pre,0x32A,B1,125,126,0.85714,1.0,2,1,125.0,126.0,2.28571,56,8,87.27
hvac,on_vs_off_post,0x361,B4,2,1,0.9,1.0,3,1,2.0,1.0,1.86547,280,120,86.481
hvac,on_vs_off_post,0x32A,B1,125,126,0.85714,1.0,2,1,125.0,126.0,1.90476,56,24,85.365
hvac,on_vs_off_pre,0x528,B2,151,150,0.83929,1.0,2,1,151.0,150.0,1.90027,280,40,84.204
hvac,on_vs_off_post,0x528,B2,151,152,0.83929,1.0,2,1,151.0,152.0,1.88954,280,120,83.989
hvac,on_vs_off_post,0x33A,B2,99,83,0.83571,1.0,2,1,99.0,83.0,1.69612,280,120,79.906
hvac,on_vs_off_pre,0x2D3,B5,3,1,0.72389,1.0,2,1,3,1,2.43621,565,81,79.275
hvac,on_vs_off_pre,0x353,B7,5,254,0.70714,1.0,2,1,5.0,254.0,3.02368,280,40,78.27
hvac,on_vs_off_pre,0x2A7,B5,136,140,0.73893,0.745,2,2,136.0,140.0,1.82695,2800,400,76.046
hvac,on_vs_off_post,0x361,B0,54,52,0.67857,1.0,3,1,54.0,52.0,2.02604,280,120,75.886
hvac,on_vs_off_pre,0x361,B0,54,52,0.67857,1.0,3,1,54.0,52.0,2.57009,280,40,75.886
hvac,on_vs_off_post,0x321,B3,138,140,0.68571,0.99167,3,2,138.0,140.0,1.93585,280,120,74.485
hvac,on_vs_off_pre,0x292,B0,69,71,0.62071,1.0,2,1,69.0,71.0,2.30756,2800,400,73.084
hvac,on_vs_off_post,0x348,B3,8,9,0.66071,1.0,2,1,8.0,9.0,1.83344,280,120,72.153
hvac,on_vs_off_post,0x292,B0,69,68,0.62071,0.93,2,2,69.0,68.0,1.77463,2800,1200,67.907
hvac,on_vs_off_post,0x2F3,B0,11,16,0.64179,1.0,6,1,11,16.0,1.78177,603,240,67.904
hvac,on_vs_off_pre,0x282,B5,52,19,0.54377,1.0,3,1,52,19.0,2.27304,2799,400,67.798
hvac,on_vs_off_pre,0x353,B6,1,253,0.70714,1.0,2,1,1.0,253.0,1.44344,280,40,67.139
hvac,on_vs_off_post,0x20C,B5,161,192,0.54519,0.99167,4,2,161,192.0,1.94094,2799,1200,65.693
hvac,on_vs_off_post,0x452,B1,148,152,0.56786,0.94167,2,2,148.0,152.0,1.79679,280,120,65.179
hvac,on_vs_off_pre,0x2D3,B0,226,224,0.48319,0.65432,4,2,226,224,2.23155,565,81,63.153
hvac,on_vs_off_post,0x292,B2,13,253,0.66893,1.0,3,1,13.0,253.0,1.36012,2800,1200,62.51
hvac,on_vs_off_pre,0x348,B3,8,7,0.66071,1.0,2,1,8.0,7.0,1.33786,280,40,62.241
hvac,on_vs_off_post,0x2D3,B5,3,2,0.72389,0.55785,2,2,3,2.0,1.65009,565,242,61.645
hvac,on_vs_off_post,0x241,B5,87,69,0.63737,1.0,3,1,87,69,1.40845,2799,1199,61.583
hvac,on_vs_off_post,0x2D3,B0,226,228,0.48319,0.6281,4,2,226,228.0,1.90033,565,242,61.16
hvac,on_vs_off_post,0x3F5,B2,85,59,0.56221,1.0,25,1,85,59.0,1.85344,2821,1200,60.914
hvac,on_vs_off_pre,0x22A,B2,41,41,0.94286,0.6425,2,2,41.0,41.0,1.3477,2800,400,60.676
hvac,on_vs_off_pre,0x383,B7,90,92,0.41429,1.0,4,1,90.0,92.0,2.23681,2800,400,59.482
hvac,on_vs_off_pre,0x332,B0,24,24,0.5,0.475,4,4,24.0,28.5,1.85436,280,40,58.996
hvac,on_vs_off_pre,0x2B4,B2,211,220,0.42929,0.94,6,3,212.0,220.0,2.84667,2800,400,58.849
hvac,on_vs_off_post,0x252,B2,143,144,0.62536,1.0,2,1,143.0,144.0,1.26052,2800,1200,58.573
hvac,on_vs_off_pre,0x252,B2,143,144,0.62536,1.0,2,1,143.0,144.0,1.25632,2800,400,58.489
hvac,on_vs_off_post,0x273,B4,85,59,0.52288,1.0,27,1,85.0,59.0,1.8456,612,240,58.183
hvac,on_vs_off_pre,0x33A,B3,173,181,0.62143,1.0,2,1,173.0,181.0,1.24764,280,40,58.08
hvac,on_vs_off_pre,0x292,B1,119,131,0.61071,1.0,2,1,119.0,131.0,1.22433,2800,400,56.97
hvac,on_vs_off_post,0x383,B7,90,87,0.41429,0.855,4,2,90.0,87.0,1.89263,2800,1200,56.872
hvac,on_vs_off_pre,0x2F3,B0,11,14,0.64179,1.0,6,1,11,14.0,1.20972,603,80,56.464
hvac,on_vs_off_post,0x20C,B7,12,0,0.35906,1.0,5,1,16,0.0,2.05978,2799,1200,55.706
hvac,on_vs_off_pre,0x20C,B7,12,0,0.35906,1.0,5,1,16,0.0,2.65847,2799,400,55.706
hvac,on_vs_off_post,0x2D3,B6,30,29,0.58761,1.0,2,1,30,29.0,1.19412,565,242,54.98
hvac,on_vs_off_post,0x253,B7,5,21,0.58645,1.0,2,1,5.0,21.0,1.19206,1122,480,54.869
hvac,on_vs_off_post,0x282,B3,7,0,0.35727,1.0,7,1,10,0.0,2.01972,2799,1200,54.845
hvac,on_vs_off_pre,0x282,B3,7,0,0.35727,1.0,7,1,10,0.0,2.55407,2799,400,54.845
hvac,on_vs_off_pre,0x253,B7,5,21,0.58645,1.0,2,1,5.0,21.0,1.17332,1122,160,54.495
hvac,on_vs_off_post,0x2C7,B6,70,67,0.36214,0.72583,4,2,71.0,67.0,1.92324,2800,1200,54.356
hvac,on_vs_off_post,0x282,B0,100,0,0.35656,1.0,11,1,124,0.0,2.06256,2799,1200,53.699
hvac,on_vs_off_pre,0x282,B0,100,0,0.35656,1.0,11,1,124,0.0,2.66596,2799,400,53.699
hvac,on_vs_off_pre,0x2A4,B7,67,59,0.32143,1.0,5,1,67.0,59.0,2.73092,280,40,53.448
hvac,on_vs_off_pre,0x282,B6,19,11,0.42229,1.0,4,1,27,11.0,1.67125,2799,400,53.387
hvac,on_vs_off_post,0x292,B4,210,209,0.56393,1.0,2,1,210.0,209.0,1.15371,2800,1200,52.751
hvac,on_vs_off_pre,0x452,B1,148,144,0.56786,1.0,2,1,148.0,144.0,1.13574,280,40,52.627
hvac,on_vs_off_post,0x292,B3,54,245,0.56393,1.0,3,1,54.0,245.0,1.15166,2800,1200,52.041
hvac,on_vs_off_post,0x282,B5,52,35,0.54377,1.0,3,1,52,35.0,1.21043,2799,1200,52.006
hvac,on_vs_off_pre,0x2A4,B3,239,229,0.31071,0.975,7,2,238.0,229.0,2.65706,280,40,51.735
hvac,on_vs_off_pre,0x282,B1,248,0,0.35798,1.0,26,1,228,0.0,2.38166,2799,400,51.482
hvac,on_vs_off_pre,0x2F3,B2,6,2,0.5141,1.0,6,1,6,2.0,1.33373,603,80,51.282
hvac,on_vs_off_post,0x282,B6,19,11,0.42229,1.0,4,1,27,11.0,1.5638,2799,1200,51.238
hvac,on_vs_off_pre,0x289,B1,16,2,0.35571,1.0,17,1,24.0,2.0,1.90989,2800,400,50.707
hvac,on_vs_off_pre,0x400,B0,0,202,0.76821,0.5975,10,7,0.0,202.0,1.17348,2800,400,50.648
hvac,on_vs_off_post,0x282,B1,248,0,0.35798,1.0,26,1,228,0.0,1.94795,2799,1200,50.441
hvac,on_vs_off_post,0x33A,B3,173,173,0.62143,1.0,2,1,173.0,173.0,0.85779,280,120,50.283
hvac,on_vs_off_post,0x38B,B6,37,37,0.5089,0.74167,3,2,37,37.0,1.24749,281,120,50.108
hvac,on_vs_off_post,0x2F3,B7,0,0,0.61692,1.0,2,1,0,0.0,0.8589,603,240,50.034
hvac,on_vs_off_post,0x292,B1,119,119,0.61071,1.0,2,1,119.0,119.0,0.87432,2800,1200,49.97
hvac,on_vs_off_pre,0x262,B5,112,176,0.53214,1.0,2,1,112.0,176.0,1.06681,280,40,49.106
hvac,on_vs_off_pre,0x262,B6,82,146,0.53214,1.0,2,1,82.0,146.0,1.06681,280,40,49.106
hvac,on_vs_off_pre,0x2F3,B7,0,0,0.61692,1.0,2,1,0,0.0,0.80973,603,80,49.051
hvac,on_vs_off_pre,0x324,B2,6,3,0.23571,1.0,5,1,7.0,3.0,2.19766,280,40,48.305
hvac,on_vs_off_pre,0x2D3,B6,30,30,0.58761,1.0,2,1,30,30,0.85879,565,81,48.274
hvac,on_vs_off_post,0x262,B5,112,112,0.53214,1.0,2,1,112.0,112.0,0.99692,280,120,47.708
hvac,on_vs_off_post,0x262,B6,82,82,0.53214,1.0,2,1,82.0,82.0,0.99692,280,120,47.708
hvac,on_vs_off_post,0x20C,B6,56,8,0.50947,1.0,2,1,56,8.0,1.06362,2799,1200,47.682
hvac,on_vs_off_pre,0x292,B4,210,210,0.56393,1.0,2,1,210.0,210.0,0.89769,2800,400,47.631
hvac,on_vs_off_post,0x312,B5,141,141,0.5,0.5,12,5,141.0,167.0,1.2892,560,240,47.113
hvac,on_vs_off_pre,0x20C,B6,56,8,0.50947,1.0,2,1,56,8.0,1.02498,2799,400,46.909
hvac,on_vs_off_post,0x3C3,B4,0,0,0.5,1.0,2,1,64.0,0.0,1.04828,2800,1200,46.807
hvac,on_vs_off_pre,0x292,B2,13,29,0.66893,1.0,3,1,13.0,29.0,0.57339,2800,400,46.775
hvac,on_vs_off_pre,0x318,B5,52,49,0.21436,0.8625,5,2,53,49.0,2.22456,2799,400,46.623
hvac,on_vs_off_pre,0x61D,B0,25,22,0.21429,0.8125,5,2,26.0,22.0,2.22778,560,80,46.619
hvac,on_vs_off_pre,0x3C3,B4,0,0,0.5,1.0,2,1,64.0,0.0,1.00791,2800,400,45.999
hvac,on_vs_off_post,0x324,B2,6,11,0.23571,0.55,5,3,7.0,11.0,1.91159,280,120,45.783
hvac,on_vs_off_pre,0x312,B5,141,89,0.5,0.5,12,2,141.0,115.0,1.17921,560,80,45.46
