session_id,can_id,field,expected_on_direction,on_event_s,on_transition_s,on_before,on_after,on_direction_match,on_delay_s,expected_off_direction,off_event_s,off_transition_s,off_before,off_after,off_direction_match,off_delay_s,total_full_session_transitions
S0014,0x1FA,B0.b3,0->1,60.047898,60.6427,0,1,True,0.594802,1->0,160.054814,160.6503,1,0,True,0.595486,2
S0014,0x1FA,B0.b4,0->1,60.047898,60.6427,0,1,True,0.594802,1->0,160.054814,160.6503,1,0,True,0.595486,2
S0014,0x20C,B1.b3,0->1,60.047898,60.4836,0,1,True,0.435702,1->0,160.054814,160.4905,1,0,True,0.435686,2
S0014,0x20C,B1.b4,0->1,60.047898,60.5836,0,1,True,0.535702,1->0,160.054814,160.5905,1,0,True,0.535686,2
S0014,0x20C,B4.b1,0->1,60.047898,61.4836,0,1,True,1.435702,1->0,160.054814,160.4905,1,0,True,0.435686,2
S0014,0x20C,B4.b2,0->1,60.047898,60.5836,0,1,True,0.535702,1->0,160.054814,160.4905,1,0,True,0.435686,10
S0014,0x20C,B4.b3,0->1,60.047898,60.5836,0,1,True,0.535702,1->0,160.054814,160.4905,1,0,True,0.435686,6
S0014,0x20C,B5.b0,0->1,60.047898,61.2838,0,1,True,1.235902,1->0,160.054814,160.4905,1,0,True,0.435686,2
S0014,0x20C,B6.b4,0->1,60.047898,60.4836,0,1,True,0.435702,1->0,160.054814,160.4905,1,0,True,0.435686,4
S0014,0x20C,B6.b5,0->1,60.047898,60.4836,0,1,True,0.435702,1->0,160.054814,160.4905,1,0,True,0.435686,4
S0014,0x20C,B7.b1,0->1,60.047898,61.1838,0,1,True,1.135902,1->0,160.054814,160.9905,1,0,True,0.935686,10
S0014,0x20C,B7.b2,0->1,60.047898,61.4836,0,1,True,1.435702,1->0,160.054814,161.0905,1,0,True,1.035686,6
S0014,0x20C,B7.b3,0->1,60.047898,62.0838,0,1,True,2.035902,1->0,160.054814,161.1905,1,0,True,1.135686,2
S0014,0x253,B7.b4,1->0,60.047898,60.6918,1,0,True,0.643902,0->1,160.054814,160.5915,0,1,True,0.536686,2
S0014,0x282,B0.b2,0->1,60.047898,60.6851,0,1,True,0.637202,1->0,160.054814,160.691,1,0,True,0.636186,2
S0014,0x282,B0.b5,0->1,60.047898,61.3851,0,1,True,1.337202,1->0,160.054814,160.8926,1,0,True,0.837786,6
S0014,0x282,B0.b6,0->1,60.047898,62.0849,0,1,True,2.037002,1->0,160.054814,160.9909,1,0,True,0.936086,2
S0014,0x282,B1.b2,0->1,60.047898,61.6851,0,1,True,1.637202,1->0,160.054814,160.691,1,0,True,0.636186,2
S0014,0x282,B1.b3,0->1,60.047898,60.7848,0,1,True,0.736902,1->0,160.054814,160.691,1,0,True,0.636186,10
S0014,0x282,B1.b4,0->1,60.047898,60.7848,0,1,True,0.736902,1->0,160.054814,160.691,1,0,True,0.636186,6
S0014,0x282,B2.b1,0->1,60.047898,61.4851,0,1,True,1.437202,1->0,160.054814,160.691,1,0,True,0.636186,2
S0014,0x282,B2.b4,0->1,60.047898,60.8845,0,1,True,0.836602,1->0,160.054814,161.1914,1,0,True,1.136586,18
S0014,0x282,B2.b5,0->1,60.047898,61.0849,0,1,True,1.037002,1->0,160.054814,160.8926,1,0,True,0.837786,20
S0014,0x282,B2.b6,0->1,60.047898,60.9846,0,1,True,0.936702,1->0,160.054814,161.1914,1,0,True,1.136586,14
S0014,0x282,B3.b3,0->1,60.047898,62.9847,0,1,True,2.936802,1->0,160.054814,160.8926,1,0,True,0.837786,2
S0014,0x282,B4.b6,1->0,60.047898,60.9846,1,0,True,0.936702,0->1,160.054814,160.8926,0,1,True,0.837786,10
S0014,0x282,B4.b7,1->0,60.047898,60.9846,1,0,True,0.936702,0->1,160.054814,160.8926,0,1,True,0.837786,6
S0014,0x282,B5.b0,1->0,60.047898,60.9846,1,0,True,0.936702,0->1,160.054814,160.8926,0,1,True,0.837786,4
S0014,0x282,B5.b1,1->0,60.047898,60.9846,1,0,True,0.936702,0->1,160.054814,160.8926,0,1,True,0.837786,4
S0014,0x282,B5.b2,0->1,60.047898,60.9846,0,1,True,0.936702,1->0,160.054814,160.8926,1,0,True,0.837786,4
S0014,0x282,B6.b3,1->0,60.047898,61.3851,1,0,True,1.337202,0->1,160.054814,160.9909,0,1,True,0.936086,4
S0014,0x282,B6.b4,0->1,60.047898,61.3851,0,1,True,1.337202,1->0,160.054814,160.9909,1,0,True,0.936086,4
S0014,0x289,B1.b4,0->1,60.047898,61.3996,0,1,True,1.351702,1->0,160.054814,160.9054,1,0,True,0.850586,8
S0014,0x289,B2.b3,0->1,60.047898,61.3996,0,1,True,1.351702,1->0,160.054814,160.9054,1,0,True,0.850586,6
S0014,0x289,B3.b2,0->1,60.047898,61.3996,0,1,True,1.351702,1->0,160.054814,160.9054,1,0,True,0.850586,62
S0014,0x2A1,B5.b0,0->1,60.047898,61.4516,0,1,True,1.403702,1->0,160.054814,161.4568,1,0,True,1.401986,2
S0014,0x2A6,B0.b6,0->1,60.047898,,,,False,,1->0,160.054814,161.5363,1,0,True,1.481486,22
S0014,0x2A7,B7.b0,0->1,60.047898,61.9367,0,1,True,1.888802,1->0,160.054814,161.537,1,0,True,1.482186,2
S0014,0x2A7,B7.b2,1->0,60.047898,61.9367,1,0,True,1.888802,0->1,160.054814,161.537,0,1,True,1.482186,2
S0014,0x2BF,B5.b3,0->1,60.047898,61.5414,0,1,True,1.493502,1->0,160.054814,161.5478,1,0,True,1.492986,2
S0014,0x2BF,B5.b4,0->1,60.047898,61.5414,0,1,True,1.493502,1->0,160.054814,161.5478,1,0,True,1.492986,2
S0014,0x2F3,B3.b2,0->1,60.047898,60.3554,0,1,True,0.307502,1->0,160.054814,160.3998,1,0,True,0.344986,2
S0014,0x323,B4.b1,1->0,60.047898,62.4027,1,0,True,2.354802,0->1,160.054814,162.4103,0,1,True,2.355486,2
S0014,0x323,B4.b2,0->1,60.047898,62.4027,0,1,True,2.354802,1->0,160.054814,162.4103,1,0,True,2.355486,2
S0014,0x361,B3.b1,1->0,60.047898,62.3401,1,0,True,2.292202,0->1,160.054814,161.3484,0,1,True,1.293586,2
S0014,0x361,B3.b2,0->1,60.047898,62.3401,0,1,True,2.292202,1->0,160.054814,161.3484,1,0,True,1.293586,2
S0014,0x361,B4.b0,1->0,60.047898,62.3401,1,0,True,2.292202,0->1,160.054814,162.3484,0,1,True,2.293586,8
S0014,0x361,B4.b1,0->1,60.047898,62.3401,0,1,True,2.292202,1->0,160.054814,162.3484,1,0,True,2.293586,8
S0014,0x421,B0.b4,0->1,60.047898,62.1396,0,1,True,2.091702,1->0,160.054814,,,,False,,2
S0014,0x421,B0.b5,0->1,60.047898,62.1396,0,1,True,2.091702,1->0,160.054814,,,,False,,2
S0014,0x421,B0.b7,0->1,60.047898,62.1396,0,1,True,2.091702,1->0,160.054814,,,,False,,2
S0014,0x782,B0.b5,0->1,60.047898,,,,False,,1->0,160.054814,,,,False,,2
S0015,0x1FA,B0.b3,0->1,60.094421,60.124,0,1,True,0.029579,1->0,160.054845,160.4325,1,0,True,0.377655,2
S0015,0x1FA,B0.b4,0->1,60.094421,60.124,0,1,True,0.029579,1->0,160.054845,160.4325,1,0,True,0.377655,2
S0015,0x20C,B1.b3,0->1,60.094421,60.9656,0,1,True,0.871179,1->0,160.054845,160.2723,1,0,True,0.217455,2
S0015,0x20C,B1.b4,0->1,60.094421,60.0657,0,1,True,-0.028721,1->0,160.054845,160.3723,1,0,True,0.317455,2
S0015,0x20C,B4.b1,0->1,60.094421,60.9656,0,1,True,0.871179,1->0,160.054845,160.2723,1,0,True,0.217455,2
S0015,0x20C,B4.b2,0->1,60.094421,60.0657,0,1,True,-0.028721,1->0,160.054845,160.2723,1,0,True,0.217455,10
S0015,0x20C,B4.b3,0->1,60.094421,60.0657,0,1,True,-0.028721,1->0,160.054845,160.2723,1,0,True,0.217455,6
S0015,0x20C,B5.b0,0->1,60.094421,60.7655,0,1,True,0.671079,1->0,160.054845,160.2723,1,0,True,0.217455,2
S0015,0x20C,B6.b4,0->1,60.094421,60.9656,0,1,True,0.871179,1->0,160.054845,160.2723,1,0,True,0.217455,2
S0015,0x20C,B6.b5,0->1,60.094421,60.9656,0,1,True,0.871179,1->0,160.054845,160.2723,1,0,True,0.217455,2
S0015,0x20C,B7.b1,0->1,60.094421,60.6656,0,1,True,0.571179,1->0,160.054845,160.7724,1,0,True,0.717555,10
S0015,0x20C,B7.b2,0->1,60.094421,60.9656,0,1,True,0.871179,1->0,160.054845,160.8724,1,0,True,0.817555,6
S0015,0x20C,B7.b3,0->1,60.094421,61.5656,0,1,True,1.471179,1->0,160.054845,160.9724,1,0,True,0.917555,2
S0015,0x253,B7.b4,1->0,60.094421,60.1913,1,0,True,0.096879,0->1,160.054845,160.3764,0,1,True,0.321555,2
S0015,0x282,B0.b2,0->1,60.094421,60.166,0,1,True,0.071579,1->0,160.054845,160.474,1,0,True,0.419155,2
S0015,0x282,B0.b5,0->1,60.094421,60.8659,0,1,True,0.771479,1->0,160.054845,160.674,1,0,True,0.619155,6
S0015,0x282,B0.b6,0->1,60.094421,61.6661,0,1,True,1.571679,1->0,160.054845,160.7735,1,0,True,0.718655,2
S0015,0x282,B1.b2,0->1,60.094421,61.166,0,1,True,1.071579,1->0,160.054845,160.474,1,0,True,0.419155,2
