can_id,field,direction,sessions_passed,sessions_total,min_window_purity,prior_round_priority,repeated_binary_raw_bit,on_transitions_found,off_transitions_found,on_delay_mean_s,on_delay_min_s,on_delay_max_s,off_delay_mean_s,off_delay_min_s,off_delay_max_s,max_full_session_transitions
0x1FA,B0.b3,0->1->0,5,5,1.0,True,True,5,5,0.204474,-0.003401,0.594802,0.374566,0.169782,0.595486,2
0x20C,B1.b3,0->1->0,5,5,1.0,True,True,5,5,0.246194,-0.160501,0.871179,0.215546,0.012182,0.435686,2
0x282,B0.b2,0->1->0,5,5,1.0,True,True,5,5,0.246394,0.039099,0.637202,0.415706,0.211582,0.636186,2
0x2A1,B5.b0,0->1->0,5,5,1.0,True,True,5,5,3.369114,1.403702,4.936979,0.997006,0.290894,1.438715,2
0x2BF,B5.b3,0->1->0,5,5,1.0,True,True,5,5,3.458674,1.493502,5.026579,1.087426,0.379894,1.531715,2
0x1FA,B0.b4,0->1->0,5,5,1.0,False,True,5,5,0.204474,-0.003401,0.594802,0.374566,0.169782,0.595486,2
0x20C,B1.b4,0->1->0,5,5,1.0,False,True,5,5,0.146274,-0.060401,0.535702,0.315566,0.112182,0.535686,2
0x20C,B4.b1,0->1->0,5,5,1.0,False,True,5,5,1.046294,0.839599,1.435702,0.215546,0.012182,0.435686,2
0x20C,B5.b0,0->1->0,5,5,1.0,False,True,5,5,0.846294,0.639499,1.235902,0.215546,0.012182,0.435686,2
0x20C,B7.b3,0->1->0,5,5,1.0,False,True,5,5,1.606314,1.339599,2.035902,0.875606,0.612182,1.135686,2
0x253,B7.b4,1->0->1,5,5,1.0,False,True,5,5,0.264014,0.062599,0.643902,0.325286,0.117582,0.536686,2
0x282,B0.b6,0->1->0,5,5,1.0,False,True,5,5,1.666394,1.439299,2.037002,0.735546,0.511482,0.982215,2
0x282,B1.b2,0->1->0,5,5,1.0,False,True,5,5,1.246634,1.039299,1.637202,0.415706,0.211582,0.636186,2
0x282,B2.b1,0->1->0,5,5,1.0,False,True,5,5,1.046534,0.839099,1.437202,0.415706,0.211582,0.636186,2
0x282,B3.b3,0->1->0,5,5,1.0,False,True,5,5,2.546494,2.339399,2.936802,0.615946,0.411582,0.837786,2
0x2A7,B7.b0,0->1->0,5,5,1.0,False,True,5,5,3.856154,1.888802,5.402779,1.058486,0.331694,1.543415,2
0x2A7,B7.b2,1->0->1,5,5,1.0,False,True,5,5,3.856154,1.888802,5.402779,1.058486,0.331694,1.543415,2
0x2BF,B5.b4,0->1->0,5,5,1.0,False,True,5,5,1.058594,0.373506,2.026579,1.087426,0.379894,1.531715,2
0x2F3,B3.b2,0->1->0,5,5,1.0,False,True,5,5,-0.054906,-0.236721,0.307502,0.099686,-0.116818,0.344986,2
0x323,B4.b1,1->0->1,5,5,1.0,False,True,5,5,1.725114,1.240406,2.354802,1.954146,1.247594,2.401615,2
0x323,B4.b2,0->1->0,5,5,1.0,False,True,5,5,1.725114,1.240406,2.354802,1.954146,1.247594,2.401615,2
0x361,B3.b1,1->0->1,5,5,1.0,False,True,5,5,1.857294,1.173806,2.824879,1.286666,0.762082,1.870955,2
0x361,B3.b2,0->1->0,5,5,1.0,False,True,5,5,1.857294,1.173806,2.824879,1.286666,0.762082,1.870955,2
0x20C,B4.b2,0->1->0,5,5,1.0,False,False,5,5,0.146274,-0.060401,0.535702,0.215546,0.012182,0.435686,10
0x20C,B4.b3,0->1->0,5,5,1.0,False,False,5,5,0.146274,-0.060401,0.535702,0.215546,0.012182,0.435686,6
0x20C,B6.b4,0->1->0,5,5,1.0,False,False,5,5,0.246194,-0.160501,0.871179,0.215546,0.012182,0.435686,4
0x20C,B6.b5,0->1->0,5,5,1.0,False,False,5,5,0.246194,-0.160501,0.871179,0.215546,0.012182,0.435686,4
0x20C,B7.b1,0->1->0,5,5,1.0,False,False,5,5,0.746334,0.539599,1.135902,0.675566,0.412082,0.935686,10
0x20C,B7.b2,0->1->0,5,5,1.0,False,False,5,5,1.006314,0.739599,1.435702,0.775606,0.512182,1.035686,6
0x282,B0.b5,0->1->0,5,5,1.0,False,False,5,5,0.906414,0.639099,1.337202,0.615946,0.411582,0.837786,6
0x282,B1.b3,0->1->0,5,5,1.0,False,False,5,5,0.346294,0.139099,0.736902,0.415706,0.211582,0.636186,10
0x282,B1.b4,0->1->0,5,5,1.0,False,False,5,5,0.346294,0.139099,0.736902,0.415706,0.211582,0.636186,6
0x282,B2.b4,0->1->0,5,5,1.0,False,False,5,5,0.526214,0.271579,0.836602,0.735606,0.411582,1.136586,24
0x282,B2.b5,0->1->0,5,5,1.0,False,False,5,5,0.546294,0.339099,1.037002,0.676026,0.411582,1.082315,24
0x282,B2.b6,0->1->0,5,5,1.0,False,False,5,5,0.626254,0.371579,0.936702,0.855746,0.511482,1.136586,18
0x282,B4.b6,1->0->1,5,5,1.0,False,False,5,5,0.546234,0.339099,0.936702,0.715926,0.411582,1.082315,12
0x282,B4.b7,1->0->1,5,5,1.0,False,False,5,5,0.546234,0.339099,0.936702,0.655906,0.411582,0.882215,8
0x282,B5.b0,1->0->1,5,5,1.0,False,False,5,5,0.546234,0.339099,0.936702,0.655906,0.411582,0.882215,6
0x282,B5.b1,1->0->1,5,5,1.0,False,False,5,5,0.546234,0.339099,0.936702,0.655906,0.411582,0.882215,4
0x282,B5.b2,0->1->0,5,5,1.0,False,False,5,5,0.546234,0.339099,0.936702,0.655906,0.411582,0.882215,4
0x282,B6.b3,1->0->1,5,5,1.0,False,False,5,5,0.846394,0.571479,1.337202,0.715546,0.511482,0.936086,8
0x282,B6.b4,0->1->0,5,5,1.0,False,False,5,5,0.806394,0.571479,1.337202,0.715546,0.511482,0.936086,6
0x289,B1.b4,0->1->0,5,5,1.0,False,False,5,5,0.901494,0.655999,1.351702,0.629946,0.426782,0.850586,8
0x289,B2.b3,0->1->0,5,5,1.0,False,False,5,5,0.941494,0.655999,1.351702,0.629946,0.426782,0.850586,6
0x421,B0.b4,0->1->0,5,5,1.0,False,False,5,0,4.096814,2.091702,5.624879,,,,2
0x421,B0.b5,0->1->0,5,5,1.0,False,False,5,0,4.096814,2.091702,5.624879,,,,2
0x421,B0.b7,0->1->0,5,5,1.0,False,False,5,0,4.096814,2.091702,5.624879,,,,2
0x289,B3.b2,0->1->0,5,5,0.985455,False,False,5,5,0.901494,0.655999,1.351702,0.629946,0.426782,0.850586,62
0x361,B4.b0,1->0->1,5,5,0.981818,False,False,5,5,2.057314,1.284899,2.824879,2.087086,1.179394,3.329415,8
0x361,B4.b1,0->1->0,5,5,0.981818,False,False,5,5,2.057314,1.284899,2.824879,1.886726,1.179394,2.327615,8
0x2A6,B0.b6,0->1->0,5,5,0.952727,False,False,4,5,4.347617,3.732706,5.402579,1.057766,0.331294,1.541815,46
0x782,B0.b5,0->1->0,5,5,0.952381,False,False,0,1,,,,5.726415,5.726415,5.726415,2
