group_id,can_id,byte,member_raw_bits,member_count,candidate_mask_hex,masked_pattern_repeatable,masked_off_pre_hex,masked_on_hex,masked_off_post_hex,full_byte_pattern_repeatable,members_exactly_synchronized,boundary_status
G01,0x1FA,B0,b3;b4,2,0x18,True,0x00,0x18,0x00,True,True,byte_level_hypothesis_only
G02,0x20C,B1,b3;b4,2,0x18,True,0x00,0x18,0x00,False,False,byte_level_hypothesis_only
G03,0x20C,B4,b1,1,0x02,True,0x00,0x02,0x00,True,True,byte_level_hypothesis_only
G04,0x20C,B5,b0,1,0x01,True,0x00,0x01,0x00,False,True,byte_level_hypothesis_only
G05,0x20C,B7,b3,1,0x08,True,0x00,0x08,0x00,True,True,byte_level_hypothesis_only
G06,0x253,B7,b4,1,0x10,True,0x10,0x00,0x10,True,True,byte_level_hypothesis_only
G07,0x282,B0,b2;b6,2,0x44,True,0x00,0x44,0x00,True,False,byte_level_hypothesis_only
G08,0x282,B1,b2,1,0x04,True,0x00,0x04,0x00,True,True,byte_level_hypothesis_only
G09,0x282,B2,b1,1,0x02,True,0x00,0x02,0x00,True,True,byte_level_hypothesis_only
G10,0x282,B3,b3,1,0x08,True,0x00,0x08,0x00,True,True,byte_level_hypothesis_only
G11,0x2A1,B5,b0,1,0x01,True,0x00,0x01,0x00,True,True,byte_level_hypothesis_only
G12,0x2A7,B7,b0;b2,2,0x05,True,0x04,0x01,0x04,True,True,byte_level_hypothesis_only
G13,0x2BF,B5,b3;b4,2,0x18,True,0x00,0x18,0x00,True,False,byte_level_hypothesis_only
G14,0x2F3,B3,b2,1,0x04,True,0x00,0x04,0x00,True,True,byte_level_hypothesis_only
G15,0x323,B4,b1;b2,2,0x06,True,0x02,0x04,0x02,True,True,byte_level_hypothesis_only
G16,0x361,B3,b1;b2,2,0x06,True,0x02,0x04,0x02,True,True,byte_level_hypothesis_only
