can_id,field,pattern,classification,sessions_passed,sessions_total,min_window_purity,evidence_boundary
0x132,B5.b1,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x132,B5.b2,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x132,B5.b3,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x132,B5.b4,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x132,B5.b5,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x132,B5.b6,1->1->1->0->1->1,ac_state_related_reversible,5,5,1.0,raw_association_only
0x1FA,B0.b3,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x1FA,B0.b4,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x20C,B1.b2,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x20C,B1.b3,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x20C,B1.b4,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x20C,B4.b0,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x20C,B4.b2,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x20C,B4.b3,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x20C,B4.b4,0->0->1->1->1->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x20C,B4.b6,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x20C,B4.b7,0->1->0->0->0->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x20C,B5.b0,0->0->1->1->1->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x20C,B7.b1,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x20C,B7.b3,0->1->0->0->0->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x20C,B7.b4,0->0->1->1->1->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x22A,B2.b5,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x22A,B2.b6,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
