session_id,event_id,event_status,event_time_s,used_for_window,window_role,linked_photo_count,source_file_name,source_file_sha256,notes
S0019,E01,triggered,0.078228,False,NOT_USED,1,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0019,E02,triggered,30.078312,True,S0_START_PLUS_5S,0,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0019,E03,triggered,60.08596,True,S0_END_MINUS_5S;TRANSITION_S0_TO_S1,1,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0019,E04,triggered,90.092053,True,S1_START,0,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0019,E05,triggered,110.07989,True,S1_END_MINUS_5S;TRANSITION_S1_TO_S2,1,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0019,E06,triggered,140.037378,True,S2_START,0,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0019,E07,triggered,160.034573,True,S2_END_MINUS_5S;TRANSITION_S2_TO_S3,1,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0019,E08,triggered,200.085955,True,S3_START,0,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0019,E09,triggered,220.078985,True,S3_END_MINUS_5S;TRANSITION_S3_TO_S4,1,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0019,E10,triggered,250.04529,True,S4_START,0,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0019,E11,triggered,270.100557,True,S4_END_MINUS_5S;TRANSITION_S4_TO_S5,1,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0019,E12,triggered,310.009289,True,S5_START,0,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0019,E13,triggered,330.00481,True,S5_END_MINUS_5S,0,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,
S0020,E01,triggered,0.072333,False,NOT_USED,1,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
