session_id,evidence_type,source_record_id,source_file_name,sha256,record_count,first_time,last_time,time_basis,timezone,coverage_summary,included_in_analysis,notes
S0019,can_data,ASC01,can/can_20260914101945.asc,e9029df0601ddf18930ff024bc891c055e60ddd1198839302082a3d5d6532364,742206,0.896,330.651,SCRIPT_RELATIVE_SECONDS,,single ASC segment; covers all S0-S5 steady windows,True,no parse-invalid frame lines; no backward timestamps
S0019,event_timeline,E01-E13,event_timeline.csv,0b853c22e3a4dd5bc9c4b4bfa825dce5ddbdb03423bead0fa3523306532a3f77,13,0.078228,330.00481,SCRIPT_RELATIVE_SECONDS,,E01-E13 all triggered,True,actual trigger times define steady-state windows
S0019,photo_collection,photos/,photos/,57e9dde38c4ac1d57e6b85e162f9175b85aa7e03ccbda71254b6550bc3081e29,6,2026-09-14T10:20:43.866+08:00,2026-09-14T10:25:23.612+08:00,WALL_CLOCK_ISO8601,+08:00,S0-S5 visual confirmations,True,contract PHC2; see photo_collection_hash_verification.csv
S0020,can_data,ASC01,can/can_20260914102620.asc,38810088f600be3b161514e4429553316a5522529c35fd8c5944cd1dce44a5a7,741936,0.481,330.1295,SCRIPT_RELATIVE_SECONDS,,single ASC segment; covers all S0-S5 steady windows,True,no parse-invalid frame lines; no backward timestamps
S0020,event_timeline,E01-E13,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,13,0.072333,330.049226,SCRIPT_RELATIVE_SECONDS,,E01-E13 all triggered,True,actual trigger times define steady-state windows
S0020,photo_collection,photos/,photos/,737f03a22bfd75b18b07d7200375e7ca7e95516db67033735010aa6fa244d3cd,6,2026-09-14T10:28:34.393+08:00,2026-09-14T10:33:14.456+08:00,WALL_CLOCK_ISO8601,+08:00,S0-S5 visual confirmations,True,contract PHC2; see photo_collection_hash_verification.csv
S0021,can_data,ASC01,can/can_20260914103451.asc,f3df40b1e1e32d299e1a8c8bf83ed7d3fe29c65dd7e5ad39265fdb23e08bc429,742538,0.308,330.082,SCRIPT_RELATIVE_SECONDS,,single ASC segment; covers all S0-S5 steady windows,True,no parse-invalid frame lines; no backward timestamps
S0021,event_timeline,E01-E13,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,13,0.06588,330.052191,SCRIPT_RELATIVE_SECONDS,,E01-E13 all triggered,True,actual trigger times define steady-state windows
S0021,photo_collection,photos/,photos/,71ede58b297c5d38dad5ebf23d28e5c1cc17306bde714f2b30fbd87cbea71882,6,2026-09-14T10:35:31.666+08:00,2026-09-14T10:40:11.356+08:00,WALL_CLOCK_ISO8601,+08:00,S0-S5 visual confirmations,True,contract PHC2; see photo_collection_hash_verification.csv
S0022,can_data,ASC01,can/can_20260914104211.asc,2f65ae48f6b4ff0a049a44fc162309f1e3dd55b27265f54c73aca4d45f62d5ed,742759,0.389,330.2443,SCRIPT_RELATIVE_SECONDS,,single ASC segment; covers all S0-S5 steady windows,True,no parse-invalid frame lines; no backward timestamps
S0022,event_timeline,E01-E13,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,13,0.071563,330.001371,SCRIPT_RELATIVE_SECONDS,,E01-E13 all triggered,True,actual trigger times define steady-state windows
S0022,photo_collection,photos/,photos/,2fd898b7d4861237461287fb1711455aaa8eed8a225957e32acf729d5a314733,6,2026-09-14T10:43:25.540+08:00,2026-09-14T10:48:05.516+08:00,WALL_CLOCK_ISO8601,+08:00,S0-S5 visual confirmations,True,contract PHC2; see photo_collection_hash_verification.csv
S0023,can_data,ASC01,can/can_20260914104921.asc,6691e37fc566f6115f0b4d113afe56e0ce769c734426e1d815d399e9d934431e,742032,0.97,330.6759,SCRIPT_RELATIVE_SECONDS,,single ASC segment; covers all S0-S5 steady windows,True,no parse-invalid frame lines; no backward timestamps
S0023,event_timeline,E01-E13,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,13,0.06032,330.08124,SCRIPT_RELATIVE_SECONDS,,E01-E13 all triggered,True,actual trigger times define steady-state windows
S0023,photo_collection,photos/,photos/,0c466c0e8c10fa718a536b532d58fb490edaa7c832399cb89b434e2b298eab2f,7,2026-09-14T10:51:05.809+08:00,2026-09-14T10:55:46.168+08:00,WALL_CLOCK_ISO8601,+08:00,S0-S5 visual confirmations; S3 includes one retake,True,contract PHC2; see photo_collection_hash_verification.csv
