session_id,photo_id,source_file_name,sha256,event_id,claimed_state,visible_ui_facts,recognition_status,duplicate_or_retake,disposition,notes
S0019,E01-P01,E01-P01_开始采集_20260914_102043_866.jpg,8cf0dbe0be31c66d07bd11691015d46b49675beaf2c0982a44626ee55bf30869,E01,S0,HVAC面板未展开；底栏显示手动20.0°C；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0019,E03-P01,E03-P01_开启仅送风低档_20260914_102145_093.jpg,b43a366b28dc8d656ebb753a5bad6c9913364fe5917b5aba7f4c0803efdfcc97,E03,S1,HVAC面板展开；手动20.0°C；风量2；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0019,E05-P01,E05-P01_调整为仅送风高档_20260914_102233_050.jpg,6835e231ce2195f0c783e9dbddd4c992ae01055245d0780860f77681e432aa53,E05,S2,HVAC面板展开；手动20.0°C；风量6；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0019,E07-P01,E07-P01_保持高档送风并开启A_C_20260914_102333_554.jpg,7d5999944ae6899836065f41cd1c57b2f347ddcd09ce5afd48761ea7998d0ca3,E07,S3,HVAC面板展开；手动20.0°C；风量6；A/C蓝色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0019,E09-P01,E09-P01_关闭A_C并保持仅送风高档_20260914_102423_439.jpg,ddeb59ac526b03ef03b4bac2da0719da566bd49dfd89235dd3c8e6da4e58f963,E09,S4,HVAC面板展开；手动20.0°C；风量6；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0019,E11-P01,E11-P01_关闭HVAC_20260914_102523_612.jpg,feb8533217b779e161714337ad475671b53849107aee16272c67e99d5323d9ea,E11,S5,HVAC面板未展开；底栏显示手动20.0°C；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0020,E01-P01,E01-P01_开始采集_20260914_102834_393.jpg,1151147bed1b2d1b3f2833a58f3fd92cc045b78963de817af89a507d69c3e4f8,E01,S0,HVAC面板未展开；底栏显示手动20.0°C；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0020,E03-P01,E03-P01_开启仅送风低档_20260914_102934_444.jpg,a56c3e25fa4133383a7c0ca477be035805e6550c37361618bf1461500bb595be,E03,S1,HVAC面板展开；手动20.0°C；风量2；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0020,E05-P01,E05-P01_调整为仅送风高档_20260914_103024_528.jpg,3570c72a013b6f64535caa24c450f4dfa879dcbdb55df659cd5bbce10435c11c,E05,S2,HVAC面板展开；手动20.0°C；风量6；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0020,E07-P01,E07-P01_保持高档送风并开启A_C_20260914_103124_655.jpg,e149e4a3c220657af0e8deb377c04a8ba2ec605cc54f8bb10347000267a1a74e,E07,S3,HVAC面板展开；手动20.0°C；风量6；A/C蓝色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0020,E09-P01,E09-P01_关闭A_C并保持仅送风高档_20260914_103214_434.jpg,fdf9928535fb4e451c84c6eceb91fa2ff8e730bc8418482683a052306901e61a,E09,S4,HVAC面板展开；手动20.0°C；风量6；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0020,E11-P01,E11-P01_关闭HVAC_20260914_103314_456.jpg,b84059403a56043ee498618043da89dad9f3b6201ccb62728e45b4b287decec9,E11,S5,HVAC面板未展开；底栏显示手动20.0°C；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0021,E01-P01,E01-P01_开始采集_20260914_103531_666.jpg,04670497cdcef524d02fa331a026ff80346f70daed993dce7e69f270582b861a,E01,S0,HVAC面板未展开；底栏显示手动20.0°C；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0021,E03-P01,E03-P01_开启仅送风低档_20260914_103631_637.jpg,53d8d83860067d8b5d69b49a86362772e58c69a85c356da22f5d64d8c89e749c,E03,S1,HVAC面板展开；手动20.0°C；风量2；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0021,E05-P01,E05-P01_调整为仅送风高档_20260914_103721_819.jpg,9bf0f530410320e22ba290c016c92cf209899390bb7412d30cc787c0afa23b12,E05,S2,HVAC面板展开；手动20.0°C；风量6；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0021,E07-P01,E07-P01_保持高档送风并开启A_C_20260914_103821_831.jpg,40e9de880dfddc8a285cd0351d3cb1e6bc18285b733dd26457591ffb007bca18,E07,S3,HVAC面板展开；手动20.0°C；风量6；A/C蓝色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0021,E09-P01,E09-P01_关闭A_C并保持仅送风高档_20260914_103911_896.jpg,8cab63b59f2934b3958967af53e345fa0954839a82fb5acb4d137676051ca48d,E09,S4,HVAC面板展开；手动20.0°C；风量6；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
