round3_group_id,can_id,field,repeatable_pattern,classification,sessions_consistent,sessions_total,min_window_purity,classification_accepted,evidence_boundary
G01,0x1FA,B0.b3,0->1->1->1->1->0,hvac_ventilation_on_related,True,5,1.0,True,raw_association_only
G01,0x1FA,B0.b4,0->1->1->1->1->0,hvac_ventilation_on_related,True,5,1.0,True,raw_association_only
G02,0x20C,B1.b3,0->0->0->1->0->0,ac_state_related_reversible,True,5,1.0,True,raw_association_only
G02,0x20C,B1.b4,0->1->1->1->1->0,hvac_ventilation_on_related,True,5,1.0,True,raw_association_only
G03,0x20C,B4.b1,0->0->0->0->0->0,unclassified,True,5,1.0,False,raw_association_only
G04,0x20C,B5.b0,0->0->1->1->1->0,fan_level_sensitive_s3_same,True,5,1.0,True,raw_association_only
G05,0x20C,B7.b3,0->1->0->0->0->0,fan_level_sensitive_s3_same,True,5,1.0,True,raw_association_only
G06,0x253,B7.b4,1->0->0->0->0->1,hvac_ventilation_on_related,True,5,1.0,True,raw_association_only
G07,0x282,B0.b2,0->1->1->1->1->0,hvac_ventilation_on_related,True,5,1.0,True,raw_association_only
G07,0x282,B0.b6,0->1->0->0->0->0,fan_level_sensitive_s3_same,True,5,1.0,True,raw_association_only
G08,0x282,B1.b2,0->1->1->1->1->0,hvac_ventilation_on_related,True,5,1.0,True,raw_association_only
G09,0x282,B2.b1,0->0->1->1->1->0,fan_level_sensitive_s3_same,True,5,1.0,True,raw_association_only
G10,0x282,B3.b3,0->0->1->1->1->0,fan_level_sensitive_s3_same,True,5,1.0,True,raw_association_only
G11,0x2A1,B5.b0,0->0->0->1->0->0,ac_state_related_reversible,True,5,1.0,True,raw_association_only
G12,0x2A7,B7.b0,0->0->0->1->0->0,ac_state_related_reversible,True,5,1.0,True,raw_association_only
G12,0x2A7,B7.b2,1->1->1->0->1->1,ac_state_related_reversible,True,5,1.0,True,raw_association_only
G13,0x2BF,B5.b3,0->0->0->1->0->0,ac_state_related_reversible,True,5,1.0,True,raw_association_only
G13,0x2BF,B5.b4,0->0->0->1->0->0,ac_state_related_reversible,True,5,1.0,True,raw_association_only
G14,0x2F3,B3.b2,0->1->1->1->1->0,hvac_ventilation_on_related,True,5,1.0,True,raw_association_only
G15,0x323,B4.b1,1->0->0->0->0->1,hvac_ventilation_on_related,True,5,1.0,True,raw_association_only
G15,0x323,B4.b2,0->1->1->1->1->0,hvac_ventilation_on_related,True,5,1.0,True,raw_association_only
G16,0x361,B3.b1,1->1->1->0->1->1,ac_state_related_reversible,True,5,1.0,True,raw_association_only
G16,0x361,B3.b2,0->0->0->1->0->0,ac_state_related_reversible,True,5,1.0,True,raw_association_only
