group_id,can_id,byte,candidate_mask_hex,session_id,S0_full_hex,S0_masked_hex,S0_masked_purity,S0_full_byte_purity,S0_samples,S0_masked_unique,S0_full_byte_unique,S1_full_hex,S1_masked_hex,S1_masked_purity,S1_full_byte_purity,S1_samples,S1_masked_unique,S1_full_byte_unique,S2_full_hex,S2_masked_hex,S2_masked_purity,S2_full_byte_purity,S2_samples,S2_masked_unique,S2_full_byte_unique,S3_full_hex,S3_masked_hex,S3_masked_purity,S3_full_byte_purity,S3_samples,S3_masked_unique,S3_full_byte_unique,S4_full_hex,S4_masked_hex,S4_masked_purity,S4_full_byte_purity,S4_samples,S4_masked_unique,S4_full_byte_unique,S5_full_hex,S5_masked_hex,S5_masked_purity,S5_full_byte_purity,S5_samples,S5_masked_unique,S5_full_byte_unique,masked_pattern,legacy_mask_pattern_class,min_window_masked_purity
G01,0x1FA,B0,0x18,S0019,0x02,0x00,1.0,1.0,200,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x1A,0x18,1.0,1.0,151,1,1,0x02,0x00,1.0,1.0,150,1,1,0x00->0x18->0x18->0x18->0x18->0x00,hvac_ventilation_on_related,1.0
G01,0x1FA,B0,0x18,S0020,0x02,0x00,1.0,1.0,200,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x02,0x00,1.0,1.0,150,1,1,0x00->0x18->0x18->0x18->0x18->0x00,hvac_ventilation_on_related,1.0
G01,0x1FA,B0,0x18,S0021,0x02,0x00,1.0,1.0,200,1,1,0x1A,0x18,1.0,1.0,149,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x1A,0x18,1.0,1.0,149,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x02,0x00,1.0,1.0,150,1,1,0x00->0x18->0x18->0x18->0x18->0x00,hvac_ventilation_on_related,1.0
G01,0x1FA,B0,0x18,S0022,0x02,0x00,1.0,1.0,201,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x1A,0x18,1.0,1.0,149,1,1,0x1A,0x18,1.0,1.0,149,1,1,0x02,0x00,1.0,1.0,149,1,1,0x00->0x18->0x18->0x18->0x18->0x00,hvac_ventilation_on_related,1.0
G01,0x1FA,B0,0x18,S0023,0x02,0x00,1.0,1.0,200,1,1,0x1A,0x18,1.0,1.0,151,1,1,0x1A,0x18,1.0,1.0,149,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x1A,0x18,1.0,1.0,150,1,1,0x02,0x00,1.0,1.0,151,1,1,0x00->0x18->0x18->0x18->0x18->0x00,hvac_ventilation_on_related,1.0
G02,0x20C,B1,0x18,S0019,0xC0,0x00,1.0,0.99005,201,1,2,0x50,0x10,1.0,1.0,149,1,1,0xD0,0x10,1.0,0.84,150,1,2,0x5D,0x18,1.0,0.093333,150,1,16,0x30,0x10,1.0,0.165563,151,1,8,0x40,0x00,1.0,1.0,150,1,1,0x00->0x10->0x10->0x18->0x10->0x00,ac_state_related_reversible,1.0
G02,0x20C,B1,0x18,S0020,0x00,0x00,1.0,0.8,200,1,2,0x70,0x10,1.0,0.326667,150,1,4,0x70,0x10,1.0,0.78,150,1,2,0x1D,0x18,1.0,0.14,150,1,8,0x50,0x10,1.0,0.165563,151,1,8,0xE0,0x00,1.0,1.0,150,1,1,0x00->0x10->0x10->0x18->0x10->0x00,ac_state_related_reversible,1.0
G02,0x20C,B1,0x18,S0021,0x00,0x00,1.0,0.695,200,1,2,0x90,0x10,1.0,0.393333,150,1,5,0xF0,0x10,1.0,0.364238,151,1,4,0x3C,0x18,1.0,0.080537,149,1,16,0x10,0x10,1.0,0.146667,150,1,8,0x60,0x00,1.0,1.0,149,1,1,0x00->0x10->0x10->0x18->0x10->0x00,ac_state_related_reversible,1.0
G02,0x20C,B1,0x18,S0022,0xA0,0x00,1.0,0.597015,201,1,2,0x10,0x10,1.0,0.337748,151,1,5,0x50,0x10,1.0,0.68,150,1,2,0x3C,0x18,1.0,0.153333,150,1,8,0xF0,0x10,1.0,0.14,150,1,8,0x40,0x00,1.0,0.98,150,1,2,0x00->0x10->0x10->0x18->0x10->0x00,ac_state_related_reversible,1.0
G02,0x20C,B1,0x18,S0023,0x80,0x00,1.0,0.945,200,1,2,0xB0,0x10,1.0,0.28,150,1,5,0x10,0x10,1.0,0.413333,150,1,3,0x9C,0x18,1.0,0.145695,151,1,8,0x90,0x10,1.0,0.153333,150,1,8,0xE0,0x00,1.0,0.566667,150,1,2,0x00->0x10->0x10->0x18->0x10->0x00,ac_state_related_reversible,1.0
G03,0x20C,B4,0x02,S0019,0x00,0x00,1.0,1.0,201,1,1,0xCD,0x00,1.0,1.0,149,1,1,0x5D,0x00,1.0,1.0,150,1,1,0x5D,0x00,1.0,1.0,150,1,1,0x5D,0x00,1.0,1.0,151,1,1,0x00,0x00,1.0,1.0,150,1,1,0x00->0x00->0x00->0x00->0x00->0x00,unclassified,1.0
