session_id,group_id,can_id,byte,event_id,expected_direction,event_s,transition_s,delay_s,direction_match,full_session_masked_transitions
S0019,G01,0x1FA,B0,E03,0x00->0x18,60.08596,60.6439,0.55794,True,2
S0019,G01,0x1FA,B0,E05,0x18->0x18,110.07989,,,False,2
S0019,G01,0x1FA,B0,E07,0x18->0x18,160.034573,,,False,2
S0019,G01,0x1FA,B0,E09,0x18->0x18,220.078985,,,False,2
S0019,G01,0x1FA,B0,E11,0x18->0x00,270.100557,272.458,2.357443,True,2
S0019,G02,0x20C,B1,E03,0x00->0x10,60.08596,60.5848,0.49884,True,4
S0019,G02,0x20C,B1,E05,0x10->0x10,110.07989,,,False,4
S0019,G02,0x20C,B1,E07,0x10->0x18,160.034573,160.9915,0.956927,True,4
S0019,G02,0x20C,B1,E09,0x18->0x10,220.078985,220.5954,0.516415,True,4
S0019,G02,0x20C,B1,E11,0x10->0x00,270.100557,272.3991,2.298543,True,4
S0019,G03,0x20C,B4,E03,0x00->0x00,60.08596,,,False,2
S0019,G03,0x20C,B4,E05,0x00->0x00,110.07989,,,False,2
S0019,G03,0x20C,B4,E07,0x00->0x00,160.034573,,,False,2
S0019,G03,0x20C,B4,E09,0x00->0x00,220.078985,,,False,2
S0019,G03,0x20C,B4,E11,0x00->0x00,270.100557,,,False,2
S0019,G04,0x20C,B5,E03,0x00->0x00,60.08596,,,False,2
S0019,G04,0x20C,B5,E05,0x00->0x01,110.07989,113.4883,3.40841,True,2
S0019,G04,0x20C,B5,E07,0x01->0x01,160.034573,,,False,2
S0019,G04,0x20C,B5,E09,0x01->0x01,220.078985,,,False,2
S0019,G04,0x20C,B5,E11,0x01->0x00,270.100557,272.2989,2.198343,True,2
S0019,G05,0x20C,B7,E03,0x00->0x08,60.08596,62.0849,1.99894,True,4
S0019,G05,0x20C,B7,E05,0x08->0x00,110.07989,115.0882,5.00831,True,4
S0019,G05,0x20C,B7,E07,0x00->0x00,160.034573,,,False,4
S0019,G05,0x20C,B7,E09,0x00->0x00,220.078985,,,False,4
S0019,G05,0x20C,B7,E11,0x00->0x00,270.100557,,,False,4
S0019,G06,0x253,B7,E03,0x10->0x00,60.08596,60.6896,0.60364,True,2
S0019,G06,0x253,B7,E05,0x00->0x00,110.07989,,,False,2
S0019,G06,0x253,B7,E07,0x00->0x00,160.034573,,,False,2
S0019,G06,0x253,B7,E09,0x00->0x00,220.078985,,,False,2
S0019,G06,0x253,B7,E11,0x00->0x10,270.100557,272.4057,2.305143,True,2
S0019,G07,0x282,B0,E03,0x00->0x44,60.08596,,,False,6
S0019,G07,0x282,B0,E05,0x44->0x04,110.07989,115.7899,5.71001,True,6
S0019,G07,0x282,B0,E07,0x04->0x04,160.034573,,,False,6
S0019,G07,0x282,B0,E09,0x04->0x04,220.078985,,,False,6
S0019,G07,0x282,B0,E11,0x04->0x00,270.100557,272.5003,2.399743,True,6
S0019,G08,0x282,B1,E03,0x00->0x04,60.08596,61.086,1.00004,True,2
S0019,G08,0x282,B1,E05,0x04->0x04,110.07989,,,False,2
S0019,G08,0x282,B1,E07,0x04->0x04,160.034573,,,False,2
S0019,G08,0x282,B1,E09,0x04->0x04,220.078985,,,False,2
S0019,G08,0x282,B1,E11,0x04->0x00,270.100557,272.5003,2.399743,True,2
S0019,G09,0x282,B2,E03,0x00->0x00,60.08596,,,False,2
S0019,G09,0x282,B2,E05,0x00->0x02,110.07989,113.6895,3.60961,True,2
S0019,G09,0x282,B2,E07,0x02->0x02,160.034573,,,False,2
S0019,G09,0x282,B2,E09,0x02->0x02,220.078985,,,False,2
S0019,G09,0x282,B2,E11,0x02->0x00,270.100557,272.5003,2.399743,True,2
S0019,G10,0x282,B3,E03,0x00->0x00,60.08596,,,False,2
S0019,G10,0x282,B3,E05,0x00->0x08,110.07989,113.9898,3.90991,True,2
