ASC CAN ID 统计结果
输入文件：C:\Users\Fujitsu\IdeaProjects\Tesla\can_20260821124109_离车关锁0821-01.asc
统计时间：2026-08-21 21:02:16

总行数：905850
有效数据帧行数：905846
忽略行数：4
CAN ID 数量：308

CAN_ID     COUNT          DLC统计                首次时间           末次时间          
--------------------------------------------------------------------------
132        43267          6:43267              0.000000       432.668100    
2E1        27050          8:27050              0.002500       432.667900    
261        27041          8:27041              0.010500       432.676400    
263        21633          8:21633              0.006700       432.676800    
243        21632          8:21632              0.016700       432.666700    
2C1        21632          8:21632              0.010700       432.656400    
201        17307          8:17307              0.000500       432.676100    
401        15572          8:15572              0.001000       432.668300    
129        13254          8:13254              0.003000       432.676600    
545        13111          8:13111              0.015800       432.671100    
3A2        13110          8:13110              0.030500       432.655900    
381        12018          8:12018              0.018500       432.656900    
3AB        11091          8:11091              53.741900      386.465000    
677        10816          8:10816              0.011200       432.637300    
234        8655           8:8655               0.015300       432.649500    
142        8653           8:8653               0.040300       432.668900    
221        8653           8:8653               0.016400       432.641900    
3A1        8653           8:8653               0.032200       432.657900    
3C2        8653           8:8653               0.015600       432.644700    
441        8653           8:8653               0.048400       432.673900    
45A        8653           8:8653               0.007000       432.637100    
719        8653           8:8653               0.019200       432.649700    
609        7241           8:7241               28.241700      137.150200    
2B3        7210           8:7210               0.047000       432.616600    
372        6490           8:6490               0.000800       432.648600    
3AE        6054           8:6054               0.035300       432.639700    
7AA        5625           8:5625               0.036400       432.650400    
22B        4702           8:4702               0.010300       432.659500    
39D        4514           5:4514               0.014300       432.674300    
3F5        4351           8:4351               0.027200       432.652900    
102        4350           8:4350               0.093200       432.621900    
122        4349           8:4349               0.000300       432.629000    
2C2        4344           8:4344               0.056100       432.584900    
4E2        4330           8:4330               0.035100       432.664200    
339        4328           8:4328               0.088300       432.618200    
103        4327           8:4327               0.030700       432.660100    
113        4327           3:4327               0.011700       432.644200    
119        4327           4:4327               0.002100       432.631800    
123        4327           8:4327               0.036700       432.666200    
139        4327           1:4327               0.032000       432.661800    
1F8        4327           4:4327               0.021000       432.649900    
204        4327           8:4327               0.087900       432.661000    
212        4327           8:4327               0.017500       432.627100    
224        4327           8:4327               0.088600       432.661700    
225        4327           4:4327               0.012600       432.642200    
22A        4327           4:4327               0.045600       432.649000    
241        4327           7:4327               0.005200       432.630900    
252        4327           8:4327               0.017700       432.627300    
264        4327           6:4327               0.088100       432.661200    
272        4327           8:4327               0.007200       432.635900    
282        4327           8:4327               0.014100       432.643000    
283        4327           6:4327               0.018700       432.648300    
289        4327           8:4327               0.028100       432.657100    
292        4327           8:4327               0.017900       432.627600    
2B4        4327           6:4327               0.088800       432.662000    
2C4        4327           8:4327               0.087600       432.660800    
2D1        4327           2:4327               0.038100       432.664000    
2D2        4327           8:4327               0.017200       432.627800    
2F1        4327           8:4327               0.016200       432.642500    
2F2        4327           2:4327               0.018100       432.628400    
318        4327           8:4327               0.011900       432.644500    
359        4327           8:4327               0.046100       432.675900    
379        4327           8:4327               0.025100       432.654900    
37A        4327           8:4327               0.039100       432.669200    
3A3        4327           8:4327               0.042800       432.672000    
3C0        4327           8:4327               0.024700       432.654000    
421        4327           7:4327               0.049300       432.674900    
439        4327           8:4327               0.009100       432.638900    
458        4327           7:4327               0.012100       432.645400    
552        4327           8:4327               0.042100       432.670900    
682        4327           8:4327               0.063900       432.665900    
78A        4327           8:4327               0.064300       432.663800    
7F4        4327           1:4327               0.012200       432.645500    
7FF        4327           8:4327               0.012500       432.645800    
1F9        4326           8:4326               0.095100       432.624900    
1FA        4326           3:4326               0.072000       432.600800    
20C        4326           8:4326               0.054700       432.584200    
219        4326           7:4326               0.067200       432.597000    
21D        4326           8:4326               0.081000       432.611700    
228        4326           8:4326               0.075100       432.608300    
242        4326           4:4326               0.079100       432.607800    
25D        4326           8:4326               0.081800       432.612400    
27D        4326           8:4326               0.082500       432.612800    
288        4326           8:4326               0.079900       432.614500    
29D        4326           5:4326               0.082700       432.613200    
2A1        4326           6:4326               0.061300       432.586900    
2A8        4326           8:4326               0.091900       432.626400    
2AA        4326           3:4326               0.067800       432.602400    
2BD        4326           4:4326               0.082800       432.613500    
2C3        4326           8:4326               0.096700       432.626900    
2E8        4326           8:4326               0.087200       432.620400    
2EC        4326           3:4326               0.063200       432.596800    
2F9        4326           8:4326               0.074200       432.603900    
340        4326           8:4326               0.094400       432.619900    
343        4326           8:4326               0.066700       432.597400    
360        4326           8:4326               0.086200       432.615000    
383        4326           8:4326               0.084900       432.614000    
38A        4326           8:4326               0.053200       432.582900    
393        4326           8:4326               0.048700       432.578300    
39A        4326           8:4326               0.060800       432.590100    
3C3        4326           8:4326               0.072700       432.602300    
3C8        4326           8:4326               0.062100       432.597600    
3E8        4326           8:4326               0.057200       432.590400    
3F9        4326           8:4326               0.081300       432.610900    
41D        4326           1:4326               0.084000       432.611400    
422        4326           6:4326               0.049100       432.577900    
423        4326           7:4326               0.091200       432.620900    
428        4326           7:4326               0.097900       432.632300    
43D        4326           6:4326               0.084200       432.612100    
448        4326           7:4326               0.093400       432.629700    
49D        4326           7:4326               0.084400       432.612600    
4E3        4326           8:4326               0.061600       432.590600    
553        4326           8:4326               0.078700       432.609000    
788        4326           8:4326               0.073900       432.609200    
789        4326           4:4326               0.055900       432.590800    
797        4326           4:4326               0.051600       432.584300    
798        4326           8:4326               0.086000       432.621100    
7A8        4326           8:4326               0.069100       432.602000    
7B8        4326           8:4326               0.082000       432.614200    
285        3464           8:3464               0.178900       432.645200    
23E        3008           8:3008               0.002300       432.646000    
249        2651           4:2651               0.033100       432.646800    
712        2595           8:2595               0.019000       432.229500    
3FD        2593           8:2593               0.031000       432.347100    
20E        2335           3:2335               0.028200       432.603400    
419        2335           1:2335               0.026300       432.601600    
420        2335           8:2335               0.043400       432.618800    
25B        2296           8:2296               0.070500       432.654700    
400        2293           7:2293               0.011000       432.614700    
409        2292           1:2292               0.006000       432.609700    
