message,can_id,signal,json_start_position,dbc_start_bit,json_endianness,dbc_byte_order,bit_length,conversion_policy,reference_source,mux_id
APP_cameraTemperatures,0x499,APP_lRepeaterCameraTemperature,32,32,LITTLE,little_endian,8,JSON_DIRECT,,
APP_cameraTemperatures,0x499,APP_rRepeaterCameraTemperature,24,24,LITTLE,little_endian,8,JSON_DIRECT,,
APS_status,0x3CA,APS_canMaster,8,8,LITTLE,little_endian,2,JSON_DIRECT,,
BMS_bmbMinMax,0x332,BMS_bmbMinMaxMultiplexer,0,0,LITTLE,little_endian,2,JSON_DIRECT,,
BMS_bmbMinMax,0x332,BMS_brickNumVoltageMax,32,32,LITTLE,little_endian,7,JSON_DIRECT,,1
BMS_bmbMinMax,0x332,BMS_brickNumVoltageMin,40,40,LITTLE,little_endian,7,JSON_DIRECT,,1
BMS_bmbMinMax,0x332,BMS_brickVoltageMax,2,2,LITTLE,little_endian,12,JSON_DIRECT,,1
BMS_bmbMinMax,0x332,BMS_brickVoltageMin,16,16,LITTLE,little_endian,12,JSON_DIRECT,,1
BMS_contactorRequest,0x232,BMS_hvilCoverVSense,32,32,LITTLE,little_endian,16,JSON_DIRECT,,
BMS_contactorRequest,0x232,BMS_internalHvilSenseV,16,16,LITTLE,little_endian,16,JSON_DIRECT,,
BMS_hvBusStatus,0x132,BMS_packCurrent,16,16,LITTLE,little_endian,16,JSON_DIRECT,,
BMS_log1,0x374,BMS_log1MuxId,0,0,LITTLE,little_endian,8,JSON_DIRECT,,
BMS_log1,0x374,BMS_maxModeledPackTemp,19,19,LITTLE,little_endian,11,JSON_DIRECT,,10
BMS_log1,0x374,BMS_minModeledPackTemp,8,8,LITTLE,little_endian,11,JSON_DIRECT,,10
BMS_packConfig,0x392,BMS_packConfigMultiplexer,0,0,LITTLE,little_endian,8,JSON_DIRECT,,
BMS_packConfig,0x392,BMS_reservedConfig_0,8,8,LITTLE,little_endian,5,JSON_DIRECT,,0
BMS_socStatus,0x292,BMS_socAvg,30,30,LITTLE,little_endian,10,JSON_DIRECT,,
BMS_socStatus,0x292,BMS_socMax,20,20,LITTLE,little_endian,10,JSON_DIRECT,,
BMS_socStatus,0x292,BMS_socMin,0,0,LITTLE,little_endian,10,JSON_DIRECT,,
BMS_socStatus,0x292,BMS_socUI,10,10,LITTLE,little_endian,10,JSON_DIRECT,,
BMS_stateOfHealth,0x492,BMS_sohTestState,48,48,LITTLE,little_endian,4,JSON_DIRECT,,
BMS_stateOfHealth,0x492,BMS_stateOfHealth,0,0,LITTLE,little_endian,10,JSON_DIRECT,,
BMS_stateOfHealth,0x492,BMS_timeSinceSohUpdate,16,16,LITTLE,little_endian,32,JSON_DIRECT,,
BMS_status,0x212,BMS_contactorState,8,8,LITTLE,little_endian,3,JSON_DIRECT,,
BMS_status,0x212,BMS_ecuLogUploadRequest,14,14,LITTLE,little_endian,2,JSON_DIRECT,,
BMS_status,0x212,BMS_hvState,16,16,LITTLE,little_endian,3,JSON_DIRECT,,
BMS_status,0x212,BMS_isolationResistance,19,19,LITTLE,little_endian,10,JSON_DIRECT,,
BMS_status,0x212,BMS_state,32,32,LITTLE,little_endian,4,JSON_DIRECT,,
BMS_status,0x212,BMS_userChargeStatus,11,11,LITTLE,little_endian,3,JSON_DIRECT,,
BMS_udsResponse,0x612,BMS_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
