can_id,dlc,byte,bit,pattern,min_stage_purity,baseline,door_open,connected_idle,charging,stopped_connected,unlocked_connected,unplugged
0x132,6,2,6,1110111,1.0,1,1,1,0,1,1,1
0x132,6,3,0,1110111,1.0,1,1,1,0,1,1,1
0x132,6,3,1,1110111,1.0,1,1,1,0,1,1,1
0x132,6,3,2,1110111,1.0,1,1,1,0,1,1,1
0x132,6,3,3,1110111,1.0,1,1,1,0,1,1,1
0x132,6,3,4,1110111,1.0,1,1,1,0,1,1,1
0x132,6,3,5,1110111,1.0,1,1,1,0,1,1,1
0x132,6,3,6,1110111,1.0,1,1,1,0,1,1,1
0x132,6,3,7,1110111,1.0,1,1,1,0,1,1,1
0x132,6,4,7,0001000,1.0,0,0,0,1,0,0,0
0x132,6,5,0,0001000,1.0,0,0,0,1,0,0,0
0x204,8,0,0,1110111,1.0,1,1,1,0,1,1,1
0x204,8,0,1,0001000,1.0,0,0,0,1,0,0,0
0x204,8,0,2,0001000,1.0,0,0,0,1,0,0,0
0x204,8,0,5,0001000,1.0,0,0,0,1,0,0,0
0x204,8,0,6,0001110,1.0,0,0,0,1,1,1,0
0x204,8,1,0,0001000,1.0,0,0,0,1,0,0,0
0x204,8,1,1,0001000,1.0,0,0,0,1,0,0,0
0x204,8,2,1,0001000,1.0,0,0,0,1,0,0,0
0x204,8,2,2,0001000,1.0,0,0,0,1,0,0,0
0x204,8,2,6,0001000,1.0,0,0,0,1,0,0,0
0x204,8,3,1,1111001,1.0,1,1,1,1,0,0,1
0x204,8,3,2,1111001,1.0,1,1,1,1,0,0,1
0x204,8,3,3,1110001,1.0,1,1,1,0,0,0,1
0x204,8,3,4,1110001,1.0,1,1,1,0,0,0,1
0x204,8,3,5,1110001,1.0,1,1,1,0,0,0,1
0x204,8,3,6,1111001,1.0,1,1,1,1,0,0,1
0x204,8,3,7,1110001,1.0,1,1,1,0,0,0,1
0x204,8,4,7,0001000,1.0,0,0,0,1,0,0,0
0x204,8,5,5,0001000,1.0,0,0,0,1,0,0,0
0x204,8,5,7,0001000,1.0,0,0,0,1,0,0,0
0x204,8,7,0,0001000,1.0,0,0,0,1,0,0,0
0x20A,6,5,4,0001000,1.0,0,0,0,1,0,0,0
0x20C,8,2,1,0001111,1.0,0,0,0,1,1,1,1
0x212,8,0,0,0001000,1.0,0,0,0,1,0,0,0
0x212,8,1,3,0011110,1.0,0,0,1,1,1,1,0
0x212,8,1,4,0001000,1.0,0,0,0,1,0,0,0
0x212,8,1,5,0000110,1.0,0,0,0,0,1,1,0
0x212,8,2,5,0001000,1.0,0,0,0,1,0,0,0
0x212,8,3,6,0001000,1.0,0,0,0,1,0,0,0
0x212,8,4,0,0001000,1.0,0,0,0,1,0,0,0
0x212,8,5,0,1110111,1.0,1,1,1,0,1,1,1
0x212,8,5,1,1110111,1.0,1,1,1,0,1,1,1
