can_id,byte,bit,event,event_t_s,transition_t_s,delay_s,new_value,nearby_transition_count
0x25D,3,4,OPEN_DOOR,40.04,40.0443,0.0043,1,3
0x25D,3,5,OPEN_DOOR,40.04,40.0443,0.0043,1,5
0x25D,0,6,OPEN_DOOR,40.04,40.7434,0.7034,1,1
0x25D,3,7,OPEN_DOOR,40.04,40.7434,0.7034,1,1
0x43D,5,5,OPEN_DOOR,40.04,40.7453,0.7053,1,1
0x25D,2,5,OPEN_DOOR,40.04,41.0449,1.0049,1,2
0x25D,3,1,OPEN_DOOR,40.04,41.1447,1.1047,0,1
0x25D,3,3,OPEN_DOOR,40.04,41.1447,1.1047,1,1
0x21D,0,3,OPEN_DOOR,40.04,59.5463,19.5063,1,1
0x21D,0,6,OPEN_DOOR,40.04,59.5463,19.5063,1,1
0x21D,2,0,OPEN_DOOR,40.04,59.5463,19.5063,0,1
0x21D,2,1,OPEN_DOOR,40.04,59.5463,19.5063,1,1
0x21D,2,2,OPEN_DOOR,40.04,59.5463,19.5063,0,1
0x21D,6,4,OPEN_DOOR,40.04,59.5463,19.5063,1,1
0x43D,0,0,OPEN_DOOR,40.04,59.5466,19.5066,1,1
0x212,1,3,OPEN_DOOR,40.04,59.6293,19.5893,1,1
0x21D,2,4,OPEN_DOOR,40.04,59.645,19.605,0,1
0x21D,2,5,OPEN_DOOR,40.04,59.645,19.605,0,1
0x21D,3,5,OPEN_DOOR,40.04,59.645,19.605,1,1
0x25D,1,6,OPEN_DOOR,40.04,59.9456,19.9056,0,1
0x25D,1,7,OPEN_DOOR,40.04,59.9456,19.9056,1,1
0x25D,1,6,PLUG,60.04,59.9456,-0.0944,0,1
0x25D,1,7,PLUG,60.04,59.9456,-0.0944,1,1
0x25D,2,5,PLUG,60.04,59.8456,-0.1944,0,1
0x228,3,0,PLUG,60.04,60.2449,0.2049,1,1
0x228,3,1,PLUG,60.04,60.2449,0.2049,1,1
0x228,5,7,PLUG,60.04,60.2449,0.2049,0,1
0x228,7,0,PLUG,60.04,60.2449,0.2049,1,1
0x228,7,1,PLUG,60.04,60.2449,0.2049,1,1
0x2E8,5,7,PLUG,60.04,60.2591,0.2191,1,1
0x2AA,0,3,PLUG,60.04,60.2912,0.2512,0,1
0x2AA,0,6,PLUG,60.04,60.2912,0.2512,1,1
0x2AA,2,3,PLUG,60.04,60.2912,0.2512,0,1
0x288,3,0,PLUG,60.04,60.3016,0.2616,1,1
0x288,3,1,PLUG,60.04,60.3016,0.2616,1,1
0x288,5,7,PLUG,60.04,60.3016,0.2616,0,1
0x288,7,0,PLUG,60.04,60.3016,0.2616,1,1
0x288,7,1,PLUG,60.04,60.3016,0.2616,1,1
0x2A8,5,7,PLUG,60.04,60.3148,0.2748,1,1
0x2EC,0,3,PLUG,60.04,60.3327,0.2927,0,1
0x2EC,0,6,PLUG,60.04,60.3327,0.2927,1,1
0x2EC,2,3,PLUG,60.04,60.3327,0.2927,0,1
0x21D,2,4,PLUG,60.04,59.645,-0.395,0,1
0x21D,2,5,PLUG,60.04,59.645,-0.395,0,1
0x21D,3,5,PLUG,60.04,59.645,-0.395,1,1
0x212,1,3,PLUG,60.04,59.6293,-0.4107,1,1
0x25D,3,4,PLUG,60.04,59.547,-0.493,0,1
0x25D,3,5,PLUG,60.04,59.547,-0.493,1,1
0x43D,0,0,PLUG,60.04,59.5466,-0.4934,1,1
0x21D,0,3,PLUG,60.04,59.5463,-0.4937,1,1
0x21D,0,6,PLUG,60.04,59.5463,-0.4937,1,1
0x21D,2,0,PLUG,60.04,59.5463,-0.4937,0,1
0x21D,2,1,PLUG,60.04,59.5463,-0.4937,1,1
0x21D,2,2,PLUG,60.04,59.5463,-0.4937,0,1
0x21D,6,4,PLUG,60.04,59.5463,-0.4937,1,1
0x364,2,1,PLUG,60.04,61.9431,1.9031,1,1
0x318,5,2,START_REQUEST,160.02,152.8419,-7.1781,0,1
0x21D,1,6,START_REQUEST,160.02,173.3532,13.3332,1,1
0x43D,1,6,START_REQUEST,160.02,173.3565,13.3365,1,1
0x21D,0,5,START_REQUEST,160.02,173.4528,13.4328,1,1
0x21D,0,6,START_REQUEST,160.02,173.4528,13.4328,0,1
0x21D,4,7,START_REQUEST,160.02,173.4528,13.4328,1,1
0x21D,6,4,START_REQUEST,160.02,173.4528,13.4328,0,2
0x21D,6,5,START_REQUEST,160.02,173.4528,13.4328,1,1
0x25D,5,0,START_REQUEST,160.02,173.4534,13.4334,1,1
0x43D,0,0,START_REQUEST,160.02,173.4548,13.4348,0,2
0x43D,0,5,START_REQUEST,160.02,173.4548,13.4348,1,1
0x43D,5,1,START_REQUEST,160.02,173.4548,13.4348,1,1
0x49D,6,5,START_REQUEST,160.02,173.4551,13.4351,1,1
0x22A,2,2,START_REQUEST,160.02,173.4704,13.4504,1,1
0x2D2,4,4,START_REQUEST,160.02,173.5306,13.5106,1,1
0x2D2,4,6,START_REQUEST,160.02,173.5306,13.5106,1,1
0x2D2,5,1,START_REQUEST,160.02,173.5306,13.5106,1,1
0x2D2,5,2,START_REQUEST,160.02,173.5306,13.5106,1,1
0x2D2,6,1,START_REQUEST,160.02,173.5306,13.5106,1,1
0x2D2,6,2,START_REQUEST,160.02,173.5306,13.5106,1,1
0x2D2,6,3,START_REQUEST,160.02,173.5306,13.5106,1,1
0x2D2,6,6,START_REQUEST,160.02,173.5306,13.5106,1,1
0x2D2,6,7,START_REQUEST,160.02,173.5306,13.5106,0,1
0x212,0,0,START_REQUEST,160.02,173.5309,13.5109,1,1
0x212,1,3,START_REQUEST,160.02,173.5309,13.5109,0,2
0x212,1,4,START_REQUEST,160.02,173.5309,13.5109,1,1
0x212,3,6,START_REQUEST,160.02,173.5309,13.5109,1,1
0x212,4,0,START_REQUEST,160.02,173.5309,13.5109,1,1
0x212,6,6,START_REQUEST,160.02,173.5309,13.5109,0,1
0x212,7,0,START_REQUEST,160.02,173.5309,13.5109,1,1
0x212,7,5,START_REQUEST,160.02,173.5309,13.5109,0,1
0x252,1,1,START_REQUEST,160.02,173.531,13.511,1,1
0x252,1,2,START_REQUEST,160.02,173.531,13.511,1,1
0x252,1,4,START_REQUEST,160.02,173.531,13.511,1,1
0x252,2,6,START_REQUEST,160.02,173.531,13.511,1,3
0x204,0,0,START_REQUEST,160.02,173.5345,13.5145,0,3
0x204,0,1,START_REQUEST,160.02,173.5345,13.5145,1,3
0x204,7,0,START_REQUEST,160.02,173.5345,13.5145,1,1
0x21D,0,0,START_REQUEST,160.02,173.5527,13.5327,1,1
0x21D,0,1,START_REQUEST,160.02,173.5527,13.5327,1,1
0x43D,0,2,START_REQUEST,160.02,173.5565,13.5365,1,1
0x264,1,4,START_REQUEST,160.02,173.6352,13.6152,1,1
0x21D,2,5,START_REQUEST,160.02,173.6526,13.6326,1,1
0x204,0,2,START_REQUEST,160.02,173.7348,13.7148,1,1
0x252,3,0,START_REQUEST,160.02,173.8311,13.8111,1,1
0x252,3,1,START_REQUEST,160.02,173.8311,13.8111,0,1
0x264,1,3,START_REQUEST,160.02,173.8352,13.8152,1,1
0x232,0,6,START_REQUEST,160.02,173.8546,13.8346,0,1
0x232,1,1,START_REQUEST,160.02,173.8546,13.8346,1,1
0x20A,5,4,START_REQUEST,160.02,174.4294,14.4094,1,1
0x204,0,6,START_REQUEST,160.02,175.2343,15.2143,1,1
0x204,3,3,START_REQUEST,160.02,175.2343,15.2143,0,5
0x204,3,4,START_REQUEST,160.02,175.2343,15.2143,0,3
0x204,3,7,START_REQUEST,160.02,175.2343,15.2143,0,1
0x264,2,7,START_REQUEST,160.02,175.2351,15.2151,1,1
0x264,4,5,START_REQUEST,160.02,175.2351,15.2151,0,1
0x264,4,6,START_REQUEST,160.02,175.2351,15.2151,1,1
0x264,4,7,START_REQUEST,160.02,175.2351,15.2151,0,1
0x264,5,0,START_REQUEST,160.02,175.2351,15.2151,1,1
0x333,1,4,START_REQUEST,160.02,175.3703,15.3503,0,1
0x333,1,5,START_REQUEST,160.02,175.3703,15.3503,1,1
0x204,0,5,START_REQUEST,160.02,175.4344,15.4144,1,1
0x25D,0,2,START_REQUEST,160.02,175.4539,15.4339,0,1
0x252,4,2,START_REQUEST,160.02,175.5313,15.5113,1,1
0x252,4,4,START_REQUEST,160.02,175.5313,15.5113,1,1
0x252,4,5,START_REQUEST,160.02,175.5313,15.5113,1,1
0x252,4,6,START_REQUEST,160.02,175.5313,15.5113,1,1
0x252,4,7,START_REQUEST,160.02,175.5313,15.5113,1,1
0x252,5,0,START_REQUEST,160.02,175.5313,15.5113,1,1
0x212,5,0,START_REQUEST,160.02,175.5314,15.5114,0,11
0x212,5,1,START_REQUEST,160.02,175.5314,15.5114,0,7
0x212,5,5,START_REQUEST,160.02,175.5314,15.5114,0,1
0x212,5,6,START_REQUEST,160.02,175.5314,15.5114,0,1
0x212,5,7,START_REQUEST,160.02,175.5314,15.5114,0,1
0x212,6,0,START_REQUEST,160.02,175.5314,15.5114,0,1
0x212,6,1,START_REQUEST,160.02,175.5314,15.5114,0,1
0x212,6,2,START_REQUEST,160.02,175.5314,15.5114,0,1
0x2D2,2,3,START_REQUEST,160.02,175.5326,15.5126,1,1
0x25D,2,5,START_REQUEST,160.02,175.6532,15.6332,1,1
0x204,1,1,START_REQUEST,160.02,175.7339,15.7139,1,1
0x24A,0,1,START_REQUEST,160.02,175.7933,15.7733,0,1
0x472,4,4,START_REQUEST,160.02,176.1872,16.1672,1,1
0x364,1,1,START_REQUEST,160.02,176.936,16.916,0,1
0x364,1,3,START_REQUEST,160.02,176.936,16.916,1,1
0x364,1,4,START_REQUEST,160.02,176.936,16.916,1,1
0x364,1,5,START_REQUEST,160.02,176.936,16.916,1,1
0x364,1,6,START_REQUEST,160.02,176.936,16.916,1,1
0x364,1,7,START_REQUEST,160.02,176.936,16.916,0,1
0x204,3,5,START_REQUEST,160.02,177.8343,17.8143,0,1
0x264,3,1,START_REQUEST,160.02,177.8352,17.8152,1,4
0x252,5,4,STOP,380.1,378.9322,-1.1678,1,11
0x204,0,0,STOP,380.1,381.5226,1.4226,1,1
0x132,2,6,STOP,380.1,381.5301,1.4301,1,3
0x132,5,0,STOP,380.1,381.5301,1.4301,0,1
0x132,4,7,STOP,380.1,381.5406,1.4406,0,1
0x132,3,0,STOP,380.1,381.5503,1.4503,1,1
0x132,3,1,STOP,380.1,381.5503,1.4503,1,1
0x132,3,2,STOP,380.1,381.5503,1.4503,1,1
0x132,3,3,STOP,380.1,381.5503,1.4503,1,1
0x132,3,4,STOP,380.1,381.5503,1.4503,1,1
0x132,3,5,STOP,380.1,381.5503,1.4503,1,1
0x132,3,6,STOP,380.1,381.5503,1.4503,1,1
0x132,3,7,STOP,380.1,381.5503,1.4503,1,1
0x21D,0,5,STOP,380.1,381.5674,1.4674,0,1
0x21D,0,6,STOP,380.1,381.5674,1.4674,1,1
0x21D,1,6,STOP,380.1,381.5674,1.4674,0,1
0x21D,2,4,STOP,380.1,381.5674,1.4674,1,2
0x21D,2,5,STOP,380.1,381.5674,1.4674,0,1
0x21D,6,4,STOP,380.1,381.5674,1.4674,0,2
0x21D,6,5,STOP,380.1,381.5674,1.4674,0,1
0x43D,1,6,STOP,380.1,381.5685,1.4685,0,1
0x204,1,0,STOP,380.1,381.6224,1.5224,0,1
0x204,1,1,STOP,380.1,381.6224,1.5224,0,1
0x204,2,1,STOP,380.1,381.6224,1.5224,0,1
0x204,2,2,STOP,380.1,381.6224,1.5224,0,1
0x204,2,6,STOP,380.1,381.6224,1.5224,0,1
0x204,4,7,STOP,380.1,381.6224,1.5224,0,1
0x204,5,5,STOP,380.1,381.6224,1.5224,0,1
0x204,5,7,STOP,380.1,381.6224,1.5224,0,1
0x264,3,1,STOP,380.1,381.6225,1.5225,0,5
0x264,3,2,STOP,380.1,381.6225,1.5225,0,5
0x264,3,6,STOP,380.1,381.6225,1.5225,0,1
0x264,4,6,STOP,380.1,381.6225,1.5225,0,1
0x264,5,0,STOP,380.1,381.6225,1.5225,0,1
0x212,0,0,STOP,380.1,381.6313,1.5313,0,1
0x212,1,4,STOP,380.1,381.6313,1.5313,0,1
0x212,2,5,STOP,380.1,381.6313,1.5313,0,1
0x212,3,6,STOP,380.1,381.6313,1.5313,0,1
0x212,4,0,STOP,380.1,381.6313,1.5313,0,1
0x212,5,0,STOP,380.1,381.6313,1.5313,1,1
0x212,5,1,STOP,380.1,381.6313,1.5313,1,1
0x212,5,5,STOP,380.1,381.6313,1.5313,1,1
0x212,5,6,STOP,380.1,381.6313,1.5313,1,1
0x212,5,7,STOP,380.1,381.6313,1.5313,1,1
0x212,6,0,STOP,380.1,381.6313,1.5313,1,1
0x212,6,1,STOP,380.1,381.6313,1.5313,1,1
0x212,6,2,STOP,380.1,381.6313,1.5313,1,1
0x212,7,0,STOP,380.1,381.6313,1.5313,0,1
0x212,7,5,STOP,380.1,381.6313,1.5313,1,1
0x252,1,1,STOP,380.1,381.6319,1.5319,0,1
0x252,1,2,STOP,380.1,381.6319,1.5319,0,1
0x252,1,4,STOP,380.1,381.6319,1.5319,0,1
0x292,6,7,STOP,380.1,381.6322,1.5322,0,1
0x2D2,2,3,STOP,380.1,381.633,1.533,0,1
0x2D2,4,4,STOP,380.1,381.633,1.533,0,1
0x2D2,4,6,STOP,380.1,381.633,1.533,0,1
0x2D2,5,1,STOP,380.1,381.633,1.533,0,1
0x2D2,5,2,STOP,380.1,381.633,1.533,0,1
0x2D2,6,1,STOP,380.1,381.633,1.533,0,1
0x2D2,6,2,STOP,380.1,381.633,1.533,0,1
0x2D2,6,3,STOP,380.1,381.633,1.533,0,1
0x2D2,6,6,STOP,380.1,381.633,1.533,0,1
0x2D2,6,7,STOP,380.1,381.633,1.533,1,1
0x252,2,6,STOP,380.1,381.7326,1.6326,0,3
0x252,3,0,STOP,380.1,381.7326,1.6326,0,1
0x252,3,1,STOP,380.1,381.7326,1.6326,1,1
0x252,4,2,STOP,380.1,381.7326,1.6326,0,1
0x252,4,4,STOP,380.1,381.7326,1.6326,0,1
0x252,4,5,STOP,380.1,381.7326,1.6326,0,1
0x252,4,6,STOP,380.1,381.7326,1.6326,0,1
0x252,4,7,STOP,380.1,381.7326,1.6326,0,1
0x252,5,0,STOP,380.1,381.7326,1.6326,0,1
