can_id,dlc,start_byte,width_bytes,endian,signed,unique_values,range,charge_contrast_score,smoothness,connected_idle_median,charging_median,stopped_connected_median,unplugged_median,unplug_contrast
0x132,6,2,2,little,False,8,65351,1.999893,1.0,65528.0,180,65527.0,65527,0.0
0x132,6,3,2,big,False,36,65181,1.99934,0.999969,65320.0,160,65319.0,65319,0.0
0x241,7,0,2,little,False,14,4114,1.998542,0.999757,11308.0,15419.0,11308.0,11308.0,0.0
0x241,7,0,2,little,True,14,4114,1.998542,0.999757,11308.0,15419.0,11308.0,11308.0,0.0
0x252,8,0,2,little,False,29,5904,1.995935,1.0,0.0,5892.0,0.0,0.0,0.0
0x252,8,0,2,little,True,29,5904,1.995935,1.0,0.0,5892.0,0.0,0.0,0.0
0x2D2,8,4,2,little,False,11,1629,1.995089,1.0,0.0,1625.0,0.0,0.0,0.0
0x2D2,8,4,2,little,True,11,1629,1.995089,1.0,0.0,1625.0,0.0,0.0,0.0
0x204,8,3,2,little,False,8,41031,1.993736,1.0,255.0,41030.0,0.0,255.0,255.0
0x364,4,1,2,big,True,60,63174,1.992529,1.0,-32170.0,30846.0,-32014,-32012,2
0x32A,5,1,2,little,False,8,41472,1.987606,1.0,65406.0,24190.0,65404,65406,2
0x264,6,0,2,little,False,171,6669,1.983656,1.0,55.0,6679.0,74.0,57.0,17.0
0x264,6,0,2,little,True,171,6669,1.983656,1.0,55.0,6679.0,74.0,57.0,17.0
0x132,6,2,2,little,True,8,191,1.973822,1.0,-8.0,180,-9.0,-9,0.0
0x2A4,8,5,2,little,False,50,33488,1.9656,1.0,64847.0,32255.0,65487,65503,16
0x204,8,3,2,big,True,8,18592,1.958692,1.0,-256.0,18080.0,0.0,-256.0,256.0
0x232,8,1,2,big,False,27,527,1.944972,0.994307,222.0,734.0,221,221,0
0x232,8,1,2,big,True,27,527,1.944972,0.994307,222.0,734.0,221,221,0
0x204,8,3,2,little,True,8,25528,1.92992,1.0,255.0,-24506.0,0.0,255.0,255.0
0x2D2,8,4,2,big,False,11,23814,1.914,1.0,0.0,22790.0,0.0,0.0,0.0
0x2D2,8,4,2,big,True,11,23814,1.914,1.0,0.0,22790.0,0.0,0.0,0.0
0x2D2,8,4,1,little,False,11,93,1.913978,1.0,0.0,89.0,0.0,0.0,0.0
0x2D2,8,3,2,little,False,11,23808,1.913978,1.0,78.0,22862.0,78.0,78.0,0.0
0x2D2,8,3,2,little,True,11,23808,1.913978,1.0,78.0,22862.0,78.0,78.0,0.0
0x2D2,8,3,2,big,False,11,93,1.913978,1.0,19968.0,20057.0,19968.0,19968.0,0.0
0x2D2,8,3,2,big,True,11,93,1.913978,1.0,19968.0,20057.0,19968.0,19968.0,0.0
0x132,6,2,2,big,False,8,18431,1.902773,1.0,63743.0,46080,63487.0,63487,0.0
0x132,6,2,2,big,True,8,18431,1.902773,1.0,-1793.0,-19456,-2049.0,-2049,0.0
0x132,6,2,1,little,False,8,71,1.901408,1.0,248.0,180,247.0,247,0.0
0x132,6,1,2,little,False,10,18175,1.901403,1.0,63626.0,46219,63370.0,63370,0.0
0x132,6,1,2,little,True,10,18175,1.901403,1.0,-1910.0,-19317,-2166.0,-2166,0.0
0x364,4,1,2,big,False,60,2738,1.897736,1.0,33366.0,30846.0,33522,33524,2
0x132,6,3,2,big,True,36,398,1.89196,0.994975,-216.0,160,-217.0,-217,0.0
0x132,6,4,2,little,False,36,398,1.89196,0.994975,16424.0,16800,16423.0,16423,0.0
0x132,6,4,2,little,True,36,398,1.89196,0.994975,16424.0,16800,16423.0,16423,0.0
0x32A,5,1,2,little,True,8,26114,1.862679,1.0,-130.0,24190.0,-132,-130,2
