event_id,action,plan_time_s,status,session_script_time_us,skip_script_time_us,clock_iso,clock_epoch_ms
E01,"开始采集",0,triggered,64903,,"2026-09-10T07:35:56.889+08:00",1788996956889
E02,"手动下降，按住",20,triggered,20062808,,"2026-09-10T07:36:16.887+08:00",1788996976887
E03,"松开",22,triggered,22048854,,"2026-09-10T07:36:18.873+08:00",1788996978873
E04,"手动上升，按住",37,triggered,37029786,,"2026-09-10T07:36:33.854+08:00",1788996993854
E05,"松开",42,skipped,42055137,44184653,"2026-09-10T07:36:38.879+08:00",1788996998879
E06,"自动下降",57,triggered,57103132,,"2026-09-10T07:36:53.927+08:00",1788997013927
E07,"自动上升",72,triggered,128469741,,"2026-09-10T07:38:05.294+08:00",1788997085294
E08,"手动下降，按住",87,triggered,143455756,,"2026-09-10T07:38:20.280+08:00",1788997100280
E09,"松开",89,triggered,145460350,,"2026-09-10T07:38:22.284+08:00",1788997102284
E10,"手动上升，按住",104,triggered,160409642,,"2026-09-10T07:38:37.234+08:00",1788997117234
E11,"松开",109,triggered,165474377,,"2026-09-10T07:38:42.298+08:00",1788997122298
E12,"结束采集",124,triggered,180423632,,"2026-09-10T07:38:57.248+08:00",1788997137248
