category,can_id,message,signal,dbc_id_seen,decoded_samples,window,center_or_mode,min,max,changes
vehicle_state,0x118,DI_systemStatus,DI_gear,yes,2975,pre_stable,,,,0
vehicle_state,0x118,DI_systemStatus,DI_gear,yes,2975,door_open,,,,0
vehicle_state,0x118,DI_systemStatus,DI_gear,yes,2975,door_closed,,,,0
vehicle_state,0x118,DI_systemStatus,DI_gear,yes,2975,brake_pressed,P,,,0
vehicle_state,0x118,DI_systemStatus,DI_gear,yes,2975,post_brake,P,,,0
vehicle_state,0x118,DI_systemStatus,DI_gear,yes,2975,final_stable,P,,,0
vehicle_state,0x123,UI_alertMatrix1,UI_a019_ParkBrakeFault,yes,695,pre_stable,0,0,0,0
vehicle_state,0x123,UI_alertMatrix1,UI_a019_ParkBrakeFault,yes,695,door_open,0,0,0,0
vehicle_state,0x123,UI_alertMatrix1,UI_a019_ParkBrakeFault,yes,695,door_closed,0,0,0,0
vehicle_state,0x123,UI_alertMatrix1,UI_a019_ParkBrakeFault,yes,695,brake_pressed,0,0,0,0
vehicle_state,0x123,UI_alertMatrix1,UI_a019_ParkBrakeFault,yes,695,post_brake,0,0,0,0
vehicle_state,0x123,UI_alertMatrix1,UI_a019_ParkBrakeFault,yes,695,final_stable,0,0,0,0
vehicle_state,0x229,SCCM_rightStalk,SCCM_gearStalkStatus,yes,504,pre_stable,,,,0
vehicle_state,0x229,SCCM_rightStalk,SCCM_gearStalkStatus,yes,504,door_open,IDLE,,,0
vehicle_state,0x229,SCCM_rightStalk,SCCM_gearStalkStatus,yes,504,door_closed,IDLE,,,0
vehicle_state,0x229,SCCM_rightStalk,SCCM_gearStalkStatus,yes,504,brake_pressed,IDLE,,,0
vehicle_state,0x229,SCCM_rightStalk,SCCM_gearStalkStatus,yes,504,post_brake,IDLE,,,0
vehicle_state,0x229,SCCM_rightStalk,SCCM_gearStalkStatus,yes,504,final_stable,IDLE,,,0
vehicle_state,0x273,UI_vehicleControl,UI_driveStateRequest,yes,143,pre_stable,IDLE,,,0
vehicle_state,0x273,UI_vehicleControl,UI_driveStateRequest,yes,143,door_open,IDLE,,,0
vehicle_state,0x273,UI_vehicleControl,UI_driveStateRequest,yes,143,door_closed,IDLE,,,0
vehicle_state,0x273,UI_vehicleControl,UI_driveStateRequest,yes,143,brake_pressed,IDLE,,,0
vehicle_state,0x273,UI_vehicleControl,UI_driveStateRequest,yes,143,post_brake,IDLE,,,0
vehicle_state,0x273,UI_vehicleControl,UI_driveStateRequest,yes,143,final_stable,IDLE,,,0
vehicle_state,0x286,DI_locStatus,DI_parkBrakeState,yes,0,pre_stable,,,,0
vehicle_state,0x286,DI_locStatus,DI_parkBrakeState,yes,0,door_open,,,,0
vehicle_state,0x286,DI_locStatus,DI_parkBrakeState,yes,0,door_closed,,,,0
vehicle_state,0x286,DI_locStatus,DI_parkBrakeState,yes,0,brake_pressed,,,,0
vehicle_state,0x286,DI_locStatus,DI_parkBrakeState,yes,0,post_brake,,,,0
vehicle_state,0x286,DI_locStatus,DI_parkBrakeState,yes,0,final_stable,,,,0
vehicle_state,0x293,UI_chassisControl,UI_parkBrakeRequest,yes,139,pre_stable,IDLE,,,0
vehicle_state,0x293,UI_chassisControl,UI_parkBrakeRequest,yes,139,door_open,IDLE,,,0
vehicle_state,0x293,UI_chassisControl,UI_parkBrakeRequest,yes,139,door_closed,IDLE,,,0
vehicle_state,0x293,UI_chassisControl,UI_parkBrakeRequest,yes,139,brake_pressed,IDLE,,,0
vehicle_state,0x293,UI_chassisControl,UI_parkBrakeRequest,yes,139,post_brake,IDLE,,,0
vehicle_state,0x293,UI_chassisControl,UI_parkBrakeRequest,yes,139,final_stable,IDLE,,,0
vehicle_state,0x2A8,CMPD_state,CMPD_ready,yes,696,pre_stable,0.5,0,1,10
vehicle_state,0x2A8,CMPD_state,CMPD_ready,yes,696,door_open,0,0,1,8
vehicle_state,0x2A8,CMPD_state,CMPD_ready,yes,696,door_closed,0.5,0,1,9
vehicle_state,0x2A8,CMPD_state,CMPD_ready,yes,696,brake_pressed,1,0,1,5
vehicle_state,0x2A8,CMPD_state,CMPD_ready,yes,696,post_brake,1,0,1,4
vehicle_state,0x2A8,CMPD_state,CMPD_ready,yes,696,final_stable,1,0,1,24
vehicle_state,0x2B3,VCRIGHT_logging1Hz,VCRIGHT_ptcHeaterHvacActNotReady,yes,68,pre_stable,0,0,0,0
vehicle_state,0x2B3,VCRIGHT_logging1Hz,VCRIGHT_ptcHeaterHvacActNotReady,yes,68,door_open,0,0,0,0
vehicle_state,0x2B3,VCRIGHT_logging1Hz,VCRIGHT_ptcHeaterHvacActNotReady,yes,68,door_closed,0,0,0,0
vehicle_state,0x2B3,VCRIGHT_logging1Hz,VCRIGHT_ptcHeaterHvacActNotReady,yes,68,brake_pressed,0,0,0,0
vehicle_state,0x2B3,VCRIGHT_logging1Hz,VCRIGHT_ptcHeaterHvacActNotReady,yes,68,post_brake,0,0,0,0
vehicle_state,0x2B3,VCRIGHT_logging1Hz,VCRIGHT_ptcHeaterHvacActNotReady,yes,68,final_stable,0,0,0,0
vehicle_state,0x2C1,VCFRONT_logging10Hz,VCFRONT_compStandbyHVNotReady,yes,695,pre_stable,0,0,0,0
vehicle_state,0x2C1,VCFRONT_logging10Hz,VCFRONT_compStandbyHVNotReady,yes,695,door_open,0,0,0,0
vehicle_state,0x2C1,VCFRONT_logging10Hz,VCFRONT_compStandbyHVNotReady,yes,695,door_closed,0,0,0,0
vehicle_state,0x2C1,VCFRONT_logging10Hz,VCFRONT_compStandbyHVNotReady,yes,695,brake_pressed,0,0,0,0
vehicle_state,0x2C1,VCFRONT_logging10Hz,VCFRONT_compStandbyHVNotReady,yes,695,post_brake,0,0,0,0
vehicle_state,0x2C1,VCFRONT_logging10Hz,VCFRONT_compStandbyHVNotReady,yes,695,final_stable,0,0,0,0
vehicle_state,0x2C1,VCFRONT_logging10Hz,VCFRONT_compStandbySelfNotReady,yes,695,pre_stable,1,1,1,0
vehicle_state,0x2C1,VCFRONT_logging10Hz,VCFRONT_compStandbySelfNotReady,yes,695,door_open,1,1,1,0
vehicle_state,0x2C1,VCFRONT_logging10Hz,VCFRONT_compStandbySelfNotReady,yes,695,door_closed,1,1,1,0
vehicle_state,0x2C1,VCFRONT_logging10Hz,VCFRONT_compStandbySelfNotReady,yes,695,brake_pressed,1,1,1,0
vehicle_state,0x2C1,VCFRONT_logging10Hz,VCFRONT_compStandbySelfNotReady,yes,695,post_brake,1,1,1,0
vehicle_state,0x2C1,VCFRONT_logging10Hz,VCFRONT_compStandbySelfNotReady,yes,695,final_stable,1,1,1,0
vehicle_state,0x304,PM_alertMatrix1,PM_a006_inconsistentDIGear,no,0,pre_stable,,,,0
vehicle_state,0x304,PM_alertMatrix1,PM_a006_inconsistentDIGear,no,0,door_open,,,,0
vehicle_state,0x304,PM_alertMatrix1,PM_a006_inconsistentDIGear,no,0,door_closed,,,,0
vehicle_state,0x304,PM_alertMatrix1,PM_a006_inconsistentDIGear,no,0,brake_pressed,,,,0
vehicle_state,0x304,PM_alertMatrix1,PM_a006_inconsistentDIGear,no,0,post_brake,,,,0
vehicle_state,0x304,PM_alertMatrix1,PM_a006_inconsistentDIGear,no,0,final_stable,,,,0
vehicle_state,0x353,UI_status,UI_displayReady,yes,0,pre_stable,,,,0
vehicle_state,0x353,UI_status,UI_displayReady,yes,0,door_open,,,,0
vehicle_state,0x353,UI_status,UI_displayReady,yes,0,door_closed,,,,0
vehicle_state,0x353,UI_status,UI_displayReady,yes,0,brake_pressed,,,,0
vehicle_state,0x353,UI_status,UI_displayReady,yes,0,post_brake,,,,0
vehicle_state,0x353,UI_status,UI_displayReady,yes,0,final_stable,,,,0
vehicle_state,0x353,UI_status,UI_readyForDrive,yes,0,pre_stable,,,,0
vehicle_state,0x353,UI_status,UI_readyForDrive,yes,0,door_open,,,,0
vehicle_state,0x353,UI_status,UI_readyForDrive,yes,0,door_closed,,,,0
vehicle_state,0x353,UI_status,UI_readyForDrive,yes,0,brake_pressed,,,,0
vehicle_state,0x353,UI_status,UI_readyForDrive,yes,0,post_brake,,,,0
vehicle_state,0x353,UI_status,UI_readyForDrive,yes,0,final_stable,,,,0
vehicle_state,0x356,DI_alertMatrix1,DI_a011_swPowerStageNotReady,no,0,pre_stable,,,,0
vehicle_state,0x356,DI_alertMatrix1,DI_a011_swPowerStageNotReady,no,0,door_open,,,,0
vehicle_state,0x356,DI_alertMatrix1,DI_a011_swPowerStageNotReady,no,0,door_closed,,,,0
vehicle_state,0x356,DI_alertMatrix1,DI_a011_swPowerStageNotReady,no,0,brake_pressed,,,,0
vehicle_state,0x356,DI_alertMatrix1,DI_a011_swPowerStageNotReady,no,0,post_brake,,,,0
vehicle_state,0x356,DI_alertMatrix1,DI_a011_swPowerStageNotReady,no,0,final_stable,,,,0
vehicle_state,0x35D,IBST_alertMatrix,IBST_a151_PSCGearRatioReadFault,no,0,pre_stable,,,,0
vehicle_state,0x35D,IBST_alertMatrix,IBST_a151_PSCGearRatioReadFault,no,0,door_open,,,,0
vehicle_state,0x35D,IBST_alertMatrix,IBST_a151_PSCGearRatioReadFault,no,0,door_closed,,,,0
vehicle_state,0x35D,IBST_alertMatrix,IBST_a151_PSCGearRatioReadFault,no,0,brake_pressed,,,,0
vehicle_state,0x35D,IBST_alertMatrix,IBST_a151_PSCGearRatioReadFault,no,0,post_brake,,,,0
vehicle_state,0x35D,IBST_alertMatrix,IBST_a151_PSCGearRatioReadFault,no,0,final_stable,,,,0
vehicle_state,0x37F,FC_alertMatrix3,FC_a174_CA_vehReadyTimeout,no,0,pre_stable,,,,0
vehicle_state,0x37F,FC_alertMatrix3,FC_a174_CA_vehReadyTimeout,no,0,door_open,,,,0
vehicle_state,0x37F,FC_alertMatrix3,FC_a174_CA_vehReadyTimeout,no,0,door_closed,,,,0
vehicle_state,0x37F,FC_alertMatrix3,FC_a174_CA_vehReadyTimeout,no,0,brake_pressed,,,,0
vehicle_state,0x37F,FC_alertMatrix3,FC_a174_CA_vehReadyTimeout,no,0,post_brake,,,,0
vehicle_state,0x37F,FC_alertMatrix3,FC_a174_CA_vehReadyTimeout,no,0,final_stable,,,,0
vehicle_state,0x37F,FC_alertMatrix3,FC_a185_CA_vehReadyDeasserted,no,0,pre_stable,,,,0
vehicle_state,0x37F,FC_alertMatrix3,FC_a185_CA_vehReadyDeasserted,no,0,door_open,,,,0
vehicle_state,0x37F,FC_alertMatrix3,FC_a185_CA_vehReadyDeasserted,no,0,door_closed,,,,0
vehicle_state,0x37F,FC_alertMatrix3,FC_a185_CA_vehReadyDeasserted,no,0,brake_pressed,,,,0
vehicle_state,0x37F,FC_alertMatrix3,FC_a185_CA_vehReadyDeasserted,no,0,post_brake,,,,0
vehicle_state,0x37F,FC_alertMatrix3,FC_a185_CA_vehReadyDeasserted,no,0,final_stable,,,,0
vehicle_state,0x384,PMS_alertMatrix1,PMS_w006_inconsistentDIGear,yes,30,pre_stable,,,,0
vehicle_state,0x384,PMS_alertMatrix1,PMS_w006_inconsistentDIGear,yes,30,door_open,,,,0
vehicle_state,0x384,PMS_alertMatrix1,PMS_w006_inconsistentDIGear,yes,30,door_closed,,,,0
vehicle_state,0x384,PMS_alertMatrix1,PMS_w006_inconsistentDIGear,yes,30,brake_pressed,0,0,0,0
vehicle_state,0x384,PMS_alertMatrix1,PMS_w006_inconsistentDIGear,yes,30,post_brake,0,0,0,0
vehicle_state,0x384,PMS_alertMatrix1,PMS_w006_inconsistentDIGear,yes,30,final_stable,0,0,0,0
vehicle_state,0x399,DAS_status,DAS_autoparkReady,yes,0,pre_stable,,,,0
vehicle_state,0x399,DAS_status,DAS_autoparkReady,yes,0,door_open,,,,0
vehicle_state,0x399,DAS_status,DAS_autoparkReady,yes,0,door_closed,,,,0
vehicle_state,0x399,DAS_status,DAS_autoparkReady,yes,0,brake_pressed,,,,0
vehicle_state,0x399,DAS_status,DAS_autoparkReady,yes,0,post_brake,,,,0
vehicle_state,0x399,DAS_status,DAS_autoparkReady,yes,0,final_stable,,,,0
vehicle_state,0x3A5,DIS_alertMatrix1,DIS_a011_swPowerStageNotReady,no,0,pre_stable,,,,0
vehicle_state,0x3A5,DIS_alertMatrix1,DIS_a011_swPowerStageNotReady,no,0,door_open,,,,0
vehicle_state,0x3A5,DIS_alertMatrix1,DIS_a011_swPowerStageNotReady,no,0,door_closed,,,,0
vehicle_state,0x3A5,DIS_alertMatrix1,DIS_a011_swPowerStageNotReady,no,0,brake_pressed,,,,0
vehicle_state,0x3A5,DIS_alertMatrix1,DIS_a011_swPowerStageNotReady,no,0,post_brake,,,,0
vehicle_state,0x3A5,DIS_alertMatrix1,DIS_a011_swPowerStageNotReady,no,0,final_stable,,,,0
vehicle_state,0x3B3,UI_vehicleControl2,UI_readyToAddKey,yes,0,pre_stable,,,,0
vehicle_state,0x3B3,UI_vehicleControl2,UI_readyToAddKey,yes,0,door_open,,,,0
vehicle_state,0x3B3,UI_vehicleControl2,UI_readyToAddKey,yes,0,door_closed,,,,0
vehicle_state,0x3B3,UI_vehicleControl2,UI_readyToAddKey,yes,0,brake_pressed,,,,0
vehicle_state,0x3B3,UI_vehicleControl2,UI_readyToAddKey,yes,0,post_brake,,,,0
vehicle_state,0x3B3,UI_vehicleControl2,UI_readyToAddKey,yes,0,final_stable,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a295_GB_vehReadyTimeout,no,0,pre_stable,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a295_GB_vehReadyTimeout,no,0,door_open,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a295_GB_vehReadyTimeout,no,0,door_closed,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a295_GB_vehReadyTimeout,no,0,brake_pressed,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a295_GB_vehReadyTimeout,no,0,post_brake,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a295_GB_vehReadyTimeout,no,0,final_stable,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a299_GB_evseReadyTimeout,no,0,pre_stable,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a299_GB_evseReadyTimeout,no,0,door_open,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a299_GB_evseReadyTimeout,no,0,door_closed,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a299_GB_evseReadyTimeout,no,0,brake_pressed,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a299_GB_evseReadyTimeout,no,0,post_brake,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a299_GB_evseReadyTimeout,no,0,final_stable,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a306_GB_vehReadyDeasserted,no,0,pre_stable,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a306_GB_vehReadyDeasserted,no,0,door_open,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a306_GB_vehReadyDeasserted,no,0,door_closed,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a306_GB_vehReadyDeasserted,no,0,brake_pressed,,,,0
vehicle_state,0x3BE,FC_alertMatrix5,FC_a306_GB_vehReadyDeasserted,no,0,post_brake,,,,0
