rank,can_id,20s 打开驾驶门,30s 坐入驾驶位并关闭驾驶门,40s 踩下制动踏板5秒,45s 松开制动踏板
1,0x228,8bit/55次,12bit/60次,20bit/66次,8bit/56次
2,0x288,8bit/57次,12bit/61次,20bit/68次,8bit/57次
3,0x39D,12bit/160次,12bit/162次,23bit/250次,24bit/232次
4,0x102,7bit/11次,7bit/19次,2bit/14次,2bit/8次
5,0x55D,0bit/0次,0bit/0次,25bit/25次,22bit/22次
6,0x3E2,0bit/0次,0bit/0次,1bit/1次,1bit/1次
7,0x3E3,0bit/0次,0bit/0次,1bit/1次,1bit/1次
8,0x2A8,8bit/58次,10bit/61次,16bit/68次,13bit/57次
9,0x229,15bit/104次,12bit/88次,13bit/106次,12bit/85次
10,0x2E8,8bit/53次,10bit/56次,16bit/70次,13bit/66次
11,0x1E5,0bit/0次,0bit/0次,10bit/437次,9bit/506次
12,0x70B,42bit/54次,42bit/54次,42bit/54次,24bit/43次
13,0x25B,8bit/58次,8bit/58次,12bit/61次,12bit/64次
14,0x319,39bit/42次,21bit/24次,35bit/36次,33bit/63次
15,0x330,24bit/24次,36bit/48次,36bit/48次,38bit/43次
16,0x3A8,35bit/103次,33bit/98次,37bit/112次,36bit/115次
17,0x3C4,49bit/72次,49bit/72次,49bit/72次,0bit/0次
18,0x2B4,12bit/68次,10bit/93次,16bit/87次,11bit/66次
19,0x23A,35bit/36次,9bit/13次,47bit/62次,17bit/23次
20,0x321,14bit/16次,10bit/16次,15bit/17次,8bit/10次
21,0x709,41bit/155次,25bit/57次,34bit/66次,42bit/59次
22,0x361,7bit/7次,4bit/4次,8bit/8次,3bit/6次
23,0x7B1,29bit/76次,15bit/16次,15bit/16次,0bit/0次
24,0x7D5,0bit/0次,0bit/0次,59bit/509次,58bit/592次
25,0x609,39bit/977次,62bit/2815次,30bit/271次,0bit/0次
26,0x400,0bit/0次,10bit/11次,1bit/1次,3bit/4次
27,0x382,2bit/2次,0bit/0次,1bit/1次,0bit/0次
28,0x323,3bit/3次,0bit/0次,3bit/3次,0bit/0次
29,0x441,30bit/774次,30bit/774次,33bit/800次,33bit/809次
30,0x53E,28bit/28次,28bit/28次,28bit/28次,0bit/0次
31,0x266,0bit/0次,0bit/0次,19bit/26次,6bit/7次
32,0x2E1,57bit/2310次,57bit/2352次,57bit/2488次,56bit/2423次
33,0x315,0bit/0次,0bit/0次,55bit/226次,51bit/236次
34,0x545,42bit/915次,40bit/941次,46bit/961次,44bit/1001次
35,0x268,0bit/0次,0bit/0次,22bit/41次,6bit/7次
36,0x310,12bit/12次,12bit/12次,12bit/12次,31bit/31次
37,0x318,12bit/63次,14bit/61次,14bit/67次,13bit/65次
38,0x3DD,17bit/17次,27bit/27次,30bit/30次,20bit/20次
39,0x726,1bit/1次,5bit/5次,3bit/3次,5bit/5次
40,0x335,0bit/0次,0bit/0次,21bit/21次,40bit/50次
41,0x672,2bit/2次,2bit/2次,2bit/2次,0bit/0次
