profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
generic-event,事件附近变化,76.744,0x228,7,2,EPBR_internalStatus,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,76.744,0x228,7,3,EPBR_internalStatus,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,76.744,0x288,7,2,EPBL_internalStatus,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,76.744,0x288,7,3,EPBL_internalStatus,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,75.047,0x39D,3,4,IBST_status,71.60736669288104,0.5,2,4,11,1,1.8544755080502136
generic-event,事件附近变化,74.554,0x39D,3,1,IBST_status,55.51022776892307,0.5,2,4,19,3,3.4439279859475684
generic-event,事件附近变化,74.054,0x39D,3,2,IBST_status,48.451877138804356,0.5,2,4,12,2,2.660543101998281
generic-event,事件附近变化,73.533,0x102,1,0,VCLEFT_doorStatus,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,73.198,0x39D,3,5,IBST_status,32.76069398426565,0.5,2,4,5,1,1.094790811386892
generic-event,事件附近变化,72.992,0x55D,3,1,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.992,0x55D,3,3,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.992,0x55D,4,1,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.992,0x55D,4,7,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.992,0x55D,5,0,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.992,0x55D,5,6,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.992,0x55D,6,1,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.992,0x55D,6,2,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.481,0x102,1,6,VCLEFT_doorStatus,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.459,0x3E2,0,0,VCLEFT_lightStatus,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.400,0x3E3,0,0,VCRIGHT_lightStatus,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.246,0x2A8,2,4,CMPD_state,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.246,0x2A8,3,4,CMPD_state,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.246,0x2A8,6,1,CMPD_state,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.246,0x2A8,7,1,CMPD_state,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.246,0x2A8,7,2,CMPD_state,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.245,0x229,1,6,SCCM_rightStalk,67.66666666666666,0.5,2,4,4,0,1.3899227746995426
generic-event,事件附近变化,72.244,0x2E8,2,4,EPBR_status,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.244,0x2E8,3,4,EPBR_status,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.244,0x2E8,6,1,EPBR_status,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.244,0x2E8,7,1,EPBR_status,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,72.244,0x2E8,7,2,EPBR_status,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,71.725,0x1E5,7,2,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,71.645,0x1E5,1,6,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,71.553,0x39D,0,6,IBST_status,3.441231767815004,1.0,4,4,32,98,1.5056966142023627
generic-event,事件附近变化,71.553,0x39D,0,7,IBST_status,3.510095657481532,1.0,4,4,28,84,0.6292463124487602
generic-event,事件附近变化,71.537,0x70B,2,2,,4.579126866164742,1.0,4,4,8,18,0.6143500661107476
generic-event,事件附近变化,71.537,0x70B,4,0,,4.579126866164742,1.0,4,4,8,18,0.6143500661107476
generic-event,事件附近变化,71.261,0x39D,3,0,IBST_status,28.29407509963206,0.5,2,4,15,5,3.2468023594354527
generic-event,事件附近变化,71.156,0x39D,3,3,IBST_status,26.38628875060037,0.5,2,4,9,3,2.4152832429311797
generic-event,事件附近变化,71.047,0x25B,1,6,APP_environment,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,71.047,0x25B,2,2,APP_environment,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,71.047,0x25B,7,2,APP_environment,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,71.047,0x25B,7,3,APP_environment,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,70.229,0x319,7,1,VCSEC_info,5.5599480683776505,1.0,4,4,5,9,0.6782427834905317
generic-event,事件附近变化,68.558,0x70B,2,1,,9.669385284678732,0.75,3,4,6,6,0.859194181035282
generic-event,事件附近变化,67.938,0x330,4,4,SCCM_info,4.705356285047986,1.0,4,4,6,13,0.4707366068374622
generic-event,事件附近变化,67.938,0x330,4,5,SCCM_info,4.705356285047986,1.0,4,4,6,13,0.4707366068374622
generic-event,事件附近变化,67.938,0x330,5,4,SCCM_info,4.705356285047986,1.0,4,4,6,13,0.4707366068374622
generic-event,事件附近变化,67.891,0x39D,3,6,IBST_status,19.81180308139385,0.5,2,4,3,1,0.6011066359186376
generic-event,事件附近变化,67.759,0x3A8,4,2,,9.789597454817146,0.75,3,4,7,7,2.6702395203655658
generic-event,事件附近变化,66.537,0x330,5,2,SCCM_info,4.705356285047986,1.0,4,4,6,13,0.588459171296326
generic-event,事件附近变化,66.537,0x330,5,5,SCCM_info,4.705356285047986,1.0,4,4,6,13,0.588459171296326
generic-event,事件附近变化,66.301,0x330,4,3,SCCM_info,11.55743176432229,0.75,3,4,5,4,0.7501743718184836
generic-event,事件附近变化,66.301,0x330,5,3,SCCM_info,11.55743176432229,0.75,3,4,5,4,0.7501743718184836
generic-event,事件附近变化,65.999,0x39D,2,7,IBST_status,16.05181781581981,0.5,2,4,10,6,2.864174326110288
generic-event,事件附近变化,65.240,0x3C4,5,1,PCS_info,5.439130209443209,0.75,3,4,9,17,1.4118480142523768
generic-event,事件附近变化,65.240,0x3C4,5,7,PCS_info,5.439130209443209,0.75,3,4,9,17,1.4118480142523768
generic-event,事件附近变化,64.505,0x319,6,0,VCSEC_info,3.220357505440961,1.0,4,4,5,16,1.0199720180193446
generic-event,事件附近变化,64.505,0x319,7,2,VCSEC_info,3.220357505440961,1.0,4,4,5,16,1.0199720180193446
generic-event,事件附近变化,64.505,0x319,7,3,VCSEC_info,3.220357505440961,1.0,4,4,5,16,1.0199720180193446
generic-event,事件附近变化,64.505,0x319,7,7,VCSEC_info,3.220357505440961,1.0,4,4,5,16,1.0199720180193446
generic-event,事件附近变化,64.486,0x2B4,4,6,PCS_dcdcBusStatus,5.588706322860413,0.75,3,4,14,26,3.687681878653169
