rank,blind_score,can_id,profiles,roles,best_byte,best_bit_in_byte,evidence_count,dbc_known,dbc_message,sources
1,76.744,0x228,generic-event,事件附近变化,7,2,2,yes,EPBR_internalStatus,generic-event:事件附近变化
2,76.744,0x288,generic-event,事件附近变化,7,2,2,yes,EPBL_internalStatus,generic-event:事件附近变化
3,75.047,0x39D,generic-event,事件附近变化,3,4,12,yes,IBST_status,generic-event:事件附近变化
4,73.533,0x102,generic-event,事件附近变化,1,0,2,yes,VCLEFT_doorStatus,generic-event:事件附近变化
5,72.992,0x55D,generic-event,事件附近变化,3,1,13,no,,generic-event:事件附近变化
6,72.459,0x3E2,generic-event,事件附近变化,0,0,1,yes,VCLEFT_lightStatus,generic-event:事件附近变化
7,72.400,0x3E3,generic-event,事件附近变化,0,0,1,yes,VCRIGHT_lightStatus,generic-event:事件附近变化
8,72.246,0x2A8,generic-event,事件附近变化,2,4,5,yes,CMPD_state,generic-event:事件附近变化
9,72.245,0x229,generic-event,事件附近变化,1,6,1,yes,SCCM_rightStalk,generic-event:事件附近变化
10,72.244,0x2E8,generic-event,事件附近变化,2,4,5,yes,EPBR_status,generic-event:事件附近变化
11,71.725,0x1E5,generic-event,事件附近变化,7,2,3,no,,generic-event:事件附近变化
12,71.537,0x70B,generic-event,事件附近变化,2,2,17,no,,generic-event:事件附近变化
13,71.047,0x25B,generic-event,事件附近变化,1,6,4,yes,APP_environment,generic-event:事件附近变化
14,70.229,0x319,generic-event,事件附近变化,7,1,23,yes,VCSEC_info,generic-event:事件附近变化
15,67.938,0x330,generic-event,事件附近变化,4,4,13,yes,SCCM_info,generic-event:事件附近变化
16,67.759,0x3A8,generic-event,事件附近变化,4,2,1,no,,generic-event:事件附近变化
17,65.240,0x3C4,generic-event,事件附近变化,5,1,8,yes,PCS_info,generic-event:事件附近变化
18,64.486,0x2B4,generic-event,事件附近变化,4,6,1,yes,PCS_dcdcBusStatus,generic-event:事件附近变化
19,64.148,0x23A,generic-event,事件附近变化,2,7,5,no,,generic-event:事件附近变化
20,63.417,0x321,generic-event,事件附近变化,7,1,4,yes,VCFRONT_sensors,generic-event:事件附近变化
21,63.165,0x709,generic-event,事件附近变化,0,4,6,no,,generic-event:事件附近变化
22,62.803,0x361,generic-event,事件附近变化,2,0,8,no,,generic-event:事件附近变化
23,60.525,0x7B1,generic-event,事件附近变化,0,2,15,no,,generic-event:事件附近变化
24,59.197,0x7D5,generic-event,事件附近变化,6,3,1,yes,DI_debug,generic-event:事件附近变化
25,57.342,0x609,generic-event,事件附近变化,4,1,15,no,,generic-event:事件附近变化
26,56.799,0x400,generic-event,事件附近变化,2,3,2,no,,generic-event:事件附近变化
27,55.850,0x382,generic-event,事件附近变化,0,0,1,no,,generic-event:事件附近变化
28,55.449,0x323,generic-event,事件附近变化,0,1,2,no,,generic-event:事件附近变化
29,54.577,0x441,generic-event,事件附近变化,7,2,1,no,,generic-event:事件附近变化
30,54.412,0x53E,generic-event,事件附近变化,0,0,8,yes,CP_info,generic-event:事件附近变化
31,54.072,0x266,generic-event,事件附近变化,3,4,1,yes,DI_power,generic-event:事件附近变化
32,51.504,0x2E1,generic-event,事件附近变化,6,4,1,yes,VCFRONT_status,generic-event:事件附近变化
33,51.267,0x315,generic-event,事件附近变化,6,5,2,yes,DI_temperature,generic-event:事件附近变化
34,49.743,0x545,generic-event,事件附近变化,2,6,1,no,,generic-event:事件附近变化
35,48.431,0x268,generic-event,事件附近变化,0,3,1,yes,DI_systemPower,generic-event:事件附近变化
36,48.158,0x310,generic-event,事件附近变化,2,3,6,yes,HVP_info,generic-event:事件附近变化
37,47.855,0x318,generic-event,事件附近变化,7,7,1,yes,UTC_systemTime,generic-event:事件附近变化
38,47.827,0x3DD,generic-event,事件附近变化,4,0,1,no,,generic-event:事件附近变化
39,42.871,0x726,generic-event,事件附近变化,2,2,3,no,,generic-event:事件附近变化
40,41.500,0x335,generic-event,事件附近变化,2,7,2,yes,DIS_info,generic-event:事件附近变化
41,36.314,0x672,generic-event,事件附近变化,0,0,2,no,,generic-event:事件附近变化
