rank,score,can_id,message,signal,unit,step_time_s,step,matched,change_time_s,offset_s,before,after
1,13.921,0x401,BMS_brickVoltages,BMS_brick5,V,20.000,打开驾驶门,yes,19.441200,-0.558800,3.2845,3.2844
1,13.921,0x401,BMS_brickVoltages,BMS_brick5,V,30.000,坐入驾驶位并关闭驾驶门,yes,30.441200,+0.441200,3.2844,3.2843
1,13.921,0x401,BMS_brickVoltages,BMS_brick5,V,40.000,踩下制动踏板5秒,yes,40.441900,+0.441900,3.2843,3.284
1,13.921,0x401,BMS_brickVoltages,BMS_brick5,V,45.000,松开制动踏板,yes,45.442200,+0.442200,3.284,3.2841
2,13.917,0x401,BMS_brickVoltages,BMS_brick102,V,20.000,打开驾驶门,yes,20.101000,+0.101000,3.285,3.2851
2,13.917,0x401,BMS_brickVoltages,BMS_brick102,V,30.000,坐入驾驶位并关闭驾驶门,yes,30.101200,+0.101200,3.285,3.2849
2,13.917,0x401,BMS_brickVoltages,BMS_brick102,V,40.000,踩下制动踏板5秒,yes,40.101500,+0.101500,3.285,3.2849
2,13.917,0x401,BMS_brickVoltages,BMS_brick102,V,45.000,松开制动踏板,yes,44.101500,-0.898500,3.2847,3.2846
3,13.909,0x75D,CP_sensorData,CP_doorI,A,20.000,打开驾驶门,yes,20.087000,+0.087000,2.35,1.07
3,13.909,0x75D,CP_sensorData,CP_doorI,A,30.000,坐入驾驶位并关闭驾驶门,yes,29.887700,-0.112300,4.27,1.07
3,13.909,0x75D,CP_sensorData,CP_doorI,A,40.000,踩下制动踏板5秒,yes,41.092200,+1.092200,6.83,1.07
3,13.909,0x75D,CP_sensorData,CP_doorI,A,45.000,松开制动踏板,yes,45.289600,+0.289600,2.99,9.39
4,13.864,0x401,BMS_brickVoltages,BMS_brick81,V,20.000,打开驾驶门,yes,20.961800,+0.961800,3.284,3.2839
4,13.864,0x401,BMS_brickVoltages,BMS_brick81,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.962100,-0.037900,3.2839,3.284
4,13.864,0x401,BMS_brickVoltages,BMS_brick81,V,40.000,踩下制动踏板5秒,yes,40.962400,+0.962400,3.2839,3.2835
4,13.864,0x401,BMS_brickVoltages,BMS_brick81,V,45.000,松开制动踏板,yes,44.962500,-0.037500,3.2837,3.2836
5,13.822,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_headlampLeftCurrent,A,20.000,打开驾驶门,yes,20.345100,+0.345100,0,0.6
5,13.822,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_headlampLeftCurrent,A,30.000,坐入驾驶位并关闭驾驶门,yes,29.845700,-0.154300,0.8,0.6
5,13.822,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_headlampLeftCurrent,A,40.000,踩下制动踏板5秒,yes,39.346300,-0.653700,0.7,0.6
5,13.822,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_headlampLeftCurrent,A,45.000,松开制动踏板,yes,45.047100,+0.047100,12,11.9
6,13.784,0x401,BMS_brickVoltages,BMS_brick37,V,20.000,打开驾驶门,yes,19.661500,-0.338500,3.2841,3.284
6,13.784,0x401,BMS_brickVoltages,BMS_brick37,V,30.000,坐入驾驶位并关闭驾驶门,yes,30.662100,+0.662100,3.2839,3.284
6,13.784,0x401,BMS_brickVoltages,BMS_brick37,V,40.000,踩下制动踏板5秒,yes,39.662300,-0.337700,3.2839,3.284
6,13.784,0x401,BMS_brickVoltages,BMS_brick37,V,45.000,松开制动踏板,yes,44.662000,-0.338000,3.2835,3.2836
7,13.777,0x38D,TAS_warningMatrix3,TAS_w140_shortCircuitRR,,20.000,打开驾驶门,yes,20.292600,+0.292600,0,1
7,13.777,0x38D,TAS_warningMatrix3,TAS_w140_shortCircuitRR,,30.000,坐入驾驶位并关闭驾驶门,yes,30.293000,+0.293000,1,0
7,13.777,0x38D,TAS_warningMatrix3,TAS_w140_shortCircuitRR,,40.000,踩下制动踏板5秒,yes,41.293300,+1.293300,1,0
7,13.777,0x38D,TAS_warningMatrix3,TAS_w140_shortCircuitRR,,45.000,松开制动踏板,yes,45.293700,+0.293700,1,0
8,13.721,0x75D,CP_sensorData,CP_doorLastRequestMaxI,A,20.000,打开驾驶门,yes,18.686900,-1.313100,2.5775,5.1375
8,13.721,0x75D,CP_sensorData,CP_doorLastRequestMaxI,A,30.000,坐入驾驶位并关闭驾驶门,yes,29.887700,-0.112300,0.0175,7.6975
8,13.721,0x75D,CP_sensorData,CP_doorLastRequestMaxI,A,40.000,踩下制动踏板5秒,yes,39.690800,-0.309200,0.015,2.575
8,13.721,0x75D,CP_sensorData,CP_doorLastRequestMaxI,A,45.000,松开制动踏板,yes,45.289600,+0.289600,0.015,7.695
9,13.669,0x75D,CP_sensorData,CP_doorPot,%,20.000,打开驾驶门,yes,21.487100,+1.487100,82.525,74.125
9,13.669,0x75D,CP_sensorData,CP_doorPot,%,30.000,坐入驾驶位并关闭驾驶门,yes,29.887700,-0.112300,81.325,73.725
9,13.669,0x75D,CP_sensorData,CP_doorPot,%,40.000,踩下制动踏板5秒,yes,39.690800,-0.309200,70.925,82.525
9,13.669,0x75D,CP_sensorData,CP_doorPot,%,45.000,松开制动踏板,yes,45.289600,+0.289600,82.525,74.525
10,13.573,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_headlampRightCurrent,A,20.000,打开驾驶门,yes,20.345100,+0.345100,0,0.6
10,13.573,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_headlampRightCurrent,A,30.000,坐入驾驶位并关闭驾驶门,yes,29.845700,-0.154300,0.9,0.8
10,13.573,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_headlampRightCurrent,A,40.000,踩下制动踏板5秒,yes,39.346300,-0.653700,0.6,0.7
10,13.573,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_headlampRightCurrent,A,45.000,松开制动踏板,yes,45.047100,+0.047100,9.2,9.1
11,13.422,0x401,BMS_brickVoltages,BMS_brick17,V,20.000,打开驾驶门,yes,20.521100,+0.521100,3.2843,3.2842
11,13.422,0x401,BMS_brickVoltages,BMS_brick17,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.521300,-0.478700,3.2842,3.2841
11,13.422,0x401,BMS_brickVoltages,BMS_brick17,V,40.000,踩下制动踏板5秒,yes,40.521500,+0.521500,3.2841,3.2838
11,13.422,0x401,BMS_brickVoltages,BMS_brick17,V,45.000,松开制动踏板,yes,44.521600,-0.478400,3.2838,3.2839
12,13.422,0x401,BMS_brickVoltages,BMS_brick2,V,20.000,打开驾驶门,yes,19.422400,-0.577600,3.2846,3.2845
12,13.422,0x401,BMS_brickVoltages,BMS_brick2,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.422300,-0.577700,3.2844,3.2845
12,13.422,0x401,BMS_brickVoltages,BMS_brick2,V,40.000,踩下制动踏板5秒,yes,40.422600,+0.422600,3.2845,3.2841
12,13.422,0x401,BMS_brickVoltages,BMS_brick2,V,45.000,松开制动踏板,yes,45.422700,+0.422700,3.2841,3.2842
13,13.421,0x401,BMS_brickVoltages,BMS_brick62,V,20.000,打开驾驶门,yes,19.821300,-0.178700,3.2844,3.2845
