rank,can_id,40s 第一次松开制动踏板,70s 第二次松开制动踏板,100s 第三次松开制动踏板,130s 第四次松开制动踏板
1,0x3F2,41bit/55次,39bit/57次,44bit/59次,39bit/57次
2,0x300,41bit/62次,41bit/62次,41bit/62次,41bit/62次
3,0x295,31bit/208次,31bit/208次,31bit/208次,31bit/208次
4,0x724,4bit/4次,4bit/4次,4bit/4次,4bit/4次
5,0x1E5,4bit/450次,9bit/466次,9bit/462次,9bit/496次
6,0x70B,16bit/16次,16bit/16次,16bit/16次,16bit/16次
7,0x3AE,14bit/226次,13bit/212次,17bit/254次,15bit/238次
8,0x310,25bit/25次,25bit/25次,25bit/25次,25bit/25次
9,0x330,14bit/14次,14bit/14次,14bit/14次,14bit/14次
10,0x23A,26bit/26次,33bit/33次,9bit/9次,26bit/26次
11,0x2A8,8bit/53次,13bit/59次,8bit/53次,13bit/57次
12,0x39D,10bit/155次,21bit/184次,14bit/169次,24bit/242次
13,0x25B,8bit/60次,12bit/65次,8bit/55次,12bit/62次
14,0x303,25bit/28次,39bit/47次,21bit/24次,45bit/51次
15,0x302,26bit/31次,36bit/45次,27bit/39次,23bit/38次
16,0x3DD,49bit/60次,30bit/38次,16bit/25次,50bit/63次
17,0x301,26bit/33次,39bit/51次,29bit/43次,43bit/47次
18,0x38B,8bit/12次,6bit/10次,12bit/14次,6bit/8次
19,0x726,4bit/4次,4bit/4次,4bit/4次,4bit/4次
20,0x364,1bit/1次,0bit/0次,2bit/2次,2bit/2次
21,0x2A4,7bit/7次,5bit/5次,12bit/17次,12bit/12次
