profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
generic-event,事件附近变化,72.849,0x3F2,5,7,BMS_kwhCountersMultiplexed,4.439576848717915,1.0,4,4,8,42,0.6757331481475022
generic-event,事件附近变化,72.833,0x300,1,3,BMS_info,4.439576848717915,1.0,4,4,8,42,0.6756810892578601
generic-event,事件附近变化,72.833,0x300,1,4,BMS_info,4.439576848717915,1.0,4,4,8,42,0.6756810892578601
generic-event,事件附近变化,72.833,0x300,1,5,BMS_info,4.439576848717915,1.0,4,4,8,42,0.6756810892578601
generic-event,事件附近变化,72.833,0x300,1,6,BMS_info,4.439576848717915,1.0,4,4,8,42,0.6756810892578601
generic-event,事件附近变化,72.833,0x300,2,1,BMS_info,4.439576848717915,1.0,4,4,8,42,0.6756810892578601
generic-event,事件附近变化,72.833,0x300,2,7,BMS_info,4.439576848717915,1.0,4,4,8,42,0.6756810892578601
generic-event,事件附近变化,72.833,0x300,3,3,BMS_info,4.439576848717915,1.0,4,4,8,42,0.6756810892578601
generic-event,事件附近变化,72.833,0x300,3,5,BMS_info,4.439576848717915,1.0,4,4,8,42,0.6756810892578601
generic-event,事件附近变化,72.833,0x300,3,7,BMS_info,4.439576848717915,1.0,4,4,8,42,0.6756810892578601
generic-event,事件附近变化,72.833,0x300,4,1,BMS_info,4.439576848717915,1.0,4,4,8,42,0.6756810892578601
generic-event,事件附近变化,72.833,0x300,6,0,BMS_info,4.439576848717915,1.0,4,4,8,42,0.6756810892578601
generic-event,事件附近变化,72.833,0x300,6,6,BMS_info,4.439576848717915,1.0,4,4,8,42,0.6756810892578601
generic-event,事件附近变化,71.480,0x295,2,2,,3.7879733647747913,1.0,4,4,16,100,1.6646857973978944
generic-event,事件附近变化,71.480,0x295,2,4,,3.7879733647747913,1.0,4,4,16,100,1.6646857973978944
generic-event,事件附近变化,71.385,0x295,0,5,,3.751963033999767,1.0,4,4,32,203,2.378323664130875
generic-event,事件附近变化,71.385,0x295,0,6,,3.751963033999767,1.0,4,4,32,203,2.316295164550109
generic-event,事件附近变化,71.385,0x295,2,1,,3.751963033999767,1.0,4,4,32,203,2.316295164550109
generic-event,事件附近变化,71.385,0x295,2,3,,3.751963033999767,1.0,4,4,32,203,2.316295164550109
generic-event,事件附近变化,71.382,0x295,7,0,,3.7522868776775993,1.0,4,4,48,305,2.9254381431637806
generic-event,事件附近变化,71.378,0x295,7,1,,3.751639649906829,1.0,4,4,24,152,1.9684059214122305
generic-event,事件附近变化,71.376,0x295,0,0,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.376,0x295,1,3,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.376,0x295,2,0,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.376,0x295,2,5,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.376,0x295,2,7,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.376,0x295,3,0,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.376,0x295,3,1,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.376,0x295,3,2,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.376,0x295,3,3,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.376,0x295,3,4,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.376,0x295,3,5,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.376,0x295,3,6,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.376,0x295,3,7,,3.751963033999767,1.0,4,4,32,203,2.347368205174008
generic-event,事件附近变化,71.341,0x295,0,3,,3.7336995738357412,1.0,4,4,32,204,2.3826616239777345
generic-event,事件附近变化,71.262,0x295,0,4,,3.7033670262374683,1.0,4,4,24,154,1.9561214250504055
generic-event,事件附近变化,71.209,0x295,0,1,,3.679160553882422,1.0,4,4,16,103,1.631095752620412
generic-event,事件附近变化,71.209,0x295,1,6,,3.679160553882422,1.0,4,4,16,103,1.654879804709936
generic-event,事件附近变化,70.976,0x295,0,2,,3.7336995738357412,1.0,4,4,32,204,2.321188162596882
generic-event,事件附近变化,70.521,0x295,0,7,,3.679160553882422,1.0,4,4,16,103,1.5161984292750124
generic-event,事件附近变化,70.380,0x724,0,2,,3.6744291583486213,1.0,4,4,4,25,0.1999949760434649
generic-event,事件附近变化,70.380,0x724,0,3,,3.6744291583486213,1.0,4,4,4,25,0.5999917580933621
generic-event,事件附近变化,70.287,0x295,1,2,,3.7879733647747913,1.0,4,4,16,100,1.6648347904180183
generic-event,事件附近变化,70.287,0x295,1,5,,3.7879733647747913,1.0,4,4,16,100,1.6648347904180183
generic-event,事件附近变化,70.102,0x295,7,2,,3.6775703233205363,1.0,4,4,8,51,0.9184949051555886
generic-event,事件附近变化,70.065,0x3F2,5,0,BMS_kwhCountersMultiplexed,3.262825995558776,1.0,4,4,6,43,0.4713999986076969
generic-event,事件附近变化,70.065,0x3F2,5,1,BMS_kwhCountersMultiplexed,3.262825995558776,1.0,4,4,6,43,0.4713999986076969
generic-event,事件附近变化,69.771,0x295,7,3,,3.6775703233205363,1.0,4,4,8,51,0.8371892092692306
generic-event,事件附近变化,67.358,0x1E5,1,6,,11.376026843610237,0.75,3,4,3,5,0.2948635638188453
generic-event,事件附近变化,66.547,0x70B,0,2,,3.6744291583486213,1.0,4,4,4,25,0.1999693593918216
generic-event,事件附近变化,66.547,0x70B,0,3,,3.6744291583486213,1.0,4,4,4,25,0.5999586425022042
generic-event,事件附近变化,66.142,0x3AE,0,0,,3.603300018927268,1.0,4,4,11,72,2.2088831354839096
generic-event,事件附近变化,65.984,0x310,1,7,HVP_info,3.6744291583486213,1.0,4,4,4,25,0.7999915898193178
generic-event,事件附近变化,65.984,0x310,2,4,HVP_info,3.6744291583486213,1.0,4,4,4,25,0.7999915898193178
generic-event,事件附近变化,65.984,0x310,2,7,HVP_info,3.6744291583486213,1.0,4,4,4,25,0.7999915898193178
generic-event,事件附近变化,65.984,0x310,3,0,HVP_info,3.6744291583486213,1.0,4,4,4,25,0.7999915898193178
generic-event,事件附近变化,65.984,0x310,3,7,HVP_info,3.6744291583486213,1.0,4,4,4,25,0.7999915898193178
generic-event,事件附近变化,65.984,0x310,4,5,HVP_info,3.6744291583486213,1.0,4,4,4,25,0.7999915898193178
generic-event,事件附近变化,65.984,0x310,4,6,HVP_info,3.6744291583486213,1.0,4,4,4,25,0.6000411610154157
generic-event,事件附近变化,65.984,0x310,5,1,HVP_info,3.6744291583486213,1.0,4,4,4,25,0.6000411610154157
generic-event,事件附近变化,65.984,0x310,5,3,HVP_info,3.6744291583486213,1.0,4,4,4,25,0.7999915898193178
generic-event,事件附近变化,65.984,0x310,7,6,HVP_info,3.6744291583486213,1.0,4,4,4,25,0.6000411610154157
generic-event,事件附近变化,62.865,0x3F2,5,3,BMS_kwhCountersMultiplexed,3.262825995558776,1.0,4,4,6,43,0.6235950032423415
generic-event,事件附近变化,62.865,0x3F2,6,7,BMS_kwhCountersMultiplexed,3.262825995558776,1.0,4,4,6,43,0.6666810496544064
generic-event,事件附近变化,62.672,0x3F2,4,4,BMS_kwhCountersMultiplexed,3.19101373115796,1.0,4,4,6,44,0.537438084155195
generic-event,事件附近变化,61.992,0x330,3,1,SCCM_info,3.6744291583486213,1.0,4,4,4,25,0.24999020689082294
generic-event,事件附近变化,61.992,0x330,7,1,SCCM_info,3.6744291583486213,1.0,4,4,4,25,0.7500210782226195
generic-event,事件附近变化,61.086,0x23A,0,3,,5.071553333317632,0.75,3,4,3,13,0.27639220502098333
generic-event,事件附近变化,57.369,0x23A,5,2,,3.4153812521640505,0.75,3,4,3,20,0.5617597749173373
generic-event,事件附近变化,56.344,0x1E5,2,2,,3.971164652020792,0.75,3,4,3,17,0.6265590183049742
generic-event,事件附近变化,56.344,0x1E5,7,3,,3.971164652020792,0.75,3,4,3,17,0.6604196157830368
generic-event,事件附近变化,54.552,0x1E5,7,2,,3.263150120402943,0.75,3,4,3,21,0.794850778545831
generic-event,事件附近变化,51.107,0x2A8,2,4,CMPD_state,6.628396824709432,0.5,2,4,2,6,0.391543137734916
generic-event,事件附近变化,50.975,0x39D,2,0,IBST_status,6.628396824709432,0.5,2,4,2,6,0.39140033646282263
generic-event,事件附近变化,50.975,0x39D,2,1,IBST_status,6.628396824709432,0.5,2,4,2,6,0.39140033646282263
generic-event,事件附近变化,50.795,0x25B,1,6,APP_environment,6.628396824709432,0.5,2,4,2,6,0.2778582283317734
generic-event,事件附近变化,50.795,0x25B,7,2,APP_environment,6.628396824709432,0.5,2,4,2,6,0.2778582283317734
generic-event,事件附近变化,49.572,0x303,4,3,OCS1P_status,3.4153812521640505,0.75,3,4,3,20,0.23074869110505172
generic-event,事件附近变化,49.572,0x303,6,2,OCS1P_status,3.4153812521640505,0.75,3,4,3,20,0.23074869110505172
generic-event,事件附近变化,48.663,0x303,2,0,OCS1P_status,3.5825110794951023,0.5,2,4,3,19,0.8806583849637319
generic-event,事件附近变化,48.663,0x303,2,2,OCS1P_status,3.5825110794951023,0.5,2,4,3,19,0.8806583849637319
generic-event,事件附近变化,48.663,0x303,2,7,OCS1P_status,3.5825110794951023,0.5,2,4,3,19,0.8806583849637319
generic-event,事件附近变化,47.549,0x302,2,0,VCLEFT_info,3.5825110794951023,0.5,2,4,3,19,0.8806753360221303
generic-event,事件附近变化,47.549,0x302,2,2,VCLEFT_info,3.5825110794951023,0.5,2,4,3,19,0.8806753360221303
generic-event,事件附近变化,47.199,0x3DD,3,2,,3.089989688302907,0.5,2,4,4,30,0.7962639662507321
generic-event,事件附近变化,47.199,0x3DD,3,3,,3.089989688302907,0.5,2,4,4,30,0.7962639662507321
generic-event,事件附近变化,47.199,0x3DD,6,0,,3.089989688302907,0.5,2,4,4,30,0.7962639662507321
generic-event,事件附近变化,46.826,0x301,2,4,VCFRONT_info,3.5825110794951023,0.5,2,4,3,19,0.880687415711963
generic-event,事件附近变化,46.826,0x301,3,0,VCFRONT_info,3.5825110794951023,0.5,2,4,3,19,0.880687415711963
generic-event,事件附近变化,46.369,0x39D,3,2,IBST_status,4.106589373039894,0.5,2,4,11,63,2.6158191809418665
generic-event,事件附近变化,45.916,0x38B,2,7,,3.089989688302907,0.5,2,4,4,30,0.5214285862122189
generic-event,事件附近变化,45.530,0x23A,5,4,,3.1929926286364934,0.5,2,4,2,14,0.793438121362173
generic-event,事件附近变化,45.530,0x23A,6,2,,3.1929926286364934,0.5,2,4,2,14,0.793438121362173
generic-event,事件附近变化,45.492,0x39D,3,4,IBST_status,3.8729362702748076,0.5,2,4,6,36,2.0161257849004897
generic-event,事件附近变化,45.232,0x2A8,6,1,CMPD_state,3.66829955490547,0.5,2,4,2,12,0.6853687995493104
generic-event,事件附近变化,44.920,0x25B,2,2,APP_environment,3.66829955490547,0.5,2,4,2,12,0.6389326606571645
generic-event,事件附近变化,44.920,0x25B,7,3,APP_environment,3.66829955490547,0.5,2,4,2,12,0.6389326606571645
generic-event,事件附近变化,44.486,0x726,0,3,,5.571126483835831,1.0,4,4,4,16,0.06633289404865038
generic-event,事件附近变化,43.826,0x364,2,3,,4.309863141363265,0.5,2,4,2,10,1.259670019683159
generic-event,事件附近变化,43.802,0x2A4,5,5,PCS_thermalStatus,4.309863141363265,0.5,2,4,2,10,1.2596464875822349
generic-event,事件附近变化,43.353,0x39D,3,1,IBST_status,3.0299446812389426,0.5,2,4,10,78,2.813558521096464
generic-event,事件附近变化,35.984,0x310,4,2,HVP_info,3.6744291583486213,1.0,4,4,4,25,0.00014904148071723518
