rank,blind_score,can_id,profiles,roles,best_byte,best_bit_in_byte,evidence_count,dbc_known,dbc_message,sources
1,72.849,0x3F2,generic-event,事件附近变化,5,7,6,yes,BMS_kwhCountersMultiplexed,generic-event:事件附近变化
2,72.833,0x300,generic-event,事件附近变化,1,3,12,yes,BMS_info,generic-event:事件附近变化
3,71.480,0x295,generic-event,事件附近变化,2,2,31,no,,generic-event:事件附近变化
4,70.380,0x724,generic-event,事件附近变化,0,2,2,no,,generic-event:事件附近变化
5,67.358,0x1E5,generic-event,事件附近变化,1,6,4,no,,generic-event:事件附近变化
6,66.547,0x70B,generic-event,事件附近变化,0,2,2,no,,generic-event:事件附近变化
7,66.142,0x3AE,generic-event,事件附近变化,0,0,1,no,,generic-event:事件附近变化
8,65.984,0x310,generic-event,事件附近变化,1,7,11,yes,HVP_info,generic-event:事件附近变化
9,61.992,0x330,generic-event,事件附近变化,3,1,2,yes,SCCM_info,generic-event:事件附近变化
10,61.086,0x23A,generic-event,事件附近变化,0,3,4,no,,generic-event:事件附近变化
11,51.107,0x2A8,generic-event,事件附近变化,2,4,2,yes,CMPD_state,generic-event:事件附近变化
12,50.975,0x39D,generic-event,事件附近变化,2,0,5,yes,IBST_status,generic-event:事件附近变化
13,50.795,0x25B,generic-event,事件附近变化,1,6,4,yes,APP_environment,generic-event:事件附近变化
14,49.572,0x303,generic-event,事件附近变化,4,3,5,yes,OCS1P_status,generic-event:事件附近变化
15,47.549,0x302,generic-event,事件附近变化,2,0,2,yes,VCLEFT_info,generic-event:事件附近变化
16,47.199,0x3DD,generic-event,事件附近变化,3,2,3,no,,generic-event:事件附近变化
17,46.826,0x301,generic-event,事件附近变化,2,4,2,yes,VCFRONT_info,generic-event:事件附近变化
18,45.916,0x38B,generic-event,事件附近变化,2,7,1,no,,generic-event:事件附近变化
19,44.486,0x726,generic-event,事件附近变化,0,3,1,no,,generic-event:事件附近变化
20,43.826,0x364,generic-event,事件附近变化,2,3,1,no,,generic-event:事件附近变化
21,43.802,0x2A4,generic-event,事件附近变化,5,5,1,yes,PCS_thermalStatus,generic-event:事件附近变化
