signal,time_s,value
DI_accelPedalPos,0.000000,0.0
DI_accelPedalPos,0.010900,0.0
DI_accelPedalPos,0.020100,0.0
DI_accelPedalPos,0.031000,0.0
DI_accelPedalPos,0.040100,0.0
DI_accelPedalPos,0.050800,0.0
DI_accelPedalPos,0.060000,0.0
DI_accelPedalPos,0.070800,0.0
DI_accelPedalPos,0.080000,0.0
DI_accelPedalPos,0.090700,0.0
DI_accelPedalPos,0.100200,0.0
DI_accelPedalPos,0.110800,0.0
DI_accelPedalPos,0.120100,0.0
DI_accelPedalPos,0.130700,0.0
DI_accelPedalPos,0.140000,0.0
DI_accelPedalPos,0.150900,0.0
DI_accelPedalPos,0.160000,0.0
DI_accelPedalPos,0.170900,0.0
DI_accelPedalPos,0.180200,0.0
DI_accelPedalPos,0.191000,0.0
DI_accelPedalPos,0.200000,0.0
DI_accelPedalPos,0.210900,0.0
DI_accelPedalPos,0.220000,0.0
DI_accelPedalPos,0.230700,0.0
DI_accelPedalPos,0.240200,0.0
DI_accelPedalPos,0.250700,0.0
DI_accelPedalPos,0.260000,0.0
DI_accelPedalPos,0.270700,0.0
DI_accelPedalPos,0.280100,0.0
DI_accelPedalPos,0.290700,0.0
DI_accelPedalPos,0.300000,0.0
DI_accelPedalPos,0.310900,0.0
DI_accelPedalPos,0.320000,0.0
DI_accelPedalPos,0.330700,0.0
DI_accelPedalPos,0.340000,0.0
DI_accelPedalPos,0.350900,0.0
DI_accelPedalPos,0.360000,0.0
DI_accelPedalPos,0.370900,0.0
DI_accelPedalPos,0.380300,0.0
DI_accelPedalPos,0.390900,0.0
DI_accelPedalPos,0.400000,0.0
DI_accelPedalPos,0.410900,0.0
DI_accelPedalPos,0.420000,0.0
DI_accelPedalPos,0.430800,0.0
DI_accelPedalPos,0.440200,0.0
DI_accelPedalPos,0.450700,0.0
DI_accelPedalPos,0.460000,0.0
DI_accelPedalPos,0.470900,0.0
DI_accelPedalPos,0.480100,0.0
DI_accelPedalPos,0.490700,0.0
DI_accelPedalPos,0.500000,0.0
DI_accelPedalPos,0.510900,0.0
DI_accelPedalPos,0.520000,0.0
DI_accelPedalPos,0.530800,0.0
DI_accelPedalPos,0.540200,0.0
DI_accelPedalPos,0.550900,0.0
DI_accelPedalPos,0.560000,0.0
DI_accelPedalPos,0.570700,0.0
