rank,can_id,0s 开始CAN采集,10s 记录P挡稳定状态,20s 踩住制动并挂入D挡,25s 记录D挡静止状态1,35s 第一次轻踩加速踏板,45s 第一次保持低速10公里,55s 第一次结束有效加速段,70s 第一次停车并挂P挡,85s 踩住制动并再次挂入D挡,90s 记录D挡静止状态2,100s 第二次轻踩加速踏板,110s 第二次保持低速10公里,120s 第二次结束有效加速段,135s 第二次停车并挂P挡,150s 结束CAN采集
1,0x295,31bit/184次,31bit/208次,31bit/208次,31bit/208次,31bit/208次,31bit/208次,31bit/208次,31bit/208次,31bit/208次,31bit/208次,31bit/208次,31bit/208次,31bit/208次,31bit/208次,0bit/0次
2,0x272,18bit/252次,18bit/360次,41bit/412次,16bit/320次,16bit/320次,20bit/325次,17bit/340次,17bit/340次,39bit/412次,16bit/320次,16bit/320次,17bit/340次,17bit/340次,34bit/357次,18bit/36次
3,0x2B6,0bit/0次,0bit/0次,1bit/1次,0bit/0次,3bit/3次,0bit/0次,0bit/0次,0bit/0次,3bit/7次,0bit/0次,3bit/3次,0bit/0次,2bit/2次,0bit/0次,2bit/2次
4,0x393,19bit/260次,19bit/372次,40bit/400次,17bit/334次,17bit/330次,21bit/337次,18bit/352次,18bit/358次,38bit/414次,17bit/336次,17bit/334次,18bit/352次,18bit/354次,35bit/369次,18bit/36次
5,0x118,12bit/633次,12bit/850次,20bit/862次,10bit/798次,22bit/940次,18bit/1296次,27bit/1362次,24bit/1529次,20bit/853次,10bit/798次,23bit/1028次,27bit/1362次,24bit/1384次,31bit/1466次,12bit/102次
6,0x229,12bit/78次,12bit/114次,13bit/141次,12bit/114次,12bit/111次,12bit/111次,12bit/114次,12bit/111次,13bit/121次,12bit/117次,12bit/111次,12bit/114次,12bit/108次,13bit/118次,5bit/7次
7,0x310,20bit/20次,29bit/32次,29bit/32次,39bit/56次,39bit/56次,39bit/56次,39bit/56次,29bit/32次,39bit/56次,29bit/32次,29bit/32次,29bit/32次,29bit/32次,39bit/56次,0bit/0次
8,0x3C4,48bit/61次,52bit/113次,52bit/113次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,52bit/113次,0bit/0次,52bit/113次,52bit/113次,52bit/113次,52bit/113次,0bit/0次,19bit/19次
9,0x53E,0bit/0次,34bit/50次,34bit/50次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,34bit/50次,0bit/0次,34bit/50次,34bit/50次,34bit/50次,34bit/50次,0bit/0次,28bit/28次
10,0x70B,0bit/0次,50bit/64次,50bit/64次,32bit/36次,32bit/36次,32bit/36次,32bit/36次,50bit/64次,31bit/35次,50bit/64次,50bit/64次,50bit/64次,50bit/64次,31bit/35次,0bit/0次
