profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
generic-event,事件附近变化,68.295,0x295,7,0,,3.4562811122862476,0.9333333333333333,14,15,167,192,2.9470603144389336
window,按钮事件:手动未知方向触发,68.295,0x295,7,0,,3.4562811122862476,0.9333333333333333,14,15,167,192,2.9470603144389336
generic-event,事件附近变化,68.246,0x295,0,0,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,0,0,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.246,0x295,1,3,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,1,3,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.246,0x295,2,0,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,2,0,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.246,0x295,2,5,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,2,5,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.246,0x295,2,7,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,2,7,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.246,0x295,3,0,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,3,0,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.246,0x295,3,1,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,3,1,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.246,0x295,3,2,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,3,2,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.246,0x295,3,3,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,3,3,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.246,0x295,3,4,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,3,4,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.246,0x295,3,5,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,3,5,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.246,0x295,3,6,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,3,6,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.246,0x295,3,7,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
window,按钮事件:手动未知方向触发,68.246,0x295,3,7,,3.438395233835606,0.9333333333333333,14,15,111,128,2.365238567488052
generic-event,事件附近变化,68.210,0x295,0,2,,3.438395233835606,0.9333333333333333,14,15,111,128,2.3345545238851457
window,按钮事件:手动未知方向触发,68.210,0x295,0,2,,3.438395233835606,0.9333333333333333,14,15,111,128,2.3345545238851457
generic-event,事件附近变化,68.210,0x295,0,6,,3.438395233835606,0.9333333333333333,14,15,111,128,2.334556363784851
window,按钮事件:手动未知方向触发,68.210,0x295,0,6,,3.438395233835606,0.9333333333333333,14,15,111,128,2.334556363784851
generic-event,事件附近变化,68.210,0x295,2,1,,3.438395233835606,0.9333333333333333,14,15,111,128,2.334556363784851
window,按钮事件:手动未知方向触发,68.210,0x295,2,1,,3.438395233835606,0.9333333333333333,14,15,111,128,2.334556363784851
generic-event,事件附近变化,68.210,0x295,2,3,,3.438395233835606,0.9333333333333333,14,15,111,128,2.334556363784851
window,按钮事件:手动未知方向触发,68.210,0x295,2,3,,3.438395233835606,0.9333333333333333,14,15,111,128,2.334556363784851
generic-event,事件附近变化,68.161,0x295,7,1,,3.420619524865842,0.9333333333333333,14,15,83,96,1.984421831252535
window,按钮事件:手动未知方向触发,68.161,0x295,7,1,,3.420619524865842,0.9333333333333333,14,15,83,96,1.984421831252535
generic-event,事件附近变化,68.100,0x295,1,2,,3.385394568708962,0.9333333333333333,14,15,55,64,1.6551286634810536
window,按钮事件:手动未知方向触发,68.100,0x295,1,2,,3.385394568708962,0.9333333333333333,14,15,55,64,1.6551286634810536
