rank,blind_score,can_id,profiles,roles,best_byte,best_bit_in_byte,evidence_count,dbc_known,dbc_message,sources
1,71.295,0x295,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,7,0,62,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
2,61.410,0x272,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,4,5,36,yes,VCLEFT_epbmDebug,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
3,61.396,0x2B6,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,1,2,2,yes,DI_chassisControlStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
4,61.358,0x393,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,4,5,28,yes,ID393VCRIGHT_epbmDebug,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
5,61.308,0x118,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,6,3,16,yes,DI_systemStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
6,60.646,0x229,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,1,6,2,yes,SCCM_rightStalk,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
7,58.482,0x310,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,3,1,10,yes,HVP_info,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
8,58.046,0x3C4,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,2,3,6,yes,PCS_info,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
9,55.915,0x53E,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,2,3,8,yes,CP_info,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
10,55.583,0x70B,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,6,2,2,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
11,54.488,0x1D8,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,1,4,6,yes,DIS_torque,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
12,53.253,0x22B,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,3,2,16,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
13,52.496,0x126,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,0,3,10,yes,DI_hvBusStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
14,51.986,0x545,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,1,2,4,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
15,50.821,0x268,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,1,1,8,yes,DI_systemPower,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
16,50.743,0x788,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,1,5,12,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
17,50.701,0x7D7,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,1,1,4,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
18,50.698,0x1D6,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,6,6,8,yes,DI_limits,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
19,50.685,0x388,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,4,7,64,yes,GTW_canStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
20,49.791,0x257,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,4,2,22,yes,DI_speed,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
21,49.773,0x132,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,4,7,16,yes,BMS_hvBusStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
22,49.080,0x2B4,generic-event|window,事件附近变化|按钮事件:手动未知方向触发,4,6,2,yes,PCS_dcdcBusStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向触发
