rank,can_id,40s 第一次完全松开加速踏板,95s 第二次完全松开加速踏板
1,0x241,10bit/96次,10bit/64次
2,0x279,11bit/88次,11bit/80次
3,0x257,38bit/628次,30bit/657次
4,0x129,32bit/1672次,31bit/1696次
5,0x266,23bit/226次,23bit/293次
6,0x212,6bit/26次,6bit/24次
7,0x292,6bit/26次,6bit/24次
8,0x1D8,37bit/1355次,32bit/1361次
9,0x7D7,4bit/25次,4bit/16次
10,0x344,24bit/28次,25bit/30次
11,0x401,34bit/662次,32bit/652次
12,0x268,7bit/26次,8bit/28次
13,0x132,43bit/1451次,37bit/1408次
14,0x23E,43bit/355次,33bit/214次
15,0x108,46bit/304次,39bit/276次
16,0x126,28bit/223次,28bit/209次
17,0x332,26bit/48次,23bit/38次
18,0x4F,13bit/16次,14bit/16次
19,0x2B4,15bit/129次,15bit/118次
20,0x2D7,3bit/4次,2bit/3次
21,0x383,10bit/10次,11bit/12次
22,0x118,29bit/1363次,26bit/1371次
23,0x3DD,45bit/70次,49bit/60次
24,0x373,15bit/20次,13bit/17次
25,0x3E2,16bit/17次,16bit/27次
26,0x7D5,58bit/806次,59bit/748次
27,0x303,25bit/28次,27bit/51次
28,0x302,26bit/31次,27bit/51次
29,0x22A,1bit/1次,1bit/2次
30,0x301,26bit/33次,27bit/51次
31,0x3AE,19bit/376次,17bit/399次
32,0x77A,35bit/112次,35bit/119次
33,0x3B6,11bit/15次,14bit/18次
34,0x23A,18bit/23次,38bit/48次
35,0x43A,20bit/25次,17bit/32次
36,0x252,1bit/1次,2bit/3次
37,0x752,13bit/17次,13bit/21次
38,0x2D2,9bit/27次,6bit/18次
39,0x6D4,37bit/47次,34bit/42次
40,0x3F2,29bit/38次,32bit/46次
41,0x782,7bit/7次,5bit/5次
