profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
generic-event,事件附近变化,94.820,0x241,1,1,VCFRONT_coolant,42.29856720132216,1.0,2,2,3,1,1.3037925480178254
window,按钮事件:手动未知方向松开,94.820,0x241,1,1,VCFRONT_coolant,42.29856720132216,1.0,2,2,3,1,1.3037925480178254
generic-event,事件附近变化,94.820,0x241,3,7,VCFRONT_coolant,42.29856720132216,1.0,2,2,3,1,1.3037925480178254
window,按钮事件:手动未知方向松开,94.820,0x241,3,7,VCFRONT_coolant,42.29856720132216,1.0,2,2,3,1,1.3037925480178254
generic-event,事件附近变化,94.230,0x279,4,3,,42.29856720132216,1.0,2,2,3,1,1.3117469657533816
window,按钮事件:手动未知方向松开,94.230,0x279,4,3,,42.29856720132216,1.0,2,2,3,1,1.3117469657533816
generic-event,事件附近变化,93.775,0x257,3,4,DI_speed,42.29856720132216,1.0,2,2,3,1,1.2960987540163527
window,按钮事件:手动未知方向松开,93.775,0x257,3,4,DI_speed,42.29856720132216,1.0,2,2,3,1,1.2960987540163527
generic-event,事件附近变化,90.558,0x129,2,4,SCCM_steeringAngleSensor,49.58987738585896,1.0,2,2,62,38,2.9061016717674364
window,按钮事件:手动未知方向松开,90.558,0x129,2,4,SCCM_steeringAngleSensor,49.58987738585896,1.0,2,2,62,38,2.9061016717674364
generic-event,事件附近变化,89.571,0x266,4,3,DI_power,29.397345907943233,1.0,2,2,18,18,3.5322118818603294
window,按钮事件:手动未知方向松开,89.571,0x266,4,3,DI_power,29.397345907943233,1.0,2,2,18,18,3.5322118818603294
generic-event,事件附近变化,87.796,0x266,2,3,DI_power,23.616177861515165,1.0,2,2,28,36,4.804462577415561
window,按钮事件:手动未知方向松开,87.796,0x266,2,3,DI_power,23.616177861515165,1.0,2,2,28,36,4.804462577415561
generic-event,事件附近变化,87.564,0x212,2,1,BMS_status,27.25789875568025,1.0,2,2,8,8,3.0822526028444868
window,按钮事件:手动未知方向松开,87.564,0x212,2,1,BMS_status,27.25789875568025,1.0,2,2,8,8,3.0822526028444868
generic-event,事件附近变化,87.559,0x292,6,3,BMS_socStatus,27.25789875568025,1.0,2,2,8,8,3.082220215310029
window,按钮事件:手动未知方向松开,87.559,0x292,6,3,BMS_socStatus,27.25789875568025,1.0,2,2,8,8,3.082220215310029
generic-event,事件附近变化,87.006,0x257,4,2,DI_speed,19.66452827673031,1.0,2,2,2,2,0.567725948721754
window,按钮事件:手动未知方向松开,87.006,0x257,4,2,DI_speed,19.66452827673031,1.0,2,2,2,2,0.567725948721754
generic-event,事件附近变化,86.766,0x1D8,3,7,DIS_torque,19.66452827673031,1.0,2,2,2,2,1.0599683675690088
window,按钮事件:手动未知方向松开,86.766,0x1D8,3,7,DIS_torque,19.66452827673031,1.0,2,2,2,2,1.0599683675690088
generic-event,事件附近变化,86.766,0x1D8,4,0,DIS_torque,19.66452827673031,1.0,2,2,2,2,1.0599683675690088
window,按钮事件:手动未知方向松开,86.766,0x1D8,4,0,DIS_torque,19.66452827673031,1.0,2,2,2,2,1.0599683675690088
generic-event,事件附近变化,86.766,0x1D8,4,1,DIS_torque,19.66452827673031,1.0,2,2,2,2,1.0599683675690088
window,按钮事件:手动未知方向松开,86.766,0x1D8,4,1,DIS_torque,19.66452827673031,1.0,2,2,2,2,1.0599683675690088
generic-event,事件附近变化,86.766,0x1D8,4,2,DIS_torque,19.66452827673031,1.0,2,2,2,2,1.0599683675690088
window,按钮事件:手动未知方向松开,86.766,0x1D8,4,2,DIS_torque,19.66452827673031,1.0,2,2,2,2,1.0599683675690088
generic-event,事件附近变化,86.198,0x7D7,1,3,,20.477326925909047,1.0,2,2,6,8,1.992341965155739
window,按钮事件:手动未知方向松开,86.198,0x7D7,1,3,,20.477326925909047,1.0,2,2,6,8,1.992341965155739
generic-event,事件附近变化,85.884,0x129,2,3,SCCM_steeringAngleSensor,22.611329330242704,1.0,2,2,65,89,3.3352791609076187
window,按钮事件:手动未知方向松开,85.884,0x129,2,3,SCCM_steeringAngleSensor,22.611329330242704,1.0,2,2,65,89,3.3352791609076187
generic-event,事件附近变化,85.717,0x266,2,2,DI_power,16.95347072885391,1.0,2,2,39,71,5.464896338901201
window,按钮事件:手动未知方向松开,85.717,0x266,2,2,DI_power,16.95347072885391,1.0,2,2,39,71,5.464896338901201
generic-event,事件附近变化,85.488,0x344,5,2,,19.66452827673031,1.0,2,2,2,2,0.5667509005535304
window,按钮事件:手动未知方向松开,85.488,0x344,5,2,,19.66452827673031,1.0,2,2,2,2,0.5667509005535304
generic-event,事件附近变化,85.246,0x401,2,7,BMS_brickVoltages,38.943477567642375,1.0,2,2,4,2,1.994422959936442
window,按钮事件:手动未知方向松开,85.246,0x401,2,7,BMS_brickVoltages,38.943477567642375,1.0,2,2,4,2,1.994422959936442
generic-event,事件附近变化,84.681,0x212,2,2,BMS_status,24.12225635416435,1.0,2,2,4,4,2.1011004651718
window,按钮事件:手动未知方向松开,84.681,0x212,2,2,BMS_status,24.12225635416435,1.0,2,2,4,4,2.1011004651718
generic-event,事件附近变化,84.669,0x292,6,4,BMS_socStatus,24.12225635416435,1.0,2,2,4,4,2.101091192544681
window,按钮事件:手动未知方向松开,84.669,0x292,6,4,BMS_socStatus,24.12225635416435,1.0,2,2,4,4,2.101091192544681
generic-event,事件附近变化,84.500,0x268,1,2,DI_systemPower,15.496006235524039,1.0,2,2,7,13,2.1685236935697496
window,按钮事件:手动未知方向松开,84.500,0x268,1,2,DI_systemPower,15.496006235524039,1.0,2,2,7,13,2.1685236935697496
generic-event,事件附近变化,84.475,0x7D7,1,2,,15.538231432021423,1.0,2,2,9,17,2.476973226791181
window,按钮事件:手动未知方向松开,84.475,0x7D7,1,2,,15.538231432021423,1.0,2,2,9,17,2.476973226791181
generic-event,事件附近变化,84.419,0x132,5,0,BMS_hvBusStatus,15.496006235524039,1.0,2,2,7,13,2.3849934517938474
window,按钮事件:手动未知方向松开,84.419,0x132,5,0,BMS_hvBusStatus,15.496006235524039,1.0,2,2,7,13,2.3849934517938474
generic-event,事件附近变化,84.116,0x268,1,3,DI_systemPower,17.47251580509537,1.0,2,2,4,6,1.6121425067821162
window,按钮事件:手动未知方向松开,84.116,0x268,1,3,DI_systemPower,17.47251580509537,1.0,2,2,4,6,1.6121425067821162
generic-event,事件附近变化,83.214,0x401,2,6,BMS_brickVoltages,20.477326925909047,1.0,2,2,6,8,1.6337836023457393
window,按钮事件:手动未知方向松开,83.214,0x401,2,6,BMS_brickVoltages,20.477326925909047,1.0,2,2,6,8,1.6337836023457393
generic-event,事件附近变化,82.803,0x257,3,3,DI_speed,15.249543212519328,1.0,2,2,3,5,0.9449257762810572
window,按钮事件:手动未知方向松开,82.803,0x257,3,3,DI_speed,15.249543212519328,1.0,2,2,3,5,0.9449257762810572
generic-event,事件附近变化,82.407,0x266,3,3,DI_power,14.841006891624184,1.0,2,2,19,39,4.3409347303072465
window,按钮事件:手动未知方向松开,82.407,0x266,3,3,DI_power,14.841006891624184,1.0,2,2,19,39,4.3409347303072465
generic-event,事件附近变化,81.915,0x7D7,1,1,,12.259974616261271,1.0,2,2,11,27,2.376284294719164
window,按钮事件:手动未知方向松开,81.915,0x7D7,1,1,,12.259974616261271,1.0,2,2,11,27,2.376284294719164
generic-event,事件附近变化,81.653,0x1D8,3,5,DIS_torque,12.42336558069739,1.0,2,2,6,14,2.055659400308104
window,按钮事件:手动未知方向松开,81.653,0x1D8,3,5,DIS_torque,12.42336558069739,1.0,2,2,6,14,2.055659400308104
generic-event,事件附近变化,81.507,0x279,4,2,,12.42336558069739,1.0,2,2,6,14,2.5077673049081874
window,按钮事件:手动未知方向松开,81.507,0x279,4,2,,12.42336558069739,1.0,2,2,6,14,2.5077673049081874
generic-event,事件附近变化,81.201,0x212,2,0,BMS_status,17.102202571530512,1.0,2,2,11,19,4.279157399950051
window,按钮事件:手动未知方向松开,81.201,0x212,2,0,BMS_status,17.102202571530512,1.0,2,2,11,19,4.279157399950051
generic-event,事件附近变化,81.196,0x292,6,2,BMS_socStatus,17.102202571530512,1.0,2,2,11,19,4.279041634645009
window,按钮事件:手动未知方向松开,81.196,0x292,6,2,BMS_socStatus,17.102202571530512,1.0,2,2,11,19,4.279041634645009
generic-event,事件附近变化,81.006,0x268,0,2,DI_systemPower,11.093731736795618,1.0,2,2,5,13,2.0281475639174578
window,按钮事件:手动未知方向松开,81.006,0x268,0,2,DI_systemPower,11.093731736795618,1.0,2,2,5,13,2.0281475639174578
generic-event,事件附近变化,80.618,0x268,1,1,DI_systemPower,10.80368973689185,1.0,2,2,9,25,2.2187081997589986
window,按钮事件:手动未知方向松开,80.618,0x268,1,1,DI_systemPower,10.80368973689185,1.0,2,2,9,25,2.2187081997589986
generic-event,事件附近变化,80.490,0x344,4,2,,19.66452827673031,1.0,2,2,2,2,0.5379413644295574
window,按钮事件:手动未知方向松开,80.490,0x344,4,2,,19.66452827673031,1.0,2,2,2,2,0.5379413644295574
generic-event,事件附近变化,80.490,0x344,4,3,,19.66452827673031,1.0,2,2,2,2,0.5379413644295574
window,按钮事件:手动未知方向松开,80.490,0x344,4,3,,19.66452827673031,1.0,2,2,2,2,0.5379413644295574
generic-event,事件附近变化,80.295,0x23E,0,7,,12.90419994227708,1.0,2,2,5,11,3.0047441624724858
window,按钮事件:手动未知方向松开,80.295,0x23E,0,7,,12.90419994227708,1.0,2,2,5,11,3.0047441624724858
