rank,blind_score,can_id,profiles,roles,best_byte,best_bit_in_byte,evidence_count,dbc_known,dbc_message,sources
1,97.820,0x241,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,1,1,4,yes,VCFRONT_coolant,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
2,97.230,0x279,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,4,3,4,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
3,96.775,0x257,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,3,4,30,yes,DI_speed,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
4,93.558,0x129,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,2,4,8,yes,SCCM_steeringAngleSensor,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
5,92.571,0x266,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,4,3,46,yes,DI_power,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
6,90.564,0x212,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,2,1,12,yes,BMS_status,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
7,90.559,0x292,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,6,3,12,yes,BMS_socStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
8,89.766,0x1D8,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,3,7,52,yes,DIS_torque,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
9,89.198,0x7D7,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,1,3,8,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
10,88.488,0x344,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,5,2,30,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
11,88.246,0x401,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,2,7,4,yes,BMS_brickVoltages,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
12,87.500,0x268,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,1,2,14,yes,DI_systemPower,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
13,87.419,0x132,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,5,0,10,yes,BMS_hvBusStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
14,83.295,0x23E,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,0,7,48,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
15,82.976,0x108,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,2,3,22,yes,DI_torque,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
16,81.648,0x126,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,0,4,32,yes,DI_hvBusStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
17,80.249,0x332,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,2,1,2,yes,BMS_bmbMinMax,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
18,77.828,0x4F,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,4,1,8,yes,UI_locationStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
19,76.792,0x2B4,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,2,4,4,yes,PCS_dcdcBusStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
20,76.727,0x2D7,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,1,5,4,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
21,76.127,0x383,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,7,0,6,yes,VCRIGHT_thsStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
22,75.630,0x118,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,7,4,20,yes,DI_systemStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
23,75.304,0x3DD,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,4,5,24,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
24,75.081,0x373,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,1,3,16,yes,EPAS3P_sysStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
25,74.540,0x3E2,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,3,7,30,yes,VCLEFT_lightStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
26,73.666,0x7D5,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,1,2,4,yes,DI_debug,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
27,73.199,0x303,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,1,3,2,yes,OCS1P_status,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
28,72.949,0x302,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,1,3,2,yes,VCLEFT_info,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
29,72.876,0x22A,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,2,4,2,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
30,72.464,0x301,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,1,3,2,yes,VCFRONT_info,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
31,72.291,0x3AE,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,0,2,6,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
32,72.247,0x77A,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,2,3,2,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
33,71.359,0x3B6,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,0,2,8,yes,DI_odometerStatus,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
34,71.226,0x23A,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,2,3,4,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
35,70.985,0x43A,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,1,3,2,yes,DAS_warningMatrix3,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
36,70.898,0x252,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,2,0,2,yes,BMS_powerAvailable,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
37,70.661,0x752,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,2,3,2,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
38,69.982,0x2D2,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,2,0,2,yes,BMS_driveLimits,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
39,69.179,0x6D4,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,4,3,8,yes,PMS_info,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
40,67.733,0x3F2,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,0,3,2,yes,BMS_kwhCountersMultiplexed,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
41,67.363,0x782,generic-event|window,事件附近变化|按钮事件:手动未知方向松开,1,3,4,no,,generic-event:事件附近变化|window:按钮事件:手动未知方向松开
