signal,time_s,value
BMS_a017_SW_Brick_OV,0.115300,0.0
BMS_a017_SW_Brick_OV,1.115300,0.0
BMS_a017_SW_Brick_OV,2.115400,0.0
BMS_a017_SW_Brick_OV,3.115400,0.0
BMS_a017_SW_Brick_OV,4.115500,0.0
BMS_a017_SW_Brick_OV,5.115600,0.0
BMS_a017_SW_Brick_OV,6.115700,0.0
BMS_a017_SW_Brick_OV,7.115700,0.0
BMS_a017_SW_Brick_OV,8.116300,0.0
BMS_a017_SW_Brick_OV,9.116300,0.0
BMS_a017_SW_Brick_OV,10.116600,0.0
BMS_a017_SW_Brick_OV,11.116900,0.0
BMS_a017_SW_Brick_OV,12.117000,0.0
BMS_a017_SW_Brick_OV,13.117000,0.0
BMS_a017_SW_Brick_OV,14.117100,0.0
BMS_a017_SW_Brick_OV,15.116800,0.0
BMS_a017_SW_Brick_OV,16.116900,0.0
BMS_a017_SW_Brick_OV,17.116900,0.0
BMS_a017_SW_Brick_OV,18.116800,0.0
BMS_a017_SW_Brick_OV,19.116800,0.0
BMS_a017_SW_Brick_OV,20.116900,0.0
BMS_a017_SW_Brick_OV,21.116800,0.0
BMS_a017_SW_Brick_OV,22.116900,0.0
BMS_a017_SW_Brick_OV,23.117000,0.0
BMS_a017_SW_Brick_OV,24.116800,0.0
BMS_a017_SW_Brick_OV,25.116800,0.0
BMS_a017_SW_Brick_OV,26.117000,0.0
BMS_a017_SW_Brick_OV,27.116800,0.0
BMS_a017_SW_Brick_OV,28.116700,0.0
BMS_a017_SW_Brick_OV,29.115800,0.0
BMS_a017_SW_Brick_OV,30.116700,0.0
BMS_a017_SW_Brick_OV,31.116700,0.0
BMS_a017_SW_Brick_OV,32.116800,0.0
BMS_a017_SW_Brick_OV,33.116000,0.0
BMS_a017_SW_Brick_OV,34.116000,0.0
BMS_a017_SW_Brick_OV,35.116000,0.0
BMS_a017_SW_Brick_OV,36.116100,0.0
BMS_a017_SW_Brick_OV,37.116200,0.0
BMS_a017_SW_Brick_OV,38.116300,0.0
BMS_a017_SW_Brick_OV,39.116300,0.0
BMS_a017_SW_Brick_OV,40.116300,0.0
BMS_a017_SW_Brick_OV,41.115900,0.0
BMS_a017_SW_Brick_OV,42.115900,0.0
BMS_a017_SW_Brick_OV,43.115700,0.0
BMS_a017_SW_Brick_OV,44.115700,0.0
BMS_a017_SW_Brick_OV,45.115800,0.0
BMS_a017_SW_Brick_OV,46.115800,0.0
BMS_a017_SW_Brick_OV,47.115800,0.0
BMS_a017_SW_Brick_OV,48.115900,0.0
BMS_a017_SW_Brick_OV,49.115800,0.0
BMS_a017_SW_Brick_OV,50.115800,0.0
BMS_a017_SW_Brick_OV,51.115900,0.0
BMS_a017_SW_Brick_OV,52.115900,0.0
BMS_a017_SW_Brick_OV,53.115900,0.0
BMS_a017_SW_Brick_OV,54.116000,0.0
BMS_a017_SW_Brick_OV,55.116100,0.0
BMS_a017_SW_Brick_OV,56.116100,0.0
BMS_a017_SW_Brick_OV,57.116200,0.0
BMS_a017_SW_Brick_OV,58.116000,0.0
