APP_buildType: SIGNED
APP_environmentRainy: 1
APP_environmentSnowy: 1
APP_infoIndex: AP_BUILD_TYPE
APP_w193_camWindshieldUnclean: 0
APP_w194_accDriverResumeRqrd: 1
APP_w195_scwUnavailable: 0
APP_w196_stopSignWarning: 0
APP_w197_redLightWarning: 0
APP_w198_tsrUnavailable: 0
APP_w199_apcAbort: 0
APP_w200_lcSlowdown: 0
APP_w201_lcAborting: 0
APP_w202_scwNoisyEnvironment: 0
APP_w203_apcActivation: 0
APP_w204_apcFinalFront: 0
APP_w205_apcFinalRear: 0
APP_w206_autosteerNotEnabled: 0
APP_w207_autosteerUnavailable: 0
APP_w208_rackDetected: 0
APP_w209_autoSummonRequest: 0
APP_w210_camObstrcted: 0
APP_w211_accNoSeatBelt: 0
APP_w212_lcUnavailableStrikeOut: 0
APP_w213_autosteerStruckOut: 0
APP_w214_driverNotIntracting: 0
APP_w215_contDriverNotIntracting: 1
APP_w216_driverOverriding: 0
APP_w217_lcUnavailableSpeeding: 0
APP_w218_lcSpeedExceededLimit: 0
APP_w219_lcTempUnavailableSpeed: 0
APP_w220_lcTempUnavailableRoad: 0
APP_w221_accRadarBlind: 0
APP_w222_accCameraBlind: 0
APP_w223_accObjectInPath: 0
APP_w224_accCameraCalibration: 0
APP_w225_lcDegradedVisSpeedLmt: 0
APP_w226_lcCamCalNeededSpeedLmt: 0
APP_w227_virtualWallBlocked: 0
APP_w228_DEPRECATED: 0
APP_w229_alcUltrasoundDamaged: 0
APP_w230_alcUltrasoundBlocked: 0
BMS_a017_SW_Brick_OV: 0
BMS_a018_SW_Brick_UV: 0
BMS_a019_SW_Module_OT: 0
BMS_a021_SW_Dr_Limits_Regulation: 0
BMS_a022_SW_Over_Current: 0
BMS_a023_SW_Stack_OV: 0
BMS_a024_SW_Islanded_Brick: 0
BMS_a025_SW_PwrBalance_Anomaly: 0
BMS_a026_SW_HFCurrent_Anomaly: 0
BMS_a034_SW_Passive_Isolation: 0
BMS_a035_SW_Isolation: 0
BMS_a036_SW_HvpHvilFault: 0
BMS_a037_SW_Flood_Port_Open: 0
BMS_a039_SW_DC_Link_Over_Voltage: 0
BMS_a041_SW_Power_On_Reset: 0
BMS_a042_SW_MPU_Error: 0
BMS_a043_SW_Watch_Dog_Reset: 0
BMS_a044_SW_Assertion: 0
BMS_a045_SW_Exception: 0
BMS_a046_SW_Task_Stack_Usage: 0
BMS_a047_SW_Task_Stack_Overflow: 0
BMS_a048_SW_Log_Upload_Request: 0
BMS_a050_SW_Brick_Voltage_MIA: 0
BMS_a051_SW_HVC_Vref_Bad: 0
BMS_a052_SW_PCS_MIA: 0
BMS_a053_SW_ThermalModel_Sanity: 0
BMS_a054_SW_Ver_Supply_Fault: 0
BMS_a059_SW_Pack_Voltage_Sensing: 0
BMS_a060_SW_Leakage_Test_Failure: 0
BMS_a061_robinBrickOverVoltage: 0
BMS_a062_SW_BrickV_Imbalance: 0
BMS_a063_SW_ChargePort_Fault: 0
BMS_a064_SW_SOC_Imbalance: 0
BMS_a069_SW_Low_Power: 0
BMS_a071_SW_SM_TransCon_Not_Met: 0
BMS_a075_SW_Chg_Disable_Failure: 0
BMS_a076_SW_Dch_While_Charging: 0
BMS_a077_SW_Charger_Regulation: 0
BMS_a081_SW_Ctr_Close_Blocked: 0
BMS_a082_SW_Ctr_Force_Open: 0
BMS_a083_SW_Ctr_Close_Failure: 0
BMS_a084_SW_Sleep_Wake_Aborted: 1
BMS_a087_SW_Feim_Test_Blocked: 0
BMS_a088_SW_VcFront_MIA_InDrive: 0
BMS_a089_SW_VcFront_MIA: 0
BMS_a090_SW_Gateway_MIA: 0
BMS_a091_SW_ChargePort_MIA: 0
BMS_a092_SW_ChargePort_Mia_On_Hvs: 0
BMS_a094_SW_Drive_Inverter_MIA: 0
BMS_a099_SW_BMB_Communication: 0
BMS_a105_SW_One_Module_Tsense: 0
BMS_a106_SW_All_Module_Tsense: 0
BMS_a107_SW_Stack_Voltage_MIA: 0
BMS_a121_SW_NVRAM_Config_Error: 0
BMS_a122_SW_BMS_Therm_Irrational: 0
BMS_a123_SW_Internal_Isolation: 0
BMS_a127_SW_shunt_SNA: 0
BMS_a128_SW_shunt_MIA: 0
BMS_a129_SW_VSH_Failure: 0
BMS_a130_IO_CAN_Error: 0
BMS_a131_Bleed_FET_Failure: 0
BMS_a132_HW_BMB_OTP_Uncorrctbl: 0
BMS_a134_SW_Delayed_Ctr_Off: 0
BMS_a136_SW_Module_OT_Warning: 0
BMS_a137_SW_Brick_UV_Warning: 0
BMS_a138_SW_Brick_OV_Warning: 0
BMS_a139_SW_DC_Link_V_Irrational: 0
BMS_a141_SW_BMB_Status_Warning: 0
BMS_a144_Hvp_Config_Mismatch: 0
BMS_a145_SW_SOC_Change: 0
BMS_a146_SW_Brick_Overdischarged: 0
BMS_a149_SW_Missing_Config_Block: 0
BMS_a151_SW_external_isolation: 0
BMS_a156_SW_BMB_Vref_bad: 0
BMS_a157_SW_HVP_HVS_Comms: 0
BMS_a158_SW_HVP_HVI_Comms: 0
BMS_a159_SW_HVP_ECU_Error: 0
BMS_a161_SW_DI_Open_Request: 0
BMS_a162_SW_No_Power_For_Support: 0
BMS_a163_SW_Contactor_Mismatch: 0
BMS_a164_SW_Uncontrolled_Regen: 0
BMS_a165_SW_Pack_Partial_Weld: 0
BMS_a166_SW_Pack_Full_Weld: 0
BMS_a167_SW_FC_Partial_Weld: 0
BMS_a168_SW_FC_Full_Weld: 0
BMS_a169_SW_FC_Pack_Weld: 0
BMS_a170_SW_Limp_Mode: 0
BMS_a171_SW_Stack_Voltage_Sense: 0
BMS_a174_SW_Charge_Failure: 0
BMS_a176_SW_GracefulPowerOff: 0
BMS_a179_SW_Hvp_12V_Fault: 0
BMS_a180_SW_ECU_reset_blocked: 0
BMS_acChargerKwhTotal: 6139.592000000001 KWh
BMS_activeHeatingWorthwhile: 0
BMS_appCrc: 1983305633
BMS_appGitHash: 0
BMS_assemblyId: 2
BMS_bmbMinMaxMultiplexer: THERM_MUX0
BMS_bootCrc: 3984728572
BMS_bootGitHash: 55154812515831416
BMS_bootUdsProtoVersion: 5
BMS_brick0: 3.2851000000000004 V
BMS_brick1: 3.2849000000000004 V
BMS_brick10: 3.2856 V
BMS_brick100: 3.2848 V
BMS_brick101: 3.2849000000000004 V
BMS_brick102: 3.2857000000000003 V
BMS_brick103: 3.2857000000000003 V
BMS_brick104: 3.2857000000000003 V
BMS_brick105: 3.2858 V
BMS_brick106: 0.0 V
BMS_brick107: 0.0 V
BMS_brick11: 3.2852 V
BMS_brick12: 3.2857000000000003 V
BMS_brick13: 3.2853000000000003 V
BMS_brick14: 3.2845 V
BMS_brick15: 3.2847 V
BMS_brick16: 3.2849000000000004 V
BMS_brick17: 3.285 V
BMS_brick18: 3.285 V
BMS_brick19: 3.285 V
BMS_brick2: 3.2853000000000003 V
BMS_brick20: 3.2853000000000003 V
BMS_brick21: 3.2848 V
BMS_brick22: 3.2853000000000003 V
BMS_brick23: 3.2853000000000003 V
BMS_brick24: 3.2855000000000003 V
BMS_brick25: 3.2849000000000004 V
BMS_brick26: 3.2848 V
BMS_brick27: 3.285 V
BMS_brick28: 3.2851000000000004 V
BMS_brick29: 3.2852 V
BMS_brick3: 3.2852 V
BMS_brick30: 3.2852 V
BMS_brick31: 3.2849000000000004 V
BMS_brick32: 3.2851000000000004 V
BMS_brick33: 3.2851000000000004 V
BMS_brick34: 3.285 V
BMS_brick35: 3.2849000000000004 V
BMS_brick36: 3.2848 V
BMS_brick37: 3.2846 V
BMS_brick38: 3.2845 V
BMS_brick39: 3.2844 V
BMS_brick4: 3.2856 V
BMS_brick40: 3.2848 V
BMS_brick41: 3.2846 V
BMS_brick42: 3.2848 V
BMS_brick43: 3.2846 V
BMS_brick44: 3.2846 V
BMS_brick45: 3.2845 V
BMS_brick46: 3.2853000000000003 V
BMS_brick47: 3.2853000000000003 V
BMS_brick48: 3.2853000000000003 V
BMS_brick49: 3.2849000000000004 V
BMS_brick5: 3.2851000000000004 V
BMS_brick50: 3.2852 V
BMS_brick51: 3.2852 V
BMS_brick52: 3.2852 V
BMS_brick53: 3.2839 V
BMS_brick54: 3.2840000000000003 V
BMS_brick55: 3.2844 V
BMS_brick56: 3.2842000000000002 V
BMS_brick57: 3.2845 V
BMS_brick58: 3.2844 V
BMS_brick59: 3.2844 V
BMS_brick6: 3.2854 V
BMS_brick60: 3.2844 V
BMS_brick61: 3.2853000000000003 V
BMS_brick62: 3.2852 V
BMS_brick63: 3.2852 V
BMS_brick64: 3.285 V
BMS_brick65: 3.2855000000000003 V
BMS_brick66: 3.285 V
BMS_brick67: 3.2845 V
BMS_brick68: 3.2843 V
BMS_brick69: 3.2844 V
BMS_brick7: 3.2852 V
BMS_brick70: 3.2844 V
BMS_brick71: 3.2849000000000004 V
BMS_brick72: 3.2848 V
BMS_brick73: 3.2847 V
BMS_brick74: 3.2848 V
BMS_brick75: 3.2854 V
BMS_brick76: 3.2855000000000003 V
BMS_brick77: 3.2857000000000003 V
BMS_brick78: 3.2857000000000003 V
BMS_brick79: 3.2856 V
BMS_brick8: 3.2857000000000003 V
BMS_brick80: 3.2854 V
BMS_brick81: 3.2847 V
BMS_brick82: 3.2851000000000004 V
BMS_brick83: 3.2851000000000004 V
BMS_brick84: 3.2852 V
BMS_brick85: 3.2852 V
BMS_brick86: 3.2852 V
BMS_brick87: 3.2852 V
BMS_brick88: 3.2855000000000003 V
BMS_brick89: 3.2854 V
BMS_brick9: 3.2855000000000003 V
BMS_brick90: 3.2852 V
BMS_brick91: 3.2853000000000003 V
BMS_brick92: 3.2853000000000003 V
BMS_brick93: 3.2851000000000004 V
BMS_brick94: 3.2845 V
BMS_brick95: 3.2846 V
BMS_brick96: 3.2844 V
BMS_brick97: 3.2848 V
BMS_brick98: 3.2849000000000004 V
BMS_brick99: 3.2847 V
BMS_brickIndex: 21
BMS_brickNumVoltageMax: 106
BMS_brickNumVoltageMin: 54
BMS_brickStatus: 42
BMS_brickVoltageMax: 3.286 V
BMS_brickVoltageMin: 3.2840000000000003 V
BMS_buildConfigId: 4205
BMS_buildType: PLATFORM_BUILD
BMS_chargeRequest: 0
BMS_chargeRetryCount: 11
BMS_chgPowerAvailable: 255.75 kW
BMS_componentId: 136
BMS_contactorState: CLOSED
BMS_cpMiaOnHvs: 1
BMS_currentUnfiltered: 1.0499999999999545 A
BMS_dcChargerKwhTotal: 3769.587 KWh
BMS_diLimpRequest: NONE
BMS_ecuLogUploadRequest: 1
BMS_energyBuffer: 2.23 kWh
BMS_energyStatusIndex: 0
BMS_energyToChargeComplete: 26.5 kWh
BMS_expectedEnergyRemaining: 23.0 kWh
BMS_flowRequest: 17.099999999999998 LPM
BMS_fullyCharged: 0
BMS_hardwareId: 4
BMS_hvState: DOWN
BMS_hvacPowerRequest: 1
BMS_hvsBusAsleep: 0
BMS_idealEnergyRemaining: 23.0 kWh
BMS_infoIndex: PCBAID_ASSYID_USAGEID
BMS_initialFullPackEnergy: 0.1 kWh
BMS_inletActiveCoolTargetT: -12.25 DegC
BMS_inletActiveHeatTargetT: 49.75 DegC
BMS_inletPassiveTargetT: 59.25 DegC
BMS_isolationResistance: 0 kOhm
BMS_keepWarmRequest: 0
BMS_kwhChargeTotal: 14616.688 KWh
BMS_kwhCounter_Id: MUX1
BMS_kwhDischargeTotal: 14015.902 KWh
BMS_kwhDriveDischargeTotal: 13460.98 KWh
BMS_kwhRegenChargeTotal: 4707.177 KWh
BMS_matrixIndex: AlertMatrix2
BMS_maxBusVoltage: 201.36 V
BMS_maxChargeCurrent: 250.0 A
BMS_maxDischargeCurrent: 682.624 A
BMS_minBusVoltage: 106.06 V
BMS_minPackTemperature: -15.5 DegC
BMS_modelTMax: 31.0 DegC
BMS_modelTMin: -40.0 DegC
BMS_nmGoingToSleep: 0
BMS_nmKeepAwakeReason: CTRS_CLOSED
BMS_nmWakeUpBus: 1
BMS_nmWakeUpReason: CAN_VEH
BMS_noFlowRequest: 0
BMS_nominalEnergyRemaining: 23.0 kWh
BMS_nominalFullPackEnergy: 51.120000000000005 kWh
BMS_notEnoughPowerForDrive: 0
BMS_notEnoughPowerForSupport: 0
BMS_okToShipByAir: 0
BMS_okToShipByLand: 0
BMS_packCurrent: 1.0 A
BMS_packTMax: 15.0 DegC
BMS_packTMin: 64.0 DegC
BMS_packVoltage: 348.14 V
BMS_pcbaId: 4
BMS_pcsNoFlowRequest: 0
BMS_pcsPwmEnabled: 1
BMS_platformType: 3
BMS_powerDissipation: 2.24 kW
BMS_preconditionAllowed: 1
BMS_socAvg: 45.7 %
BMS_socMax: 48.1 %
BMS_socMin: 45.5 %
BMS_socUI: 46.5 %
BMS_state: STANDBY
BMS_subUsageId: 2
BMS_thermistorNumTMax: 3
BMS_thermistorNumTMin: 1
BMS_thermistorTMax: 31.5 DegC
BMS_thermistorTMin: 31.0 DegC
BMS_uiChargeStatus: NO_POWER
BMS_updateAllowed: 1
BMS_usageId: 5
CMPD_inputHVCurrent: 0.6000000000000001 A
CMPD_inputHVPower: 0 W
CMPD_inputHVVoltage: 32.0 V
CMPD_powerLimitActive: 0
CMPD_powerLimitTooLowToStart: 1
CMPD_ready: 0
CMPD_speedDuty: 0.2 %
CMPD_speedRPM: 2580 RPM
CMPD_state: 3
CMPD_wasteHeatState: 0
CP_UHF_chipState: 0
CP_UHF_controlState: INIT
CP_UHF_fifoData: 0
CP_UHF_handleFound: 0
CP_UHF_rssi: 0
CP_UHF_rxNumBytes: 0
CP_UHF_rxOverflow: 0
CP_UHF_selfTestRssi: 0
CP_a001_canRx: 0
CP_a002_canTx: 0
CP_a003_canError: 0
CP_a004_proximityRationality: 0
CP_a005_gbdcLiveDisconnect: 0
CP_a006_lostCommsBMS: 0
CP_a007_watchdog: 0
CP_a008_memoryError: 0
CP_a009_coverOpen: 0
CP_a010_pilotRationality: 0
CP_a011_eeprom: 0
CP_a012_ledDriver: 0
CP_a013_lostCommsGTW: 0
CP_a014_lostCommsCHG: 0
CP_a015_apsVov: 0
CP_a016_apsVuv: 0
CP_a017_fiveVov: 0
CP_a018_fiveVuv: 0
CP_a019_threeVov: 0
CP_a020_threeVuv: 0
CP_a021_zeroVov: 0
CP_a022_zeroVuv: 0
CP_a023_gbdcSessionFailed: 0
CP_a024_ledsUC: 0
CP_a025_ledsOC: 0
CP_a026_networkManagement: 0
CP_a027_doorSensorOutOfSpec: 0
CP_a028_insertEnableMismatch: 0
CP_a029_doorClosedProxPilot: 0
CP_a030_busOff: 0
CP_a031_doorClosedCommandedOpen: 0
CP_a032_doorOpenExpectedClosed: 0
CP_a033_spiOpen: 0
CP_a034_calibrationIncomplete: 0
CP_a035_latchMovement_1: 0
CP_a036_latchNotDisengaged: 0
CP_a037_latchNotEngaged: 0
CP_a038_latchNotBlocking: 0
CP_a039_latchMovement_2: 0
CP_a040_doNotUse: 0
CP_a041_doorSensorUnplugged: 0
CP_a042_doorAssemblyBroken: 0
CP_a043_doorPotIrrational: 0
CP_a044_lostCommsHVP: 0
CP_a045_lostCommsVCSEC: 0
CP_a046_lostCommsEVSE: 0
CP_a047_lostCommsVCFRONT: 0
CP_a048_lostCommsUI: 0
CP_a049_multipleCablesDetected: 0
CP_a050_latchNotConnected: 0
CP_a051_doorInductiveSensorMIA: 0
CP_a052_evseNotSupported: 0
CP_a053_proxLatchedNoPilot: 0
CP_a054_cableNotSecured: 0
CP_a055_chargeStoppedNoPilot: 0
CP_a056_proxDisconnected: 0
CP_a057_evseFaulted: 0
CP_a058_acChargingBlocked: 0
CP_a059_swcanError: 0
CP_a060_lostCommsPCS: 0
CP_a061_uhfReceiverMIA: 0
CP_a062_scOutOfService: 0
CP_a063_scUpdateInProgress: 0
CP_a064_superchargingBlocked: 0
CP_a065_selfTestFailed: 0
CP_a066_proxLatchedIdlePilot: 0
CP_a067_gbdcConnFault: 0
CP_a068_doorSensorMismatch: 0
CP_a069_doorInductiveSensorError: 0
CP_a256_unused: 0
CP_acChargeRetriesExceeded: 0
CP_acChargeState: INACTIVE
CP_acNumRetries: 0
CP_appCrc: 833176688
CP_appGitHash: 0
CP_apsVoltage: 3.0058811999999997 V
CP_assemblyId: 4
CP_backCover2Counts: 0.0 %
CP_backCoverCounts: 0.0 %
CP_boardTemperature: -50.0 C
CP_bootCrc: 2164417909
CP_bootGitHash: 34880965707952968
CP_bootUdsProtoVersion: 5
CP_buildConfigId: 23
CP_buildType: PLATFORM_BUILD
CP_cableCurrentLimit: 0 A
CP_cableType: 5
CP_chargeCablePresent: NOT_PRESENT
CP_chargeCableSecured: 1
CP_chargeCableState: 1
CP_chargeDoorOpen: 0
CP_chargeDoorOpenUI: 1
CP_coldWeatherMode: NONE
CP_componentId: 8
CP_coverClosed: 0
CP_digitalCommsAttempts: 0
CP_digitalCommsEstablished: 0
CP_doorButtonPressed: 0
CP_doorControlState: doorInit
CP_doorCountsDebounced: 0.0 %
CP_doorCountsFiltered: 0.0 %
CP_doorI: 7.47 A
CP_doorLastRequestMaxI: 5.135 A
CP_doorOpenRequested: 0
CP_doorPot: 82.525 %
CP_evseAccept: 0
CP_evseChargeType: NO_CHARGER_PRESENT
CP_evseRequest: 0
CP_faultLineSensed: SET
CP_faultLineV: 0.0 V
CP_gbState: IDLE
CP_gbdcChargeAttempts: 0
CP_gbdcFailureReason: FAILURE_NONE
CP_gbdcStopChargeReason: STOP_REASON_NONE
CP_hardwareId: 252
CP_hvInletExposed: 0
CP_inductiveDoorState: 7
CP_inductiveSensorState: INIT
CP_inductiveSensor_raw: 0
CP_infoIndex: BOOTLOADER_GITHASH
CP_insertEnableLine: 1
CP_latch2ControlState: latchInit
CP_latch2I: 0.32 A
CP_latch2State: DISENGAGED
CP_latchControlState: latchIdle
CP_latchEngaged: 0
CP_latchI: 0.0 A
CP_latchState: DISENGAGED
CP_ledColor: GREEN
CP_lineVoltageRequested: 1
CP_matrixIndex: AlertMatrix1
CP_numAlertsSet: 30
CP_pcbaId: 13
CP_permanentPowerRequest: 0
CP_pilot: NONE
CP_pilotCurrent: 0.0 A
CP_pinTemperature1: -55.0 C
CP_pinTemperature2: -55.0 C
CP_pinTemperature3: -55.0 C
CP_platformType: 1
CP_proximity: SNA
CP_sensorDataSelect: DOOR
CP_stopChargeRequest: 0
CP_subUsageId: 65535
CP_swcanRelayClosed: 0
CP_teslaSwcanState: INACTIVE
CP_type: GB
CP_usageId: 1
CP_vehiclePrechargeRequired: 0
CP_vehicleUnlockRequest: 1
DAS_TP_accRestricted: 0
DAS_TP_counter: 0
DAS_TP_handsOn: 0
DAS_TP_hppC0: 0.0 m
DAS_TP_hppC1: 0.0 rad
DAS_TP_hppC2: 0.0 1/m
DAS_TP_hppC3: 0.0 1/m2
DAS_TP_hppCounter: 0
DAS_TP_hppError: 3.0 m
DAS_TP_hppFuse: 0
DAS_TP_hppQlty: 0
DAS_TP_hppRange: 0 m
DAS_TP_hppValid: 0
DAS_TP_laneChange: 0
DAS_TP_lcState: 0
DAS_TP_llC0: 5.12 m
DAS_TP_llC1: -0.47656371999999997 rad
DAS_TP_llC2: 0.018712 1/m
DAS_TP_llC3: 0.0 1/m2
DAS_TP_llCounter: 0
DAS_TP_llFuse: 0
DAS_TP_llQlty: 0
DAS_TP_llRange: 23 m
DAS_TP_llType: UNDECIDED
DAS_TP_multiplexer: HPP
DAS_TP_plannerState: 1
DAS_TP_restrictedAccess: 0
DAS_TP_rlC0: 5.12 m
DAS_TP_rlC1: -0.06445329 rad
DAS_TP_rlC2: 0.005892 1/m
DAS_TP_rlC3: 0.0 1/m2
DAS_TP_rlCounter: 0
DAS_TP_rlFuse: 0
DAS_TP_rlQlty: 0
DAS_TP_rlRange: 0 m
DAS_TP_rlType: UNDECIDED
DAS_TP_sonicDistL: 3.47 m
DAS_TP_sonicDistR: 0.36 m
DAS_TP_vehFuse: 0
DAS_TP_vlWidth: 0.0 m
DAS_TP_wipersActive: 1
DAS_ahlbOverride: 0
DAS_autopilotState: DISABLED
DAS_autosteerHPPUsage: REJECTED_UNAVAILABLE
DAS_autosteerVehiclesUsage: REJECTED_UNAVAILABLE
DAS_blindSpotRearLeft: NO_WARNING
DAS_blindSpotRearRight: NO_WARNING
DAS_bodyControlsChecksum: 166
DAS_bodyControlsCounter: 4
DAS_dynamicBrakeLightRequest: 0
DAS_forwardCollisionWarning: NONE
