signal_key,source,message,can_id,dbc_dlc,start_bit,bit_length,byte_order,signed,factor,offset,unit,definition_fingerprint
BMS_packVoltage,input/tesla_model3_ONYX.dbc,BMS_hvBusStatus,0x132,8,0,16,little_endian,False,0.01,0,V,132:8:0:16:little_endian:0:0.01:0
BMS_contactorState,input/tesla_model3_ONYX.dbc,BMS_status,0x212,8,8,3,little_endian,False,1,0,,212:8:8:3:little_endian:0:1:0
BMS_hvState,input/tesla_model3_ONYX.dbc,BMS_status,0x212,8,16,3,little_endian,False,1,0,,212:8:16:3:little_endian:0:1:0
BMS_isolationResistance,input/tesla_model3_ONYX.dbc,BMS_status,0x212,8,19,10,little_endian,False,10,0,kOhm,212:8:19:10:little_endian:0:10:0
DI_systemState,input/tesla_model3_ONYX.dbc,DI_systemStatus,0x118,8,16,3,little_endian,False,1,0,,118:8:16:3:little_endian:0:1:0
DI_brakePedalState,input/tesla_model3_ONYX.dbc,DI_systemStatus,0x118,8,19,2,little_endian,False,1,0,,118:8:19:2:little_endian:0:1:0
DI_gear,input/tesla_model3_ONYX.dbc,DI_systemStatus,0x118,8,21,3,little_endian,False,1,0,,118:8:21:3:little_endian:0:1:0
DI_keepAliveRequest,input/tesla_model3_ONYX.dbc,DI_systemStatus,0x118,8,47,1,little_endian,False,1,0,,118:8:47:1:little_endian:0:1:0
HVP_packContNegativeState,input/tesla_model3_ONYX.dbc,HVP_contactorState,0x20A,6,0,3,little_endian,False,1,0,,20A:6:0:3:little_endian:0:1:0
HVP_packContPositiveState,input/tesla_model3_ONYX.dbc,HVP_contactorState,0x20A,6,3,3,little_endian,False,1,0,,20A:6:3:3:little_endian:0:1:0
HVP_hvilStatus,input/tesla_model3_ONYX.dbc,HVP_contactorState,0x20A,6,40,4,little_endian,False,1,0,,20A:6:40:4:little_endian:0:1:0
PCS_dcdcLvBusVolt,input/tesla_model3_ONYX.dbc,PCS_dcdcBusStatus,0x2B4,5,0,10,little_endian,False,0.0390625,0,V,2B4:5:0:10:little_endian:0:0.0390625:0
PCS_dcdcHvBusVolt,input/tesla_model3_ONYX.dbc,PCS_dcdcBusStatus,0x2B4,5,10,12,little_endian,False,0.146484375,0,V,2B4:5:10:12:little_endian:0:0.146484375:0
PCS_dcdcLvOutputCurrent,input/tesla_model3_ONYX.dbc,PCS_dcdcBusStatus,0x2B4,5,24,12,little_endian,False,0.1,0,A,2B4:5:24:12:little_endian:0:0.1:0
PCS_dcdc12VSupportStatus,input/tesla_model3_ONYX.dbc,PCS_dcdcStatus,0x224,8,2,2,little_endian,False,1,0,,224:8:2:2:little_endian:0:1:0
