time_s,signal_key,can_id,asc_dlc,raw_hex,decoded_value,decode_source
0.022100,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
0.122100,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8a 0c 91 09,CLOSED,ONYX
0.222100,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
0.322100,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
0.422100,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
0.522100,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0e 91 09,CLOSED,ONYX
0.622100,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
0.722200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
0.822200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
0.922200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8a 0c 91 09,CLOSED,ONYX
1.022200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
1.122200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
1.222200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
1.322200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8a 0c 91 09,CLOSED,ONYX
1.422200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
1.522200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
1.622200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
1.722200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
1.822200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
1.922200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
2.022200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
2.122200,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
2.222300,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
2.322300,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
2.422300,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
2.522300,VCLEFT_frontLatchStatus,0x102,8,22 b3 48 04 8c 0c 91 09,CLOSED,ONYX
