signal_key,can_id,evidence_requirement,effective_role,effective_priority,approved_source,frame_count,asc_actual_dlc,decoded_sample_count,readability,observed_values_or_range,post_validation_maturity,boundary
NetworkFrameRate_derived,derived,ER-01,休眠/唤醒网络反馈,P0,原始ASC统计,601,derived,601,READABLE,0..3086 frames/s,PARTIALLY_VALIDATED,DOMAIN_SLEEP_PROXY
ActiveCanIdCount_derived,derived,ER-01,控制器分批唤醒代理,P1,原始ASC统计,601,derived,601,READABLE,0..307 IDs/s,PARTIALLY_VALIDATED,DOMAIN_OBSERVATION_ONLY
VCLEFT_frontLatchStatus,0x102,ER-02+ER-03,驾驶门闩反馈,P0,ONYX主候选；冲突项见定义对照,2355,8,2355,READABLE,CLOSED | SNA | OPENED,STRONGLY_SUPPORTED,DBC_VERSION_CONFLICT+EVENT_ANCHOR_MISSING
VCLEFT_frontOccupancyStatus,0x30A,ER-03,驾驶员入座反馈,P0,ONYX主候选；冲突项见定义对照,0,NO_FRAME,0,NO_FRAME,,PARTIALLY_VALIDATED,DBC_APPLICABILITY_UNVERIFIED+EVENT_ANCHOR_MISSING
DI_brakePedalState,0x118,ER-04,制动条件输入,P0,ONYX主候选；冲突项见定义对照,5962,8,5962,READABLE,INVALID,SEMANTIC_VALIDATION_FAILED,EVENT_ANCHOR_MISSING
DI_gear,0x118,ER-07+ER-09,挡位反馈/状态门,P0,ONYX主候选；冲突项见定义对照,5962,8,5962,READABLE,SNA | P | D,STRONGLY_SUPPORTED,FEEDBACK_NOT_RAW_REQUEST
DI_systemState,0x118,ER-07+ER-09,电驱状态/ENABLE候选,P0,ONYX主候选；冲突项见定义对照,5962,8,5962,READABLE,UNAVAILABLE | STANDBY | ENABLE,STRONGLY_SUPPORTED,NOT_WHOLE_VEHICLE_READY
UI_readyForDrive,0x353,ER-07,仪表/用户层可驱动反馈候选,P1,ONYX主候选；冲突项见定义对照,139,8,139,READABLE,0 | 1,STRONGLY_SUPPORTED,DBC_VERSION_CONFLICT+CONSUMER_SIGNAL
BMS_hvState,0x212,ER-05+ER-06+ER-09,BMS高压状态,P0,ONYX主候选；冲突项见定义对照,2326,8,2326,READABLE,DOWN,SEMANTIC_VALIDATION_FAILED,ENUM_SEQUENCE_REQUIRES_VALIDATION
BMS_contactorState,0x212,ER-06+ER-09,BMS接触器总状态,P0,ONYX主候选；冲突项见定义对照,2326,8,2326,READABLE,CLOSED | OPENING | OPEN | CLOSING,STRONGLY_SUPPORTED,AGGREGATE_STATE
BMS_packVoltage,0x132,ER-06+ER-09,Pack端高压反馈,P0,ONYX主候选；冲突项见定义对照,23259,6,23259,READABLE,353.35 | 353.25 | 353.37 | 353.21 | 353.31 | 353.44 | 353.45 | 353.43 | 353.24 | 353.36 | 353.4 | 353.27,STRONGLY_SUPPORTED,PACK_SIDE_NOT_EXTERNAL_BUS
