signal_key,can_id,evidence_requirement,effective_role,effective_priority,frame_count,asc_actual_dlc,decoded_sample_count,readability,first_value,last_value,observed,transition_count,draft_maturity,analysis_note
NetworkFrameRate_derived,derived,ER-08+ER-09,采集域通信结果/静默代理,P0,661,derived,661,READABLE,2254,0,0..2293 frames/s,,PARTIALLY_VALIDATED,CURRENT_CAPTURE_DOMAIN_ONLY
ActiveCanIdCount_derived,derived,ER-08+ER-09,采集域控制器活跃度代理,P1,661,derived,661,READABLE,259,0,0..266 IDs/s,,PARTIALLY_VALIDATED,CURRENT_CAPTURE_DOMAIN_ONLY
CanIdLastSeenTime_derived,derived,ER-07+ER-08,分批通信退出时序代理,P0,284,derived,284,READABLE,29.909000,295.838300,29.909000..295.838300 s,,INSUFFICIENT_EVIDENCE,MESSAGE_LAST_SEEN_IS_NOT_ECU_POWER_OFF
VCLEFT_frontOccupancyStatus,0x30A,ER-02,驾驶员离座反馈候选/可见性验证目标,P0,0,NO_FRAME,0,NO_FRAME,,,,0,PARTIALLY_VALIDATED,decode_errors=0
VCLEFT_frontLatchStatus,0x102,ER-02+ER-03+ER-07,驾驶门闩执行反馈,P0,2970,8,2970,READABLE,CLOSED,CLOSED,CLOSED | OPENED,3,PARTIALLY_VALIDATED,decode_errors=0
VCSEC_lockRequestType,0x339,ER-03,钥匙卡/NFC锁止请求类型候选,P1,2958,8,2958,READABLE,NONE,NONE,NONE | ACTIVE_NFC_LOCK,3,INSUFFICIENT_EVIDENCE,decode_errors=0
VCSEC_simpleLockStatus,0x339,ER-03+ER-07,整车简化锁止反馈候选,P0,2958,8,2958,READABLE,UNLOCKED,LOCKED,UNLOCKED | LOCKED,2,INSUFFICIENT_EVIDENCE,decode_errors=0
VCSEC_vehicleLockStatus,0x339,ER-03,锁止方式/结果消费者状态候选,P1,2958,8,2958,READABLE,ACTIVE_NFC_UNLOCKED,ACTIVE_NFC_LOCKED,ACTIVE_NFC_UNLOCKED | ACTIVE_NFC_LOCKED,2,INSUFFICIENT_EVIDENCE,decode_errors=0
UI_lockRequest,0x273,ER-03,CONSUMER_STATE_CANDIDATE,P1,337,8,337,READABLE,IDLE,IDLE,IDLE,1,INSUFFICIENT_EVIDENCE,decode_errors=0
DI_gear,0x118,ER-01+ER-04,挡位反馈/起始状态门,P0,0,NO_FRAME,0,NO_FRAME,,,,0,STRONGLY_SUPPORTED,decode_errors=0
DI_systemState,0x118,ER-01+ER-04+ER-07,电驱执行状态/ENABLE退出候选,P0,0,NO_FRAME,0,NO_FRAME,,,,0,STRONGLY_SUPPORTED,decode_errors=0
UI_readyForDrive,0x353,ER-01+ER-04,显示/消费者层可驱动反馈候选,P1,177,8,177,READABLE,1,0,1 | 0,2,PARTIALLY_VALIDATED,decode_errors=0
VCFRONT_vehiclePowerState,0x221,ER-01+ER-04+ER-07,车辆供电阶段系统结果候选,P1,5914,8,5914,READABLE,ACCESSORY,OFF,ACCESSORY | CONDITIONING | OFF,3,INSUFFICIENT_EVIDENCE,decode_errors=0
VCFRONT_vehicleStatusDBG,0x2E1,ER-04+ER-07+ER-09,整车下电阶段调试状态候选,P1,0,NOT_ANALYZED,0,EXCLUDED_NOT_ANALYZED,,,,0,INSUFFICIENT_EVIDENCE,确认排除；MUX适用性未确认且与既有状态和网络派生证据重叠
VCFRONT_12vStatusForDrive,0x3A1,ER-04+ER-06,12V侧退出可驱动状态候选,P1,5914,8,0,UNREADABLE,,,,0,INSUFFICIENT_EVIDENCE,decode_errors=5914
BMS_hvState,0x212,ER-01+ER-04+ER-05+ER-07,BMS高压系统结果/执行候选（低可信验证目标）,P1,2956,8,2956,READABLE,DOWN,DOWN,DOWN,1,SEMANTIC_VALIDATION_FAILED,decode_errors=0
BMS_contactorState,0x212,ER-01+ER-05+ER-07+ER-09,BMS接触器总执行状态,P0,2956,8,2956,READABLE,CLOSED,OPEN,CLOSED | OPENING | OPEN,3,STRONGLY_SUPPORTED,decode_errors=0
HVP_packContPositiveState,0x20A,ER-05+ER-07,正接触器独立执行反馈候选,P1,294,6,294,READABLE,ECONOMIZED,OPEN,ECONOMIZED | OPENING | OPEN,3,PARTIALLY_VALIDATED,decode_errors=0
HVP_packContNegativeState,0x20A,ER-05+ER-07,负接触器独立执行反馈候选,P1,294,6,294,READABLE,ECONOMIZED,OPEN,ECONOMIZED | OPENING | OPEN,3,PARTIALLY_VALIDATED,decode_errors=0
BMS_packVoltage,0x132,ER-01+ER-05,Pack端高压背景反馈,P1,29560,6,29560,READABLE,353.48,8.56,8.540000..353.970000,28338,STRONGLY_SUPPORTED,decode_errors=0
PCS_dcdcHvBusVolt,0x2B4,ER-05+ER-06,PCS所见高压母线物理响应候选,P0,2943,6,2943,READABLE,187.646484375,197.021484375,0.146484..590.771484,707,SEMANTIC_VALIDATION_FAILED,decode_errors=0
