can_id,frame_count,asc_dlcs,first_seen_s,last_seen_s,source_last_seen_s
0x4F,167,8,0.871300,166.806500,166.806500
0x82,168,8,0.271700,167.206600,167.206600
0x102,2970,8,0.089900,295.810400,295.810400
0x103,2958,8,0.000400,295.721400,295.721400
0x113,2956,3,0.002000,295.525000,295.525000
0x119,2958,4,0.000000,295.720800,295.720800
0x122,2968,8,0.096900,295.817400,295.817400
0x123,2958,8,0.006400,295.727400,295.727400
0x129,4193,8,0.003100,41.924400,41.924400
0x132,29560,6,0.003300,295.600400,295.600400
0x139,2958,1,0.029900,295.750800,295.750800
0x142,5916,8,0.037100,295.807400,295.807400
0x1BB,338,1,0.071300,167.506200,167.506200
0x1D9,8,6+8,33.363400,34.631700,34.631700
0x1DA,158,3+4+5+8,153.402000,153.874000,153.874000
0x1F8,2959,4,0.017800,295.838300,295.838300
0x1F9,2957,8,0.093100,295.713900,295.713900
0x1FA,2958,3,0.068800,295.789300,295.789300
0x1FB,59,8,3.962300,293.982500,293.982500
0x201,11828,8,0.000900,295.695200,295.695200
0x204,2943,8,0.078500,294.262700,294.262700
0x20A,294,6,0.351300,293.354900,293.354900
0x20C,2958,8,0.024400,295.745400,295.745400
0x20E,1437,3,0.090300,143.697300,143.697300
0x212,2956,8,0.039600,295.542900,295.542900
0x213,335,2,0.271400,167.206800,167.206800
0x219,2958,7,0.065100,295.785900,295.785900
0x21D,2943,8,0.051400,294.272300,294.272300
0x221,5914,8,0.041900,295.711200,295.711200
0x224,2943,8,0.079000,294.263400,294.263400
0x225,2957,4,0.082300,295.703300,295.703300
0x228,2958,8,0.022700,295.746100,295.746100
0x229,419,3,0.093700,41.894900,41.894900
0x22A,2943,4,0.062000,294.265200,294.265200
0x22B,2962,8,0.042400,143.669700,143.669700
0x232,296,8,0.063500,295.070500,295.070500
0x234,5887,8,0.016100,294.300200,294.300200
0x238,336,8,0.021700,167.456600,167.456600
0x23A,296,8,0.626200,295.646900,295.646900
0x23E,748,8,0.028100,29.909000,29.909000
0x241,2957,7,0.030800,295.649900,295.649900
0x242,2958,4,0.076300,295.796300,295.796300
0x243,14787,8,0.006700,295.747400,295.747400
0x249,838,4,0.043600,41.895300,41.895300
0x24A,294,1,0.866800,293.868200,293.868200
0x252,2956,8,0.039900,295.543100,295.543100
0x253,670,8,0.271100,167.256800,167.256800
0x25A,296,6,0.342600,295.362800,295.362800
0x25B,1437,8,0.082600,143.690000,143.690000
0x25D,2943,8,0.051700,294.273100,294.273100
0x261,18481,8,0.011800,295.710900,295.710900
0x262,295,8,0.956100,294.976400,294.976400
0x263,14787,8,0.016600,295.757900,295.757900
0x264,2943,6,0.078700,294.262900,294.262900
0x272,2959,8,0.004000,295.824400,295.824400
0x273,337,8,0.421900,167.357000,167.357000
0x27D,2943,8,0.052400,294.273800,294.273800
0x282,2959,8,0.010900,295.831400,295.831400
0x283,2957,6,0.088400,295.709300,295.709300
0x284,336,8,0.071500,167.506700,167.506700
0x285,1343,8,0.121200,167.657400,167.657400
0x286,336,5,0.121400,167.556600,167.556600
0x288,2958,8,0.025100,295.749600,295.749600
0x289,2958,8,0.024900,295.745600,295.745600
0x292,2956,8,0.040100,295.543400,295.543400
0x293,337,8,0.220900,167.656900,167.656900
0x294,336,8,0.471300,167.406300,167.406300
0x295,408,8,0.021200,165.515900,165.515900
0x29D,2943,5,0.052800,294.274000,294.274000
0x2A1,2957,6,0.086800,295.705900,295.705900
0x2A4,294,8,0.779900,293.764300,293.764300
0x2A6,619,8,0.040400,61.840400,61.840400
0x2A7,619,8,0.040600,61.840600,61.840600
0x2A8,2958,8,0.037300,295.761400,295.761400
0x2AA,2958,3,0.013500,295.737600,295.737600
0x2B3,4929,8,0.036800,295.737800,295.737800
0x2B4,2943,6,0.079200,294.263600,294.263600
0x2BD,2943,4,0.053600,294.274200,294.274200
0x2BF,1478,7,0.176800,295.595400,295.595400
0x2C1,14784,8,0.015900,295.695700,295.695700
0x2C2,2967,8,0.053000,295.773400,295.773400
0x2C3,2957,8,0.066700,295.687800,295.687800
0x2C4,2943,8,0.078200,294.262500,294.262500
0x2C7,619,8,0.039400,61.839900,61.839900
0x2D1,2957,2,0.063900,295.682900,295.682900
0x2D2,2956,8,0.040800,295.542600,295.542600
0x2D3,340,8,0.220700,167.240200,167.240200
0x2D7,296,4,0.671900,295.692300,295.692300
0x2E1,18491,8,0.004300,295.703000,295.703000
0x2E2,1479,8,0.161900,295.782400,295.782400
0x2E3,1478,7,0.174400,295.595900,295.595900
0x2E8,2958,8,0.034900,295.758300,295.758300
0x2EC,2958,3,0.010600,295.734000,295.734000
0x2F1,2957,8,0.042100,295.660900,295.660900
0x2F2,2956,2,0.041000,295.543700,295.543700
0x2F3,336,8,0.421400,167.356500,167.356500
0x2F9,2957,8,0.072100,295.692900,295.692900
0x300,296,8,0.394700,295.401800,295.401800
0x301,296,8,0.275900,295.294900,295.294900
0x302,296,8,0.388300,295.408600,295.408600
0x303,296,8,0.474500,295.495800,295.495800
0x310,176,8,1.668400,293.669500,293.669500
0x311,296,2,0.394800,295.401900,295.401900
0x312,592,8,0.041200,295.544000,295.544000
0x313,336,8,0.170800,167.607700,167.607700
0x318,2956,8,0.002300,295.525300,295.525300
0x319,295,8,0.910100,294.930900,294.930900
