can_id,pre_silence_frame_count,last_seen_before_silence_s,first_seen_after_silence_s,returned_after_silence
0x4F,167,166.806500,,NO
0x82,168,167.206600,,NO
0x102,2970,295.810400,,NO
0x103,2958,295.721400,,NO
0x113,2956,295.525000,,NO
0x119,2958,295.720800,,NO
0x122,2968,295.817400,,NO
0x123,2958,295.727400,,NO
0x129,4193,41.924400,,NO
0x132,29560,295.600400,,NO
0x139,2958,295.750800,,NO
0x142,5916,295.807400,,NO
0x1BB,338,167.506200,,NO
0x1D9,8,34.631700,,NO
0x1DA,158,153.874000,,NO
0x1F8,2959,295.838300,,NO
0x1F9,2957,295.713900,,NO
0x1FA,2958,295.789300,,NO
0x1FB,59,293.982500,,NO
0x201,11828,295.695200,,NO
0x204,2943,294.262700,,NO
0x20A,294,293.354900,,NO
0x20C,2958,295.745400,,NO
0x20E,1437,143.697300,,NO
0x212,2956,295.542900,,NO
0x213,335,167.206800,,NO
0x219,2958,295.785900,,NO
0x21D,2943,294.272300,,NO
0x221,5914,295.711200,,NO
0x224,2943,294.263400,,NO
0x225,2957,295.703300,,NO
0x228,2958,295.746100,,NO
0x229,419,41.894900,,NO
0x22A,2943,294.265200,,NO
0x22B,2962,143.669700,,NO
0x232,296,295.070500,,NO
0x234,5887,294.300200,,NO
0x238,336,167.456600,,NO
0x23A,296,295.646900,,NO
0x23E,748,29.909000,,NO
0x241,2957,295.649900,,NO
0x242,2958,295.796300,,NO
0x243,14787,295.747400,,NO
0x249,838,41.895300,,NO
0x24A,294,293.868200,,NO
0x252,2956,295.543100,,NO
0x253,670,167.256800,,NO
0x25A,296,295.362800,,NO
0x25B,1437,143.690000,,NO
0x25D,2943,294.273100,,NO
0x261,18481,295.710900,,NO
0x262,295,294.976400,,NO
0x263,14787,295.757900,,NO
0x264,2943,294.262900,,NO
0x272,2959,295.824400,,NO
0x273,337,167.357000,,NO
0x27D,2943,294.273800,,NO
0x282,2959,295.831400,,NO
0x283,2957,295.709300,,NO
0x284,336,167.506700,,NO
0x285,1343,167.657400,,NO
0x286,336,167.556600,,NO
0x288,2958,295.749600,,NO
0x289,2958,295.745600,,NO
0x292,2956,295.543400,,NO
0x293,337,167.656900,,NO
0x294,336,167.406300,,NO
0x295,408,165.515900,,NO
0x29D,2943,294.274000,,NO
0x2A1,2957,295.705900,,NO
0x2A4,294,293.764300,,NO
0x2A6,619,61.840400,,NO
0x2A7,619,61.840600,,NO
0x2A8,2958,295.761400,,NO
0x2AA,2958,295.737600,,NO
0x2B3,4929,295.737800,,NO
0x2B4,2943,294.263600,,NO
0x2BD,2943,294.274200,,NO
0x2BF,1478,295.595400,,NO
0x2C1,14784,295.695700,,NO
0x2C2,2967,295.773400,,NO
0x2C3,2957,295.687800,,NO
0x2C4,2943,294.262500,,NO
0x2C7,619,61.839900,,NO
0x2D1,2957,295.682900,,NO
0x2D2,2956,295.542600,,NO
0x2D3,340,167.240200,,NO
0x2D7,296,295.692300,,NO
0x2E1,18491,295.703000,,NO
0x2E2,1479,295.782400,,NO
0x2E3,1478,295.595900,,NO
0x2E8,2958,295.758300,,NO
0x2EC,2958,295.734000,,NO
0x2F1,2957,295.660900,,NO
0x2F2,2956,295.543700,,NO
0x2F3,336,167.356500,,NO
0x2F9,2957,295.692900,,NO
0x300,296,295.401800,,NO
0x301,296,295.294900,,NO
0x302,296,295.408600,,NO
0x303,296,295.495800,,NO
0x310,176,293.669500,,NO
0x311,296,295.401900,,NO
0x312,592,295.544000,,NO
0x313,336,167.607700,,NO
0x318,2956,295.525300,,NO
0x319,295,294.930900,,NO
0x31A,1479,295.729400,,NO
0x31E,1176,293.872300,,NO
0x320,1478,295.410800,,NO
0x321,296,295.695000,,NO
0x323,296,295.163500,,NO
0x324,168,167.256500,,NO
0x32A,59,294.544200,,NO
0x330,34,41.595300,,NO
0x332,296,295.401600,,NO
0x333,337,167.306000,,NO
0x334,335,167.306200,,NO
0x339,2958,295.707000,,NO
0x33A,168,167.356800,,NO
0x340,2957,295.639000,,NO
0x343,2958,295.757400,,NO
0x348,296,295.326500,,NO
0x34A,592,295.687400,,NO
0x352,443,295.144000,,NO
0x353,177,167.056800,,NO
0x355,168,167.606600,,NO
0x359,2958,295.764900,,NO
0x35F,296,295.447500,,NO
0x360,2958,295.803400,,NO
0x361,295,294.994900,,NO
0x362,296,295.266500,,NO
0x364,294,293.764500,,NO
0x366,62,61.243300,,NO
0x372,4434,295.590700,,NO
0x373,168,167.057000,,NO
0x379,2958,295.743900,,NO
0x37A,2958,295.758100,,NO
0x37D,294,293.472200,,NO
0x381,8214,295.695900,,NO
0x382,296,295.124500,,NO
0x383,2957,295.675400,,NO
0x38A,2958,295.771900,,NO
0x38B,144,143.040000,,NO
0x38D,144,143.339900,,NO
0x390,168,167.008900,,NO
0x392,592,295.544400,,NO
0x393,2958,295.739400,,NO
0x399,295,294.788700,,NO
0x39A,2958,295.778900,,NO
0x39B,291,143.615200,,NO
0x39D,2248,89.917400,,NO
0x3A1,5914,295.677000,,NO
0x3A2,8964,295.815400,,NO
0x3A3,2958,295.733400,,NO
0x3A4,294,293.764700,,NO
0x3A8,1479,295.682400,,NO
0x3AA,589,294.268000,,NO
0x3AB,8856,295.526900,,NO
0x3AE,3798,143.686600,,NO
0x3B2,915,295.447700,,NO
0x3B3,339,167.257000,,NO
0x3BB,168,167.356300,,NO
0x3BC,167,166.809000,,NO
0x3BD,296,295.595000,,NO
0x3C0,2957,295.715400,,NO
0x3C2,5917,295.832600,,NO
0x3C3,2957,295.663400,,NO
0x3C4,352,293.864300,,NO
0x3C8,2958,295.731700,,NO
0x3C9,296,295.079400,,NO
0x3CC,288,143.557100,,NO
0x3D2,296,295.402200,,NO
0x3D3,296,295.329700,,NO
0x3D8,170,167.057600,,NO
0x3DB,591,295.438000,,NO
0x3DD,294,293.472700,,NO
0x3DF,339,167.656700,,NO
0x3E2,1482,295.832400,,NO
0x3E3,1481,295.663500,,NO
0x3E8,2959,295.828100,,NO
0x3E9,291,143.654800,,NO
0x3ED,296,295.326700,,NO
0x3F2,296,295.402400,,NO
0x3F5,2963,295.672100,,NO
0x3F6,304,295.395000,,NO
0x3F9,2957,295.699900,,NO
0x3FD,1005,167.408000,,NO
0x400,1437,143.639900,,NO
0x401,10636,295.590900,,NO
0x405,1182,295.327900,,NO
0x407,287,143.499800,,NO
0x409,1437,143.635000,,NO
0x40A,1479,295.732400,,NO
0x414,1182,295.328400,,NO
0x419,1437,143.695200,,NO
0x41D,2943,294.272400,,NO
0x420,1438,143.712000,,NO
0x421,2957,295.693900,,NO
0x422,2958,295.766400,,NO
0x423,2957,295.681300,,NO
0x428,2958,295.767400,,NO
0x42A,1479,295.736900,,NO
0x42E,296,295.448000,,NO
0x42F,296,295.448200,,NO
0x439,2958,295.727900,,NO
0x43B,1183,295.686900,,NO
0x43D,2943,294.272600,,NO
