time_s,signal_key,value,raw_hex
0.089900,VCLEFT_frontLatchStatus,CLOSED,22 b3 88 04 8c 0e a1 09
7.984500,VCLEFT_frontLatchStatus,OPENED,21 33 49 84 8c 0c a1 09
29.656100,VCLEFT_frontLatchStatus,CLOSED,22 b3 48 04 8c 0e a1 09
0.086200,VCSEC_lockRequestType,NONE,00 11 00 00 00 00 40 0f
33.362600,VCSEC_lockRequestType,ACTIVE_NFC_LOCK,00 21 fe 90 80 00 88 0f
33.988600,VCSEC_lockRequestType,NONE,00 21 fc 00 80 10 80 0f
0.086200,VCSEC_simpleLockStatus,UNLOCKED,00 11 00 00 00 00 40 0f
33.362600,VCSEC_simpleLockStatus,LOCKED,00 21 fe 90 80 00 88 0f
0.086200,VCSEC_vehicleLockStatus,ACTIVE_NFC_UNLOCKED,00 11 00 00 00 00 40 0f
33.362600,VCSEC_vehicleLockStatus,ACTIVE_NFC_LOCKED,00 21 fe 90 80 00 88 0f
0.421900,UI_lockRequest,IDLE,81 e1 10 00 c8 00 10 01
0.121800,UI_readyForDrive,1,7b 0f 39 80 07 14 08 0b
122.839700,UI_readyForDrive,0,59 0d 39 80 07 14 08 09
0.041900,VCFRONT_vehiclePowerState,ACCESSORY,40 41 05 05 00 50 91 8f
29.894500,VCFRONT_vehiclePowerState,CONDITIONING,21 01 a5 51 01 02 e0 1e
282.160500,VCFRONT_vehiclePowerState,OFF,00 00 01 00 00 50 31 a5
0.039600,BMS_hvState,DOWN,58 04 00 00 82 ff 77 62
0.039600,BMS_contactorState,CLOSED,58 04 00 00 82 ff 77 62
282.245100,BMS_contactorState,OPENING,58 02 00 00 82 ff 77 20
282.543600,BMS_contactorState,OPEN,58 01 00 00 80 ff 77 00
0.351300,HVP_packContPositiveState,ECONOMIZED,f6 15 09 82 18 01
282.354900,HVP_packContPositiveState,OPENING,ed 14 09 42 14 00
283.354900,HVP_packContPositiveState,OPEN,c9 11 09 82 10 00
0.351300,HVP_packContNegativeState,ECONOMIZED,f6 15 09 82 18 01
282.354900,HVP_packContNegativeState,OPENING,ed 14 09 42 14 00
283.354900,HVP_packContNegativeState,OPEN,c9 11 09 82 10 00
0.079200,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d dd 00
0.679300,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d d9 00
0.779200,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d dc 00
1.379300,PCS_dcdcHvBusVolt,178.271484375,10 05 d3 0d dc 00
1.479100,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d db 00
2.779000,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d e2 00
2.879000,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d db 00
3.079000,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d e5 00
3.179000,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d dd 00
3.879300,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d e5 00
4.178900,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d e3 00
4.479000,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d e2 00
4.578900,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d e5 00
4.978900,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d e0 00
5.079100,PCS_dcdcHvBusVolt,187.646484375,10 05 d4 0d db 00
6.778800,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d dc 00
6.879200,PCS_dcdcHvBusVolt,187.646484375,10 05 d4 0d df 00
7.379100,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d dc 00
7.578900,PCS_dcdcHvBusVolt,187.646484375,15 05 d4 0d da 00
7.778900,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d d8 00
7.879100,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d dd 00
7.978800,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d fc 00
8.078900,PCS_dcdcHvBusVolt,187.646484375,16 05 d4 0d 0c 01
9.378800,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d db 00
9.478900,PCS_dcdcHvBusVolt,187.646484375,0f 05 d4 0d db 00
9.678800,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d dd 00
9.778800,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d dc 00
10.378800,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d df 00
10.478700,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d e2 00
11.178600,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d e4 00
11.278600,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d e1 00
11.378600,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d e5 00
11.478800,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d e3 00
12.078700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d e6 00
12.178700,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d e0 00
13.278500,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d d7 00
13.378600,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d da 00
15.078400,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d dc 00
15.378400,PCS_dcdcHvBusVolt,187.646484375,14 05 d4 0d dc 00
16.178700,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d e1 00
16.278700,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d dd 00
16.478600,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d dd 00
16.678700,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d db 00
16.778700,PCS_dcdcHvBusVolt,178.271484375,0f 05 d3 0d da 00
16.878500,PCS_dcdcHvBusVolt,187.646484375,0f 05 d4 0d df 00
17.378800,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d db 00
17.478500,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d dc 00
18.378600,PCS_dcdcHvBusVolt,178.271484375,14 05 d3 0d dd 00
18.478500,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d dd 00
18.878900,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d d9 00
18.978600,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d d9 00
19.178700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d dd 00
19.278700,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d dc 00
19.478600,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d dc 00
19.578500,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d dc 00
20.379000,PCS_dcdcHvBusVolt,178.271484375,10 05 d3 0d e1 00
20.478900,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d d7 00
20.679000,PCS_dcdcHvBusVolt,178.271484375,14 05 d3 0d e2 00
20.778700,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d dd 00
21.078700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d e9 00
