time_s,source_time_s,signal_key,can_id,asc_dlc,raw_hex,decoded_value,decode_source
0.089900,0.089900,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0e a1 09,CLOSED,input/tesla_model3_ONYX.dbc
0.189900,0.189900,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
0.289900,0.289900,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
0.389900,0.389900,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
0.489900,0.489900,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
0.590100,0.590100,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
0.689900,0.689900,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
0.789900,0.789900,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
0.889900,0.889900,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
0.990000,0.990000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
1.090000,1.090000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
1.190000,1.190000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
1.290000,1.290000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
1.390000,1.390000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
1.490000,1.490000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
1.590000,1.590000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
1.690000,1.690000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
1.790000,1.790000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
1.890000,1.890000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
1.990000,1.990000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
2.090000,2.090000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
2.190000,2.190000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
2.290000,2.290000,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
2.390100,2.390100,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
2.490100,2.490100,VCLEFT_frontLatchStatus,0x102,8,22 b3 88 04 8c 0c a1 09,CLOSED,input/tesla_model3_ONYX.dbc
