second,frame_count,active_can_id_count
0,2254,259
1,2246,260
2,2246,259
3,2251,264
4,2246,261
5,2262,262
6,2247,261
7,2252,260
8,2272,262
9,2249,262
10,2254,259
11,2250,260
12,2244,258
13,2254,264
14,2252,261
15,2262,261
16,2246,261
17,2252,260
18,2251,261
19,2249,262
20,2257,259
21,2247,260
22,2242,258
23,2249,263
24,2248,262
25,2256,261
26,2249,261
27,2248,261
28,2251,261
29,2272,265
30,2274,261
31,2258,260
32,2259,259
33,2293,266
34,2265,263
35,2269,262
36,2259,261
37,2256,260
38,2260,262
39,2255,262
40,2265,260
41,2246,260
42,2114,253
43,2118,261
44,2117,256
45,2125,256
46,2118,257
47,2114,255
48,2120,258
49,2117,257
50,2123,254
51,2116,256
52,2110,253
53,2118,259
54,2113,257
55,2130,256
56,2118,257
57,2116,255
58,2121,257
59,2120,259
60,2122,254
61,2112,255
62,2083,250
63,2087,256
64,2087,253
65,2098,253
66,2084,252
67,2088,252
68,2089,253
69,2086,254
70,2090,251
71,2083,251
72,2080,249
73,2093,257
74,2084,253
75,2093,253
76,2086,252
77,2082,251
78,2087,254
79,2086,254
80,2090,250
81,2084,252
82,2079,249
83,2085,256
84,2082,253
85,2095,252
86,2086,253
87,2081,251
88,2087,253
89,2086,255
90,2064,249
91,2059,250
92,2057,249
93,2063,255
94,2062,253
95,2071,251
96,2056,251
97,2060,251
98,2064,252
99,2059,253
100,2066,250
101,2058,250
102,2056,249
103,2063,255
104,2061,252
105,2070,252
106,2058,251
107,2060,250
108,2061,253
109,2063,253
110,2065,250
111,2057,250
112,2055,248
113,2060,255
114,2057,252
115,2071,251
116,2059,252
117,2058,250
118,2062,252
119,2062,254
120,2066,249
121,2064,251
122,2059,248
123,2060,255
124,2061,253
125,2071,251
126,2057,251
127,2060,251
128,2061,252
129,2061,254
130,2066,249
131,2058,250
132,2055,249
133,2064,255
134,2061,252
135,2070,252
136,2059,251
137,2059,251
138,2059,252
139,2062,253
140,2067,250
141,2056,250
142,2055,248
143,2030,255
144,1940,238
145,1956,237
146,1942,238
147,1942,236
148,1947,239
149,1945,239
150,1947,235
151,1943,237
152,1940,234
153,2286,244
154,1947,239
155,1953,237
156,1941,238
157,1943,236
158,1946,238
159,1944,240
160,1950,236
161,1951,236
162,1940,235
163,1947,241
164,1948,239
165,1958,237
166,1942,237
167,1925,235
168,1872,203
169,1877,204
170,1872,201
171,1873,202
172,1871,200
173,1876,207
174,1874,203
175,1878,203
176,1875,203
177,1873,202
178,1875,204
179,1878,204
180,1869,200
181,1874,203
182,1874,200
183,1878,208
184,1876,203
185,1879,203
186,1872,204
187,1875,202
188,1876,203
189,1876,205
190,1868,200
191,1877,203
192,1871,200
193,1879,207
194,1878,204
195,1873,202
196,1874,203
197,1878,203
198,1874,203
199,1874,204
200,1873,201
201,1873,202
202,1870,201
203,1878,206
204,1872,203
205,1876,203
206,1876,203
207,1874,202
208,1875,204
209,1877,204
210,1871,201
211,1873,202
212,1874,200
213,1879,208
214,1875,203
215,1877,202
216,1874,204
217,1874,202
218,1878,204
219,1874,204
220,1871,200
221,1876,203
222,1870,200
223,1880,207
224,1878,204
225,1874,202
226,1873,203
227,1878,203
228,1874,203
229,1876,205
230,1873,200
231,1871,202
232,1871,201
233,1878,206
234,1873,203
235,1875,203
236,1876,203
237,1876,203
238,1874,203
239,1877,204
240,1870,201
241,1873,202
242,1875,200
243,1879,208
244,1873,203
245,1878,203
246,1873,203
247,1876,202
248,1875,204
249,1874,204
250,1871,200
251,1876,203
252,1872,200
253,1878,207
254,1878,204
255,1874,202
256,1875,204
257,1877,202
258,1873,203
259,1876,205
260,1873,200
261,1873,202
262,1870,201
263,1877,206
264,1874,204
265,1875,202
266,1875,203
267,1876,203
268,1874,203
269,1877,204
270,1871,201
271,1873,202
272,1875,201
273,1877,207
274,1875,203
275,1877,203
276,1874,203
277,1875,202
278,1877,204
279,1874,204
280,1870,200
281,1878,203
282,1874,201
283,1880,208
284,1876,203
285,1874,202
286,1876,204
287,1877,202
288,1873,203
289,1875,205
290,1873,200
291,1875,203
292,1870,200
293,1876,206
294,1722,195
295,1215,163
296,0,0
297,0,0
298,0,0
299,0,0
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
514,0,0
515,0,0
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
535,0,0
536,0,0
537,0,0
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,0,0
544,0,0
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,0,0
559,0,0
560,0,0
561,0,0
562,0,0
563,0,0
564,0,0
565,0,0
566,0,0
567,0,0
568,0,0
569,0,0
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,0
594,0,0
595,0,0
596,0,0
597,0,0
598,0,0
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
