signal_key,can_id,first_time_s,last_time_s,first_value,last_value,observed,transition_count
VCLEFT_frontOccupancyStatus,0x30A,,,,,,0
VCLEFT_frontLatchStatus,0x102,0.089900,295.810400,CLOSED,CLOSED,CLOSED | OPENED,3
VCSEC_lockRequestType,0x339,0.086200,295.707000,NONE,NONE,NONE | ACTIVE_NFC_LOCK,3
VCSEC_simpleLockStatus,0x339,0.086200,295.707000,UNLOCKED,LOCKED,UNLOCKED | LOCKED,2
VCSEC_vehicleLockStatus,0x339,0.086200,295.707000,ACTIVE_NFC_UNLOCKED,ACTIVE_NFC_LOCKED,ACTIVE_NFC_UNLOCKED | ACTIVE_NFC_LOCKED,2
UI_lockRequest,0x273,0.421900,167.357000,IDLE,IDLE,IDLE,1
DI_gear,0x118,,,,,,0
DI_systemState,0x118,,,,,,0
UI_readyForDrive,0x353,0.121800,167.056800,1,0,1 | 0,2
VCFRONT_vehiclePowerState,0x221,0.041900,295.711200,ACCESSORY,OFF,ACCESSORY | CONDITIONING | OFF,3
VCFRONT_12vStatusForDrive,0x3A1,,,,,,0
BMS_hvState,0x212,0.039600,295.542900,DOWN,DOWN,DOWN,1
BMS_contactorState,0x212,0.039600,295.542900,CLOSED,OPEN,CLOSED | OPENING | OPEN,3
HVP_packContPositiveState,0x20A,0.351300,293.354900,ECONOMIZED,OPEN,ECONOMIZED | OPENING | OPEN,3
HVP_packContNegativeState,0x20A,0.351300,293.354900,ECONOMIZED,OPEN,ECONOMIZED | OPENING | OPEN,3
BMS_packVoltage,0x132,0.003300,295.600400,353.48,8.56,8.540000..353.970000,28338
PCS_dcdcHvBusVolt,0x2B4,0.079200,294.263600,187.646484375,197.021484375,0.146484..590.771484,707
PCS_dcdcHvBusDischargeStatus,0x224,0.079000,294.263400,IDLE,IDLE,IDLE | ACTIVE,3
PCS_dcdcMainState,0x224,0.079000,294.263400,STANDBY,STANDBY,STANDBY,1
PCS_dcdc12VSupportStatus,0x224,0.079000,294.263400,ACTIVE,IDLE,ACTIVE | IDLE,4
PCS_dcdcLvBusVolt,0x2B4,0.079200,294.263600,10.703125,10.9765625,7.773438..14.062500,2156
PCS_dcdcLvOutputCurrent,0x2B4,0.079200,294.263600,334.1,0,0.000000..385.300000,2087
BMS_nmGoingToSleep,0x2F2,0.041000,295.543700,0,0,0,1
BMS_hvsBusAsleep,0x2F2,0.041000,295.543700,0,1,0 | 1,2
BMS_nmKeepAwakeReason,0x2F2,0.041000,295.543700,CTRS_CLOSED,NONE_SNA,CTRS_CLOSED | NONE_SNA,2
GTW_nmGoingToSleep,0x458,0.002500,295.525500,0,0,0,1
GTW_VEHBusAsleep,0x458,0.002500,295.525500,0,1,0 | 1,2
GTW_chBusAsleep,0x458,0.002500,295.525500,0,1,0 | 1,2
GTW_nmKeepAwakeReason,0x458,0.002500,295.525500,NONE_SNA,NONE_SNA,NONE_SNA,1
