time_s,source_time_s,signal_key,can_id,asc_dlc,raw_hex,decoded_value,decode_source,definition_fingerprint
0.079200,0.079200,PCS_dcdcLvBusVolt,0x2B4,6,12 05 d4 0d dd 00,12.98,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:0:13:little_endian:0:0.01:0
0.079200,0.079200,PCS_dcdcLvOutputCurrent,0x2B4,6,12 05 d4 0d dd 00,22.1,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:32:13:little_endian:1:0.1:0
0.179200,0.179200,PCS_dcdcLvBusVolt,0x2B4,6,12 05 d4 0d df 00,12.98,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:0:13:little_endian:0:0.01:0
0.179200,0.179200,PCS_dcdcLvOutputCurrent,0x2B4,6,12 05 d4 0d df 00,22.3,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:32:13:little_endian:1:0.1:0
0.279100,0.279100,PCS_dcdcLvBusVolt,0x2B4,6,10 05 d4 0d d6 00,12.96,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:0:13:little_endian:0:0.01:0
0.279100,0.279100,PCS_dcdcLvOutputCurrent,0x2B4,6,10 05 d4 0d d6 00,21.4,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:32:13:little_endian:1:0.1:0
0.379400,0.379400,PCS_dcdcLvBusVolt,0x2B4,6,11 05 d4 0d db 00,12.97,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:0:13:little_endian:0:0.01:0
0.379400,0.379400,PCS_dcdcLvOutputCurrent,0x2B4,6,11 05 d4 0d db 00,21.9,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:32:13:little_endian:1:0.1:0
0.479500,0.479500,PCS_dcdcLvBusVolt,0x2B4,6,11 05 d4 0d dc 00,12.97,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:0:13:little_endian:0:0.01:0
0.479500,0.479500,PCS_dcdcLvOutputCurrent,0x2B4,6,11 05 d4 0d dc 00,22,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:32:13:little_endian:1:0.1:0
0.579200,0.579200,PCS_dcdcLvBusVolt,0x2B4,6,11 05 d4 0d db 00,12.97,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:0:13:little_endian:0:0.01:0
0.579200,0.579200,PCS_dcdcLvOutputCurrent,0x2B4,6,11 05 d4 0d db 00,21.9,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:32:13:little_endian:1:0.1:0
0.679300,0.679300,PCS_dcdcLvBusVolt,0x2B4,6,11 05 d3 0d d9 00,12.97,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:0:13:little_endian:0:0.01:0
0.679300,0.679300,PCS_dcdcLvOutputCurrent,0x2B4,6,11 05 d3 0d d9 00,21.7,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:32:13:little_endian:1:0.1:0
0.779200,0.779200,PCS_dcdcLvBusVolt,0x2B4,6,12 05 d4 0d dc 00,12.98,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:0:13:little_endian:0:0.01:0
0.779200,0.779200,PCS_dcdcLvOutputCurrent,0x2B4,6,12 05 d4 0d dc 00,22,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:32:13:little_endian:1:0.1:0
0.879100,0.879100,PCS_dcdcLvBusVolt,0x2B4,6,12 05 d4 0d de 00,12.98,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:0:13:little_endian:0:0.01:0
0.879100,0.879100,PCS_dcdcLvOutputCurrent,0x2B4,6,12 05 d4 0d de 00,22.2,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:32:13:little_endian:1:0.1:0
0.979100,0.979100,PCS_dcdcLvBusVolt,0x2B4,6,0f 05 d4 0d d8 00,12.95,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:0:13:little_endian:0:0.01:0
0.979100,0.979100,PCS_dcdcLvOutputCurrent,0x2B4,6,0f 05 d4 0d d8 00,21.6,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:32:13:little_endian:1:0.1:0
1.079100,1.079100,PCS_dcdcLvBusVolt,0x2B4,6,12 05 d4 0d db 00,12.98,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:0:13:little_endian:0:0.01:0
1.079100,1.079100,PCS_dcdcLvOutputCurrent,0x2B4,6,12 05 d4 0d db 00,21.9,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:32:13:little_endian:1:0.1:0
1.179100,1.179100,PCS_dcdcLvBusVolt,0x2B4,6,11 05 d4 0d db 00,12.97,dbc\Model3_ETH_json_reference_optional.dbc,2B4:6:0:13:little_endian:0:0.01:0
