time_s,BMS_packVoltage,BMS_packCurrent,derived_packPower_kW,DI_accelPedalPos,DI_gear,DI_systemState,DI_brakePedalState,DI_driveBlocked,DI_tractionControlMode,DI_elecPower,DI_vehicleSpeed,VCLEFT_brakeSwitchPressed,VCLEFT_brakePressed,DI_torqueCommand,DI_torqueActual,DI_axleSpeed,derived_axleMechanicalPower_kW,DI_sysDrivePowerMax,DI_sysRegenPowerMax,BMS_maxDischargeCurrent,BMS_maxChargeCurrent,BMS_socUI,BMS_socMin,BMS_socMax
0.0,,,,,,,,,,,,,,,,,,,,,,,,
0.1,347.3,1.2000000000000002,0.4167600000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
0.2,347.29,1.2000000000000002,0.4167480000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
0.3,347.16,1.2000000000000002,0.4165920000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
0.4,347.26,1.2000000000000002,0.416712,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
0.5,347.23,1.2000000000000002,0.4166760000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
0.6,347.31,1.2000000000000002,0.41677200000000003,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
0.7,347.05,1.2000000000000002,0.4164600000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
0.8,347.12,1.1,0.38183200000000006,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
0.9,347.22,1.2000000000000002,0.4166640000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
