time_s,request_Nm,actual_Nm,error_Nm,rod_mm,rod_mm_age_s,apply,apply_age_s,internal_state,internal_state_age_s,DI_vehicleSpeed,DI_vehicleSpeed_age_s,DI_accelPedalPos,DI_accelPedalPos_age_s,VCLEFT_brakeSwitchPressed,VCLEFT_brakeSwitchPressed_age_s,DI_elecPower,DI_elecPower_age_s,derived_packPower_kW,derived_packPower_kW_age_s,DI_gear,DI_gear_age_s
0.0641,0.0,0.0,0.0,-0.015625,0.0261,BRAKES_NOT_APPLIED,0.0261,NO_MODE_ACTIVE,0.0261,0.0,0.0003,0.0,0.0008,0.0,0.0324,0.0,0.0005,0.45149,0.0026,P,0.0008
0.1641,0.0,0.0,0.0,-0.015625,0.0073,BRAKES_NOT_APPLIED,0.0073,NO_MODE_ACTIVE,0.0073,0.0,0.0003,0.0,0.0008,0.0,0.0324,0.0,0.0006,0.41683200000000004,0.0026,P,0.0008
0.2642,0.0,0.0,0.0,-0.015625,0.0264,BRAKES_NOT_APPLIED,0.0264,NO_MODE_ACTIVE,0.0264,0.0,0.0004,0.0,0.0009,0.0,0.0323,0.0,0.0006,0.4167360000000001,0.0027,P,0.0009
0.3641,0.0,0.0,0.0,-0.015625,0.0067,BRAKES_NOT_APPLIED,0.0067,NO_MODE_ACTIVE,0.0067,0.0,0.0003,0.0,0.0008,0.0,0.0324,0.0,0.0006,0.4168800000000001,0.0025,P,0.0008
0.4641,0.0,0.0,0.0,-0.015625,0.0263,BRAKES_NOT_APPLIED,0.0263,NO_MODE_ACTIVE,0.0263,0.0,0.0003,0.0,0.0008,0.0,0.0323,0.0,0.0005,0.41668800000000006,0.0026,P,0.0008
0.5641,0.0,0.0,0.0,-0.015625,0.0073,BRAKES_NOT_APPLIED,0.0073,NO_MODE_ACTIVE,0.0073,0.0,0.0003,0.0,0.0008,0.0,0.0324,0.0,0.0006,0.4168080000000001,0.0024,P,0.0008
0.6641,0.0,0.0,0.0,-0.015625,0.0273,BRAKES_NOT_APPLIED,0.0273,NO_MODE_ACTIVE,0.0273,0.0,0.0003,0.0,0.0008,0.0,0.0322,0.0,0.0006,0.41677200000000003,0.0026,P,0.0008
0.7641,0.0,0.0,0.0,-0.015625,0.0073,BRAKES_NOT_APPLIED,0.0073,NO_MODE_ACTIVE,0.0073,0.0,0.0003,0.0,0.0008,0.0,0.0321,0.0,0.0006,0.41661600000000004,0.0026,P,0.0008
0.8641,0.0,0.0,0.0,-0.015625,0.0262,BRAKES_NOT_APPLIED,0.0262,NO_MODE_ACTIVE,0.0262,0.0,0.0003,0.0,0.0008,0.0,0.0321,0.0,0.0006,0.41656800000000005,0.0026,P,0.0008
0.9641,0.0,0.0,0.0,-0.015625,0.0073,BRAKES_NOT_APPLIED,0.0073,NO_MODE_ACTIVE,0.0073,0.0,0.0004,0.0,0.0008,0.0,0.0321,0.0,0.0006,0.416652,0.0026,P,0.0008
1.0641,0.0,0.0,0.0,-0.015625,0.0263,BRAKES_NOT_APPLIED,0.0263,NO_MODE_ACTIVE,0.0263,0.0,0.0003,0.0,0.0008,0.0,0.0322,0.0,0.0006,0.41662800000000005,0.0026,P,0.0008
1.164,0.0,0.0,0.0,-0.015625,0.0071,BRAKES_NOT_APPLIED,0.0071,NO_MODE_ACTIVE,0.0071,0.0,0.0003,0.0,0.0008,0.0,0.032,0.0,0.0005,0.4165800000000001,0.0025,P,0.0008
1.2641,0.0,0.0,0.0,-0.015625,0.0269,BRAKES_NOT_APPLIED,0.0269,NO_MODE_ACTIVE,0.0269,0.0,0.0004,0.0,0.0009,0.0,0.0321,0.0,0.0006,0.381975,0.0026,P,0.0009
1.364,0.0,0.0,0.0,-0.015625,0.0071,BRAKES_NOT_APPLIED,0.0071,NO_MODE_ACTIVE,0.0071,0.0,0.0003,0.0,0.0008,0.0,0.032,0.0,0.0005,0.41661600000000004,0.0024,P,0.0008
1.4641,0.0,0.0,0.0,-0.015625,0.0269,BRAKES_NOT_APPLIED,0.0269,NO_MODE_ACTIVE,0.0269,0.0,0.0004,0.0,0.0008,0.0,0.0321,0.0,0.0006,0.4166040000000001,0.0024,P,0.0008
1.564,0.0,0.0,0.0,-0.015625,0.007,BRAKES_NOT_APPLIED,0.007,NO_MODE_ACTIVE,0.007,0.0,0.0003,0.0,0.0008,0.0,0.032,0.0,0.0005,0.4167600000000001,0.0024,P,0.0008
1.664,0.0,0.0,0.0,-0.015625,0.0261,BRAKES_NOT_APPLIED,0.0261,NO_MODE_ACTIVE,0.0261,0.0,0.0003,0.0,0.0008,0.0,0.032,0.0,0.0006,0.4165800000000001,0.0025,P,0.0008
1.764,0.0,0.0,0.0,-0.015625,0.0071,BRAKES_NOT_APPLIED,0.0071,NO_MODE_ACTIVE,0.0071,0.0,0.0003,0.0,0.0008,0.0,0.032,0.0,0.0006,0.41664000000000007,0.0024,P,0.0008
1.864,0.0,0.0,0.0,-0.015625,0.026,BRAKES_NOT_APPLIED,0.026,NO_MODE_ACTIVE,0.026,0.0,0.0003,0.0,0.0008,0.0,0.032,0.0,0.0005,0.4167360000000001,0.0025,P,0.0008
1.964,0.0,0.0,0.0,-0.015625,0.0065,BRAKES_NOT_APPLIED,0.0065,NO_MODE_ACTIVE,0.0065,0.0,0.0003,0.0,0.0008,0.0,0.032,0.0,0.0005,0.451425,0.0024,P,0.0008
