signal,can_id,dbc,message,dbc_dlc,candidate,relation,definition
DI_accelPedalPos,0x118,dbc/Model3CAN.dbc,ID118DriveSystemStatus,8,DI_accelPedalPos,同名；参数一致,"{""byte_order"": ""little_endian"", ""choices"": {""255"": ""SNA""}, ""length"": 8, ""mux"": null, ""offset"": 0, ""scale"": 0.4, ""signed"": false, ""start"": 32, ""unit"": ""%""}"
DI_accelPedalPos,0x118,dbc/Model3CAN.dbc.txt,ID118DriveSystemStatus,8,DI_accelPedalPos,同名；参数一致,"{""byte_order"": ""little_endian"", ""choices"": {""255"": ""SNA""}, ""length"": 8, ""mux"": null, ""offset"": 0, ""scale"": 0.4, ""signed"": false, ""start"": 32, ""unit"": ""%""}"
DI_accelPedalPos,0x118,dbc/tesla_model3.dbc,DI_systemStatus,8,DI_accelPedalPos,同名；参数一致,"{""byte_order"": ""little_endian"", ""choices"": {""255"": ""SNA""}, ""length"": 8, ""mux"": null, ""offset"": 0, ""scale"": 0.4, ""signed"": false, ""start"": 32, ""unit"": ""%""}"
DI_accelPedalPos,0x118,dbc/tesla_model3_ONYX.dbc.txt,DI_systemStatus,8,DI_accelPedalPos,同名；参数一致,"{""byte_order"": ""little_endian"", ""choices"": {""255"": ""SNA""}, ""length"": 8, ""mux"": null, ""offset"": 0, ""scale"": 0.4, ""signed"": false, ""start"": 32, ""unit"": ""%""}"
DI_accelPedalPos,0x118,dbc/tesla_model3_party.dbc,DI_systemStatus,8,DI_accelPedalPos,同名；参数一致,"{""byte_order"": ""little_endian"", ""choices"": {""255"": ""SNA""}, ""length"": 8, ""mux"": null, ""offset"": 0, ""scale"": 0.4, ""signed"": false, ""start"": 32, ""unit"": ""%""}"
DI_accelPedalPos,0x118,dbc/tesla_model3_vehicle.dbc,DI_systemStatus,8,DI_accelPedalPos,同名；参数一致,"{""byte_order"": ""little_endian"", ""choices"": {""255"": ""SNA""}, ""length"": 8, ""mux"": null, ""offset"": 0, ""scale"": 0.4, ""signed"": false, ""start"": 32, ""unit"": ""%""}"
DI_gear,0x118,dbc/Model3CAN.dbc,ID118DriveSystemStatus,8,DI_gear,同名；参数差异,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""DI_GEAR_INVALID"", ""1"": ""DI_GEAR_P"", ""2"": ""DI_GEAR_R"", ""3"": ""DI_GEAR_N"", ""4"": ""DI_GEAR_D"", ""7"": ""DI_GEAR_SNA""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 21, ""unit"": null}"
DI_gear,0x118,dbc/Model3CAN.dbc.txt,ID118DriveSystemStatus,8,DI_gear,同名；参数差异,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""DI_GEAR_INVALID"", ""1"": ""DI_GEAR_P"", ""2"": ""DI_GEAR_R"", ""3"": ""DI_GEAR_N"", ""4"": ""DI_GEAR_D"", ""7"": ""DI_GEAR_SNA""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 21, ""unit"": null}"
DI_gear,0x118,dbc/tesla_model3.dbc,DI_systemStatus,8,DI_gear,同名；参数一致,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""INVALID"", ""1"": ""P"", ""2"": ""R"", ""3"": ""N"", ""4"": ""D"", ""7"": ""SNA""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 21, ""unit"": null}"
DI_gear,0x118,dbc/tesla_model3_ONYX.dbc.txt,DI_systemStatus,8,DI_gear,同名；参数一致,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""INVALID"", ""1"": ""P"", ""2"": ""R"", ""3"": ""N"", ""4"": ""D"", ""7"": ""SNA""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 21, ""unit"": null}"
DI_gear,0x118,dbc/tesla_model3_party.dbc,DI_systemStatus,8,DI_gear,同名；参数差异,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""DI_GEAR_INVALID"", ""1"": ""DI_GEAR_P"", ""2"": ""DI_GEAR_R"", ""3"": ""DI_GEAR_N"", ""4"": ""DI_GEAR_D"", ""7"": ""DI_GEAR_SNA""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 21, ""unit"": null}"
DI_gear,0x118,dbc/tesla_model3_vehicle.dbc,DI_systemStatus,8,DI_gear,同名；参数差异,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""DI_GEAR_INVALID"", ""1"": ""DI_GEAR_P"", ""2"": ""DI_GEAR_R"", ""3"": ""DI_GEAR_N"", ""4"": ""DI_GEAR_D"", ""7"": ""DI_GEAR_SNA""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 21, ""unit"": null}"
DI_systemState,0x118,dbc/Model3CAN.dbc,ID118DriveSystemStatus,8,DI_systemState,同名；参数差异,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""DI_SYS_UNAVAILABLE"", ""1"": ""DI_SYS_IDLE"", ""2"": ""DI_SYS_STANDBY"", ""3"": ""DI_SYS_FAULT"", ""4"": ""DI_SYS_ABORT"", ""5"": ""DI_SYS_ENABLE""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 16, ""unit"": null}"
DI_systemState,0x118,dbc/Model3CAN.dbc.txt,ID118DriveSystemStatus,8,DI_systemState,同名；参数差异,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""DI_SYS_UNAVAILABLE"", ""1"": ""DI_SYS_IDLE"", ""2"": ""DI_SYS_STANDBY"", ""3"": ""DI_SYS_FAULT"", ""4"": ""DI_SYS_ABORT"", ""5"": ""DI_SYS_ENABLE""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 16, ""unit"": null}"
DI_systemState,0x118,dbc/tesla_model3.dbc,DI_systemStatus,8,DI_systemState,同名；参数一致,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""UNAVAILABLE"", ""1"": ""IDLE"", ""2"": ""STANDBY"", ""3"": ""FAULT"", ""4"": ""ABORT"", ""5"": ""ENABLE""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 16, ""unit"": null}"
DI_systemState,0x118,dbc/tesla_model3_ONYX.dbc.txt,DI_systemStatus,8,DI_systemState,同名；参数一致,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""UNAVAILABLE"", ""1"": ""IDLE"", ""2"": ""STANDBY"", ""3"": ""FAULT"", ""4"": ""ABORT"", ""5"": ""ENABLE""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 16, ""unit"": null}"
DI_systemState,0x118,dbc/tesla_model3_party.dbc,DI_systemStatus,8,DI_systemState,同名；参数差异,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""DI_SYS_UNAVAILABLE"", ""1"": ""DI_SYS_IDLE"", ""2"": ""DI_SYS_STANDBY"", ""3"": ""DI_SYS_FAULT"", ""4"": ""DI_SYS_ABORT"", ""5"": ""DI_SYS_ENABLE""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 16, ""unit"": null}"
DI_systemState,0x118,dbc/tesla_model3_vehicle.dbc,DI_systemStatus,8,DI_systemState,同名；参数差异,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""DI_SYS_UNAVAILABLE"", ""1"": ""DI_SYS_IDLE"", ""2"": ""DI_SYS_STANDBY"", ""3"": ""DI_SYS_FAULT"", ""4"": ""DI_SYS_ABORT"", ""5"": ""DI_SYS_ENABLE""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 16, ""unit"": null}"
DI_driveBlocked,0x118,dbc/Model3CAN.dbc,ID118DriveSystemStatus,8,DI_driveBlocked,同名；参数差异,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""DRIVE_BLOCKED_NONE"", ""1"": ""DRIVE_BLOCKED_FRUNK"", ""2"": ""DRIVE_BLOCKED_PROX""}, ""length"": 2, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 12, ""unit"": null}"
DI_driveBlocked,0x118,dbc/Model3CAN.dbc.txt,ID118DriveSystemStatus,8,DI_driveBlocked,同名；参数差异,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""DRIVE_BLOCKED_NONE"", ""1"": ""DRIVE_BLOCKED_FRUNK"", ""2"": ""DRIVE_BLOCKED_PROX""}, ""length"": 2, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 12, ""unit"": null}"
DI_driveBlocked,0x118,dbc/tesla_model3.dbc,DI_systemStatus,8,,无对应Signal,
