role,message,signal,can_id,unit,source,dbc_dlc,signal_required_dlc,asc_dlc,frames,decoded,invalid,changed,valid_range,dbc_range,period_ms,purpose,flags,definition
驾驶输入,DI_systemStatus,DI_accelPedalPos,0x118,%,O,8,5,8,16998,16998,0,是,0～25.6,None～None,10.1,识别真实踩下、调节及归零时刻,所选Signal长度完整,"{""byte_order"": ""little_endian"", ""choices"": {""255"": ""SNA""}, ""length"": 8, ""mux"": null, ""offset"": 0, ""scale"": 0.4, ""signed"": false, ""start"": 32, ""unit"": ""%""}"
条件/状态,DI_systemStatus,DI_gear,0x118,enum/raw,O,8,3,8,16998,16998,0,是,D / P,None～None,10.1,区分P/STANDBY与D/ENABLE,跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""INVALID"", ""1"": ""P"", ""2"": ""R"", ""3"": ""N"", ""4"": ""D"", ""7"": ""SNA""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 21, ""unit"": null}"
条件/状态,DI_systemStatus,DI_systemState,0x118,enum/raw,O,8,3,8,16998,16998,0,是,ENABLE / STANDBY,None～None,10.1,区分P/STANDBY与D/ENABLE,跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""UNAVAILABLE"", ""1"": ""IDLE"", ""2"": ""STANDBY"", ""3"": ""FAULT"", ""4"": ""ABORT"", ""5"": ""ENABLE""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 16, ""unit"": null}"
条件/状态,DI_systemStatus,DI_driveBlocked,0x118,enum/raw,O,8,2,8,16998,16998,0,否,2～2,0～2,10.1,保留状态观测；不单凭字段名判定实际阻止驱动或介入,raw=2；M映射DRIVE_BLOCKED_PROX，但实车可驱动，不据此判定阻止驱动；跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {}, ""length"": 2, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 12, ""unit"": null}"
条件/状态,DI_systemStatus,DI_tractionControlMode,0x118,enum/raw,O,8,6,8,16998,16998,0,否,NORMAL,None～None,10.1,保留状态观测；不单凭字段名判定实际阻止驱动或介入,跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""NORMAL"", ""1"": ""SLIP_START"", ""2"": ""DEV_MODE_1"", ""3"": ""DEV_MODE_2"", ""4"": ""ROLLS_MODE"", ""5"": ""DYNO_MODE""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 40, ""unit"": null}"
仲裁后请求,DI_torque,DI_torqueCommand,0x108,Nm,O,8,4,8,1700,1700,0,是,-622～684,None～None,100.0,最终电驱请求；不等同电门原始请求,跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {""-4096"": ""SNA""}, ""length"": 13, ""mux"": null, ""offset"": 0, ""scale"": 2, ""signed"": true, ""start"": 12, ""unit"": ""Nm""}"
执行反馈,DI_torque,DI_torqueActual,0x108,Nm,O,8,5,8,1700,1700,0,是,-622～710,None～None,100.0,与同帧请求配对，保留瞬态差值,跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {""-4096"": ""SNA""}, ""length"": 13, ""mux"": null, ""offset"": 0, ""scale"": 2, ""signed"": true, ""start"": 27, ""unit"": ""Nm""}"
运动反馈,DI_torque,DI_axleSpeed,0x108,RPM,O,8,7,8,1700,1700,0,是,-1.7～279.4,None～None,100.0,轴速，与扭矩同帧；非电机转子转速,跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {""-32768"": ""SNA""}, ""length"": 16, ""mux"": null, ""offset"": 0, ""scale"": 0.1, ""signed"": true, ""start"": 40, ""unit"": ""RPM""}"
运动反馈,DI_speed,DI_vehicleSpeed,0x257,kph,O,8,3,8,8499,8499,0,是,-0.16～34.72,None～None,20.0,首次运动、达速、调速与停车,所选Signal长度完整,"{""byte_order"": ""little_endian"", ""choices"": {""4095"": ""SNA""}, ""length"": 12, ""mux"": null, ""offset"": -40, ""scale"": 0.08, ""signed"": false, ""start"": 12, ""unit"": ""kph""}"
能源响应,DI_power,DI_elecPower,0x266,kW,O,8,2,8,16998,16998,0,是,-14～13.5,None～None,10.0,电驱电功率，与Pack功率相互印证,同名异位：O位0，旧版位16；本次仅采用O，不可跨版本直接套用；跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {""-1024"": ""SNA""}, ""length"": 11, ""mux"": null, ""offset"": 0, ""scale"": 0.5, ""signed"": true, ""start"": 0, ""unit"": ""kW""}"
能源响应,BMS_hvBusStatus,BMS_packVoltage,0x132,V,O,8,2,6,16997,16997,0,是,343.85～350,None～None,10.0,保存电压/电流对应关系，同帧派生Pack功率,ASC短于DBC；逐Signal检查完整性,"{""byte_order"": ""little_endian"", ""choices"": {}, ""length"": 16, ""mux"": null, ""offset"": 0, ""scale"": 0.01, ""signed"": false, ""start"": 0, ""unit"": ""V""}"
能源响应,BMS_hvBusStatus,BMS_packCurrent,0x132,A,O,8,4,6,16997,16997,0,是,-37.6～41,None～None,10.0,保存电压/电流对应关系，同帧派生Pack功率,ASC短于DBC；逐Signal检查完整性；跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {""-16384"": ""SNA""}, ""length"": 15, ""mux"": null, ""offset"": 0, ""scale"": -0.1, ""signed"": true, ""start"": 16, ""unit"": ""A""}"
制动输入,ID39DIBST_status,IBST_sInputRodDriver,0x39D,mm,M,5,5,5,4249,4249,0,是,-0.015625～7.34375,-5～47,40.0,输入杆位移，不等于制动力或液压,O没有该定义；采用M的21|12、×0.015625−5 mm,"{""byte_order"": ""little_endian"", ""choices"": {}, ""length"": 12, ""mux"": null, ""offset"": -5, ""scale"": 0.015625, ""signed"": false, ""start"": 21, ""unit"": ""mm""}"
制动状态,ID39DIBST_status,IBST_driverBrakeApply,0x39D,enum/raw,M,5,3,5,4249,4249,0,是,BRAKES_NOT_APPLIED / DRIVER_APPLYING_BRAKES,0～3,40.0,区分施加、释放过程及助力状态,所选Signal长度完整,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""NOT_INIT_OR_OFF"", ""1"": ""BRAKES_NOT_APPLIED"", ""2"": ""DRIVER_APPLYING_BRAKES"", ""3"": ""FAULT""}, ""length"": 2, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 16, ""unit"": null}"
制动状态,ID39DIBST_status,IBST_internalState,0x39D,enum/raw,M,5,3,5,4249,4249,0,是,LOCAL_BRAKE_REQUEST / NO_MODE_ACTIVE / TRANSITION_TO_IDLE,0～6,40.0,区分施加、释放过程及助力状态,所选Signal长度完整,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""NO_MODE_ACTIVE"", ""1"": ""PRE_DRIVE_CHECK"", ""2"": ""LOCAL_BRAKE_REQUEST"", ""3"": ""EXTERNAL_BRAKE_REQUEST"", ""4"": ""DIAGNOSTIC"", ""5"": ""TRANSITION_TO_IDLE"", ""6"": ""POST_DRIVE_CHECK""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 18, ""unit"": null}"
制动状态,ID39DIBST_status,IBST_iBoosterStatus,0x39D,enum/raw,M,5,2,5,4249,4249,0,是,IBOOSTER_ACTUATION / IBOOSTER_READY,0～6,40.0,区分施加、释放过程及助力状态,跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""IBOOSTER_OFF"", ""1"": ""IBOOSTER_INIT"", ""2"": ""IBOOSTER_FAILURE"", ""3"": ""IBOOSTER_DIAGNOSTIC"", ""4"": ""IBOOSTER_ACTIVE_GOOD_CHECK"", ""5"": ""IBOOSTER_READY"", ""6"": ""IBOOSTER_ACTUATION""}, ""length"": 3, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 12, ""unit"": null}"
制动状态,VCLEFT_switchStatus,VCLEFT_brakeSwitchPressed,0x3C2,enum/raw,O,8,1,8,3408,1709,0,是,0～1,0～1,100.0,制动开关边沿；不量化制动力,所选Signal长度完整,"{""byte_order"": ""little_endian"", ""choices"": {}, ""length"": 1, ""mux"": [0], ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 4, ""unit"": null}"
制动状态,VCLEFT_switchStatus,VCLEFT_brakePressed,0x3C2,enum/raw,O,8,8,8,3408,1709,0,是,0～1,0～1,100.0,制动开关边沿；不量化制动力,所选Signal长度完整,"{""byte_order"": ""little_endian"", ""choices"": {}, ""length"": 1, ""mux"": [0], ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 60, ""unit"": null}"
制动状态/不可用,DI_systemStatus,DI_brakePedalState,0x118,enum/raw,O,8,3,8,16998,16998,16998,否,—,None～None,10.1,全程INVALID，排除其作为制动施加判据,INVALID/SNA/未初始化/FAULT 16998样本，不作有效物理值,"{""byte_order"": ""little_endian"", ""choices"": {""0"": ""OFF"", ""1"": ""ON"", ""2"": ""INVALID""}, ""length"": 2, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 19, ""unit"": null}"
条件/能力,DI_systemPower,DI_sysDrivePowerMax,0x268,kW,O,5,4,5,1700,1700,0,是,246～247,None～None,100.0,能力候选，保留数值；未验证约束阈值,跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {""511"": ""SNA""}, ""length"": 9, ""mux"": null, ""offset"": 0, ""scale"": 1, ""signed"": false, ""start"": 16, ""unit"": ""kW""}"
条件/能力,DI_systemPower,DI_sysRegenPowerMax,0x268,kW,O,5,5,5,1700,1700,0,是,91～92,None～None,100.0,能力候选，保留数值；未验证约束阈值,SNA枚举不同：O为155，M无枚举，旧版为255；物理缩放一致，能力阈值仍未验证；跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {""155"": ""SNA""}, ""length"": 8, ""mux"": null, ""offset"": -100, ""scale"": 1, ""signed"": false, ""start"": 32, ""unit"": ""kW""}"
条件/能力,BMS_driveLimits,BMS_maxDischargeCurrent,0x2D2,A,O,8,8,8,1699,1699,0,否,682.624～682.624,None～None,100.0,电池能力候选；不是本次实测输出电流,所选Signal长度完整,"{""byte_order"": ""little_endian"", ""choices"": {}, ""length"": 14, ""mux"": null, ""offset"": 0, ""scale"": 0.128, ""signed"": false, ""start"": 48, ""unit"": ""A""}"
条件/能力,BMS_driveLimits,BMS_maxChargeCurrent,0x2D2,A,O,8,6,8,1699,1699,0,否,250～250,None～None,100.0,电池能力候选；不是本次实测输出电流,所选Signal长度完整,"{""byte_order"": ""little_endian"", ""choices"": {}, ""length"": 14, ""mux"": null, ""offset"": 0, ""scale"": 0.1, ""signed"": false, ""start"": 32, ""unit"": ""A""}"
条件/SOC,BMS_socStatus,BMS_socUI,0x292,%,O,8,3,8,1699,1699,0,是,32.2～32.5,None～None,100.0,本次SOC背景，不外推整个SOC范围,所选Signal长度完整,"{""byte_order"": ""little_endian"", ""choices"": {}, ""length"": 10, ""mux"": null, ""offset"": 0, ""scale"": 0.1, ""signed"": false, ""start"": 10, ""unit"": ""%""}"
条件/解码失败,BMS_powerAvailable,BMS_maxDischargePower,0x252,kW,O,8,4,8,1699,0,0,未知,—,None～None,,主DBC重叠导致解码失败，不填作零,解码失败：{'unpacking failed': 1699}；跨DBC参数/枚举差异，见版本对照,"{""byte_order"": ""little_endian"", ""choices"": {}, ""length"": 16, ""mux"": null, ""offset"": 0, ""scale"": 0.01, ""signed"": false, ""start"": 16, ""unit"": ""kW""}"
条件/解码失败,BMS_powerAvailable,BMS_maxRegenPower,0x252,kW,O,8,2,8,1699,0,0,未知,—,None～None,,主DBC重叠导致解码失败，不填作零,解码失败：{'unpacking failed': 1699},"{""byte_order"": ""little_endian"", ""choices"": {}, ""length"": 16, ""mux"": null, ""offset"": 0, ""scale"": 0.01, ""signed"": false, ""start"": 0, ""unit"": ""kW""}"
制动请求/缺失,ESP_status,ESP_brakeTorqueTarget,0x145,Nm,O,8,8,无帧,0,0,0,未知,—,None～None,,有定义但本采集域无帧，不能验证制动力请求,本ASC无帧,"{""byte_order"": ""little_endian"", ""choices"": {""8191"": ""SNA""}, ""length"": 13, ""mux"": null, ""offset"": 0, ""scale"": 2, ""signed"": false, ""start"": 51, ""unit"": ""Nm""}"
制动执行/缺失,ESP_brakeTorque,ESP_brakeTorqueFL,0x185,Nm,O,8,2,无帧,0,0,0,未知,—,0～8190,,有定义但无帧，不把输入杆换算成轮端制动力,本ASC无帧,"{""byte_order"": ""little_endian"", ""choices"": {""4095"": ""SNA""}, ""length"": 12, ""mux"": null, ""offset"": 0, ""scale"": 2, ""signed"": false, ""start"": 0, ""unit"": ""Nm""}"
制动执行/缺失,ESP_brakeTorque,ESP_brakeTorqueFR,0x185,Nm,O,8,3,无帧,0,0,0,未知,—,0～8190,,有定义但无帧，不把输入杆换算成轮端制动力,本ASC无帧,"{""byte_order"": ""little_endian"", ""choices"": {""4095"": ""SNA""}, ""length"": 12, ""mux"": null, ""offset"": 0, ""scale"": 2, ""signed"": false, ""start"": 12, ""unit"": ""Nm""}"
制动执行/缺失,ESP_brakeTorque,ESP_brakeTorqueRL,0x185,Nm,O,8,5,无帧,0,0,0,未知,—,0～8190,,有定义但无帧，不把输入杆换算成轮端制动力,本ASC无帧,"{""byte_order"": ""little_endian"", ""choices"": {""4095"": ""SNA""}, ""length"": 12, ""mux"": null, ""offset"": 0, ""scale"": 2, ""signed"": false, ""start"": 24, ""unit"": ""Nm""}"
