time_s,raw_39D,rod_mm,apply
97.5166,aa 6d 6a 33 00,1.421875,DRIVER_APPLYING_BRAKES
97.5568,69 6e 2a 31 00,1.140625,DRIVER_APPLYING_BRAKES
97.5968,07 6f ca 2e 00,0.84375,DRIVER_APPLYING_BRAKES
97.6367,f6 60 ca 2c 00,0.59375,DRIVER_APPLYING_BRAKES
97.6767,d6 61 aa 2b 00,0.453125,DRIVER_APPLYING_BRAKES
97.7167,16 62 ea 2a 00,0.359375,DRIVER_APPLYING_BRAKES
97.7569,77 63 4a 2a 00,0.28125,DRIVER_APPLYING_BRAKES
97.7967,78 64 4a 2a 00,0.28125,DRIVER_APPLYING_BRAKES
97.8367,79 65 4a 2a 00,0.28125,DRIVER_APPLYING_BRAKES
97.8767,18 66 e9 29 00,0.234375,BRAKES_NOT_APPLIED
97.9167,19 67 e9 29 00,0.234375,BRAKES_NOT_APPLIED
97.9574,1a 68 e9 29 00,0.234375,BRAKES_NOT_APPLIED
97.9967,dc 69 a9 2a 00,0.328125,BRAKES_NOT_APPLIED
98.0368,7f 6a 4a 2b 00,0.40625,DRIVER_APPLYING_BRAKES
98.0767,80 6b 4a 2b 00,0.40625,DRIVER_APPLYING_BRAKES
98.1201,81 6c 4a 2b 00,0.40625,DRIVER_APPLYING_BRAKES
98.1573,22 6d ea 2b 00,0.484375,DRIVER_APPLYING_BRAKES
98.1967,64 6e 2a 2c 00,0.515625,DRIVER_APPLYING_BRAKES
98.2368,66 6f 2a 2d 00,0.640625,DRIVER_APPLYING_BRAKES
98.2767,b8 60 8a 2e 00,0.8125,DRIVER_APPLYING_BRAKES
98.3201,19 61 ea 2e 00,0.859375,DRIVER_APPLYING_BRAKES
98.3569,dc 62 aa 30 00,1.078125,DRIVER_APPLYING_BRAKES
98.3968,a2 63 6a 35 00,1.671875,DRIVER_APPLYING_BRAKES
98.4369,49 64 0a 3b 00,2.375,DRIVER_APPLYING_BRAKES
98.4769,0e 65 ca 3f 00,2.96875,DRIVER_APPLYING_BRAKES
98.5203,93 66 4a 43 00,3.40625,DRIVER_APPLYING_BRAKES
98.5569,d6 67 8a 45 00,3.6875,DRIVER_APPLYING_BRAKES
98.5968,18 68 ca 46 00,3.84375,DRIVER_APPLYING_BRAKES
98.6368,ba 69 6a 47 00,3.921875,DRIVER_APPLYING_BRAKES
98.6767,db 6a 8a 47 00,3.9375,DRIVER_APPLYING_BRAKES
98.7201,dc 6b 8a 47 00,3.9375,DRIVER_APPLYING_BRAKES
98.757,bd 6c 6a 47 00,3.921875,DRIVER_APPLYING_BRAKES
98.7968,be 6d 6a 47 00,3.921875,DRIVER_APPLYING_BRAKES
98.8385,9f 6e 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
98.8767,a0 6f 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
98.9171,91 60 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
98.9569,92 61 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
98.9968,93 62 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
99.0368,94 63 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
99.0767,95 64 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
99.1168,96 65 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
99.157,97 66 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
99.1968,98 67 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
99.2368,99 68 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
99.2768,9a 69 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
99.3169,9b 6a 4a 47 00,3.90625,DRIVER_APPLYING_BRAKES
99.3573,5c 6b 0a 47 00,3.875,DRIVER_APPLYING_BRAKES
99.3969,dc 6c 8a 46 00,3.8125,DRIVER_APPLYING_BRAKES
99.4368,fc 6d aa 45 00,3.703125,DRIVER_APPLYING_BRAKES
99.4768,5c 6e 0a 44 00,3.5,DRIVER_APPLYING_BRAKES
99.5202,9b 6f 4a 42 00,3.28125,DRIVER_APPLYING_BRAKES
99.5571,8b 60 4a 41 00,3.15625,DRIVER_APPLYING_BRAKES
99.5969,4c 61 0a 41 00,3.125,DRIVER_APPLYING_BRAKES
99.6368,0c 62 ca 40 00,3.09375,DRIVER_APPLYING_BRAKES
99.6767,0d 63 ca 40 00,3.09375,DRIVER_APPLYING_BRAKES
99.7169,2d 64 ea 3f 00,2.984375,DRIVER_APPLYING_BRAKES
99.7576,8d 65 4a 3e 00,2.78125,DRIVER_APPLYING_BRAKES
99.7968,8b 66 4a 3b 00,2.40625,DRIVER_APPLYING_BRAKES
99.8369,07 67 ca 36 00,1.84375,DRIVER_APPLYING_BRAKES
99.8768,e4 68 aa 32 00,1.328125,DRIVER_APPLYING_BRAKES
99.9168,21 69 ea 2e 00,0.859375,DRIVER_APPLYING_BRAKES
99.9574,be 6a 89 2b 00,0.4375,BRAKES_NOT_APPLIED
99.9969,9c 6b 69 28 00,0.046875,BRAKES_NOT_APPLIED
100.0374,5d 6c 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.0768,3e 6d 09 28 00,0.0,BRAKES_NOT_APPLIED
100.12,3f 6e 09 28 00,0.0,BRAKES_NOT_APPLIED
100.1569,60 6f 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.1969,51 60 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.2368,52 61 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.2768,53 62 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.3201,54 63 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.3574,55 64 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.397,56 65 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.4368,57 66 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.477,58 67 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.5198,59 68 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.5571,5a 69 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.5969,5b 6a 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.6369,5c 6b 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.6771,5d 6c 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.7198,5e 6d 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.7569,5f 6e 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.7969,60 6f 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.8383,51 60 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.8769,52 61 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.9205,53 62 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.9571,54 63 29 28 00,0.015625,BRAKES_NOT_APPLIED
100.9969,55 64 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.0369,56 65 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.0769,57 66 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.1198,58 67 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.1571,59 68 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.197,5a 69 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.2369,5b 6a 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.2769,5c 6b 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.3198,5d 6c 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.3574,5e 6d 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.397,5f 6e 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.4369,60 6f 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.4794,51 60 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.5199,52 61 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.5575,53 62 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.597,54 63 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.6369,55 64 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.6769,56 65 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.7199,57 66 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.7575,58 67 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.7971,59 68 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.8374,5a 69 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.8769,5b 6a 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.9208,5c 6b 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.9571,5d 6c 29 28 00,0.015625,BRAKES_NOT_APPLIED
101.9974,5e 6d 29 28 00,0.015625,BRAKES_NOT_APPLIED
