time_s,raw_108,request_Nm,actual_Nm,error_Nm,rod_mm,rod_mm_sample_s,apply,apply_sample_s,pedal_pct,pedal_pct_sample_s,speed_kmh,speed_kmh_sample_s,gear,gear_sample_s,brake_switch,brake_switch_sample_s
97.5593,90 3f 00 22 00 01 00 25,6.0,8.0,2.0,1.140625,97.5568,DRIVER_APPLYING_BRAKES,97.5568,0.0,97.5581,0.0,97.5591,D,97.5581,0.0,97.539
97.6596,66 a0 01 72 00 25 00 25,52.0,28.0,-24.0,0.59375,97.6367,DRIVER_APPLYING_BRAKES,97.6367,0.0,97.6581,0.240000000000002,97.6593,D,97.6581,0.0,97.6395
97.7592,a4 b1 03 b2 02 0e 00 25,118.0,172.0,54.0,0.28125,97.7569,DRIVER_APPLYING_BRAKES,97.7569,0.0,97.7583,0.3200000000000003,97.759,D,97.7583,0.0,97.7385
97.8593,a1 12 06 4a 03 0e 00 25,194.0,210.0,16.0,0.28125,97.8367,DRIVER_APPLYING_BRAKES,97.8367,0.0,97.8581,0.1600000000000037,97.8591,D,97.8581,0.0,97.8387
97.9593,41 93 08 52 04 22 00 25,274.0,276.0,2.0,0.234375,97.9574,BRAKES_NOT_APPLIED,97.9574,0.0,97.9581,0.3200000000000003,97.9591,D,97.9581,0.0,97.9388
98.0593,de b4 0a c2 05 2b 00 25,342.0,368.0,26.0,0.40625,98.0368,DRIVER_APPLYING_BRAKES,98.0368,0.0,98.0583,0.480000000000004,98.039,D,98.0583,0.0,98.0388
98.1595,2e a5 0b 1a 06 30 00 25,372.0,390.0,18.0,0.484375,98.1573,DRIVER_APPLYING_BRAKES,98.1573,0.0,98.1586,0.5600000000000023,98.1593,D,98.1586,0.0,98.1388
98.2595,86 f6 0b 12 06 3f 00 25,382.0,388.0,6.0,0.640625,98.2368,DRIVER_APPLYING_BRAKES,98.2368,0.0,98.2585,0.7199999999999989,98.239,D,98.2585,0.0,98.2385
98.3592,5b e7 0b ea 05 4c 00 25,380.0,378.0,-2.0,1.078125,98.3569,DRIVER_APPLYING_BRAKES,98.3569,0.0,98.3583,0.8800000000000026,98.359,D,98.3583,0.0,98.3388
98.4593,72 b8 0b 22 06 59 00 25,374.0,392.0,18.0,2.375,98.4369,DRIVER_APPLYING_BRAKES,98.4369,0.0,98.4583,1.1199999999999974,98.459,D,98.4583,1.0,98.4395
98.5592,66 89 0b 42 06 5c 00 25,368.0,400.0,32.0,3.6875,98.5569,DRIVER_APPLYING_BRAKES,98.5569,0.0,98.5583,1.1199999999999974,98.559,D,98.5583,1.0,98.5388
98.6593,a4 6a 0b aa 06 51 00 25,364.0,426.0,62.0,3.921875,98.6368,DRIVER_APPLYING_BRAKES,98.6368,0.0,98.6581,1.1199999999999974,98.6591,D,98.6581,1.0,98.6389
98.7592,be cb 0a 72 06 43 00 25,344.0,412.0,68.0,3.921875,98.757,DRIVER_APPLYING_BRAKES,98.757,0.0,98.7582,0.9600000000000009,98.7388,D,98.7582,1.0,98.739
98.8592,26 cc 09 ea 05 34 00 25,312.0,378.0,66.0,3.90625,98.8385,DRIVER_APPLYING_BRAKES,98.8385,0.0,98.8583,0.7199999999999989,98.859,D,98.8583,1.0,98.839
98.9595,3a 9d 08 3a 05 28 00 25,274.0,334.0,60.0,3.90625,98.9569,DRIVER_APPLYING_BRAKES,98.9569,0.0,98.9585,0.5600000000000023,98.9592,D,98.9585,1.0,98.939
99.0595,09 4e 07 62 04 20 00 25,232.0,280.0,48.0,3.90625,99.0368,DRIVER_APPLYING_BRAKES,99.0368,0.0,99.058,0.480000000000004,99.0592,D,99.058,1.0,99.039
99.1592,41 0f 06 ea 03 11 00 25,192.0,250.0,58.0,3.90625,99.157,DRIVER_APPLYING_BRAKES,99.157,0.0,99.158,0.240000000000002,99.159,D,99.158,1.0,99.139
99.259,47 b0 04 62 03 00 00 25,150.0,216.0,66.0,3.90625,99.2368,DRIVER_APPLYING_BRAKES,99.2368,0.0,99.2581,0.1600000000000037,99.239,D,99.2581,1.0,99.2388
99.3592,e8 51 03 6a 02 fb ff 25,106.0,154.0,48.0,3.875,99.3573,DRIVER_APPLYING_BRAKES,99.3573,0.0,99.3582,0.0,99.3589,D,99.3582,1.0,99.339
99.4592,b4 f2 01 a2 01 f1 ff 25,62.0,104.0,42.0,3.703125,99.4368,DRIVER_APPLYING_BRAKES,99.4368,0.0,99.458,-0.1599999999999966,99.439,D,99.458,1.0,99.4395
99.5592,23 f3 01 02 01 ff ff 25,62.0,64.0,2.0,3.15625,99.5571,DRIVER_APPLYING_BRAKES,99.5571,0.0,99.5582,-0.0799999999999983,99.559,D,99.5582,1.0,99.5388
99.6594,14 74 03 6a 01 04 00 25,110.0,90.0,-20.0,3.09375,99.6368,DRIVER_APPLYING_BRAKES,99.6368,0.0,99.6585,0.0,99.6592,D,99.6585,1.0,99.639
99.7592,3c 95 05 62 02 10 00 25,178.0,152.0,-26.0,2.78125,99.7576,DRIVER_APPLYING_BRAKES,99.7576,0.0,99.758,0.1600000000000037,99.7588,D,99.758,1.0,99.7388
99.8592,61 06 08 12 04 0f 00 25,256.0,260.0,4.0,1.84375,99.8369,DRIVER_APPLYING_BRAKES,99.8369,0.0,99.8579,0.240000000000002,99.8589,D,99.8579,0.0,99.8506
99.959,e8 67 0a 2a 05 1a 00 25,332.0,330.0,-2.0,0.4375,99.9574,BRAKES_NOT_APPLIED,99.9574,0.0,99.9581,0.3200000000000003,99.9388,D,99.9581,0.0,99.939
100.0591,ed a8 0b e2 05 25 00 25,372.0,376.0,4.0,0.015625,100.0374,BRAKES_NOT_APPLIED,100.0374,0.0,100.0579,0.3999999999999986,100.0589,D,100.0579,0.0,100.0392
100.1591,c2 29 0c 2a 06 2f 00 25,388.0,394.0,6.0,0.015625,100.1569,BRAKES_NOT_APPLIED,100.1569,0.0,100.1582,0.5600000000000023,100.1589,D,100.1582,0.0,100.1395
100.2592,db 2a 0c 32 06 3f 00 25,388.0,396.0,8.0,0.015625,100.2368,BRAKES_NOT_APPLIED,100.2368,0.0,100.2587,0.6400000000000006,100.2388,D,100.2587,0.0,100.239
100.3591,ad 0b 0c 1a 06 48 00 25,384.0,390.0,6.0,0.015625,100.3574,BRAKES_NOT_APPLIED,100.3574,0.0,100.3582,0.8800000000000026,100.3589,D,100.3582,0.0,100.3395
100.4591,4f cc 0b ea 05 5b 00 25,376.0,378.0,2.0,0.015625,100.4368,BRAKES_NOT_APPLIED,100.4368,0.0,100.4581,1.0399999999999991,100.4589,D,100.4581,0.0,100.4395
100.5591,e0 7d 0b ba 05 6b 00 25,366.0,366.0,0.0,0.015625,100.5571,BRAKES_NOT_APPLIED,100.5571,0.0,100.5584,1.2000000000000028,100.5388,D,100.5584,0.0,100.539
100.6591,af 3e 0b ba 05 79 00 25,358.0,366.0,8.0,0.015625,100.6369,BRAKES_NOT_APPLIED,100.6369,0.0,100.6581,1.4399999999999977,100.6589,D,100.6581,0.0,100.639
100.7591,7a ef 0a ca 05 84 00 25,348.0,370.0,22.0,0.015625,100.7569,BRAKES_NOT_APPLIED,100.7569,0.0,100.7584,1.6000000000000014,100.7388,D,100.7584,0.0,100.7391
100.8591,10 a0 0a a2 05 91 00 25,340.0,360.0,20.0,0.015625,100.8383,BRAKES_NOT_APPLIED,100.8383,0.0,100.8581,1.759999999999998,100.8588,D,100.8581,0.0,100.8388
100.9593,7f 51 0a 52 05 9f 00 25,330.0,340.0,10.0,0.015625,100.9571,BRAKES_NOT_APPLIED,100.9571,0.0,100.9581,1.9200000000000017,100.9588,D,100.9581,0.0,100.9393
101.0593,44 02 0a 5a 05 ab 00 25,320.0,342.0,22.0,0.015625,101.0369,BRAKES_NOT_APPLIED,101.0369,0.0,101.0583,2.0799999999999983,101.0591,D,101.0583,0.0,101.0393
101.1591,e6 c3 09 2a 05 bd 00 25,312.0,330.0,18.0,0.015625,101.1571,BRAKES_NOT_APPLIED,101.1571,0.0,101.1581,2.1600000000000037,101.1589,D,101.1581,0.0,101.139
101.2592,6f 84 09 ea 04 c6 00 25,304.0,314.0,10.0,0.015625,101.2369,BRAKES_NOT_APPLIED,101.2369,0.0,101.2583,2.3200000000000003,101.259,D,101.2583,0.0,101.2391
101.3593,fd 35 09 ba 04 d3 00 25,294.0,302.0,8.0,0.015625,101.3574,BRAKES_NOT_APPLIED,101.3574,0.0,101.3584,2.3999999999999986,101.3591,D,101.3584,0.0,101.3393
101.459,d8 06 09 ba 04 dd 00 25,288.0,302.0,14.0,0.015625,101.4369,BRAKES_NOT_APPLIED,101.4369,0.0,101.4581,2.5600000000000023,101.4588,D,101.4581,0.0,101.4391
101.5591,76 c7 08 8a 04 eb 00 25,280.0,290.0,10.0,0.015625,101.5575,BRAKES_NOT_APPLIED,101.5575,0.0,101.5579,2.719999999999999,101.5587,D,101.5579,0.0,101.5391
101.659,3e 88 08 8a 04 f2 00 25,272.0,290.0,18.0,0.015625,101.6369,BRAKES_NOT_APPLIED,101.6369,0.0,101.6583,2.8800000000000026,101.6588,D,101.6583,0.0,101.6391
101.7592,e3 59 08 52 04 fe 00 25,266.0,276.0,10.0,0.015625,101.7575,BRAKES_NOT_APPLIED,101.7575,0.0,101.758,2.960000000000001,101.7589,D,101.758,0.0,101.7388
101.8593,89 1a 08 2a 04 0a 01 25,258.0,266.0,8.0,0.015625,101.8374,BRAKES_NOT_APPLIED,101.8374,0.0,101.8583,3.1199999999999974,101.859,D,101.8583,0.0,101.8388
101.9591,59 eb 07 22 04 12 01 25,252.0,264.0,12.0,0.015625,101.9571,BRAKES_NOT_APPLIED,101.9571,0.0,101.9581,3.280000000000001,101.9588,D,101.9581,0.0,101.9393
