run,time_s,raw_108,request_Nm,actual_Nm,error_Nm,rod_mm,rod_mm_sample_s,apply,apply_sample_s,pedal_pct,pedal_pct_sample_s,speed_kmh,speed_kmh_sample_s,gear,gear_sample_s,brake_switch,brake_switch_sample_s,included_old,included_new
1,27.4642,33 62 03 b2 01 ec 01 25,108.0,108.0,0.0,0.015625,27.4355,BRAKES_NOT_APPLIED,27.4355,1.2000000000000002,27.4625,6.0,27.4639,D,27.4625,0.0,27.4337,True,True
1,27.5641,9b 53 04 22 02 f1 01 25,138.0,136.0,-2.0,0.015625,27.555,BRAKES_NOT_APPLIED,27.555,2.4000000000000004,27.5626,6.079999999999998,27.5637,D,27.5626,0.0,27.5356,True,True
1,27.6641,3e 64 05 aa 02 fa 01 25,172.0,170.0,-2.0,0.015625,27.6355,BRAKES_NOT_APPLIED,27.6355,2.8000000000000003,27.6626,6.079999999999998,27.6636,D,27.6626,0.0,27.6337,True,True
1,27.7642,9c 35 06 32 03 fd 01 25,198.0,204.0,6.0,0.015625,27.7551,BRAKES_NOT_APPLIED,27.7551,3.2,27.7627,6.240000000000002,27.7638,D,27.7627,0.0,27.7337,True,True
1,27.8641,19 36 07 a2 03 07 02 25,230.0,232.0,2.0,0.015625,27.8356,BRAKES_NOT_APPLIED,27.8356,4.800000000000001,27.8627,6.32,27.8636,D,27.8627,0.0,27.8344,True,True
1,27.9642,f1 f7 08 aa 04 14 02 25,286.0,298.0,12.0,0.015625,27.9551,BRAKES_NOT_APPLIED,27.9551,5.6000000000000005,27.963,6.399999999999999,27.9635,D,27.963,0.0,27.9337,True,True
1,28.0642,29 98 0a 32 05 20 02 25,338.0,332.0,-6.0,0.015625,28.0355,BRAKES_NOT_APPLIED,28.0355,6.0,28.0625,6.560000000000002,28.0637,D,28.0625,0.0,28.0337,True,True
1,28.1642,17 e9 0b ba 05 34 02 25,380.0,366.0,-14.0,0.015625,28.155,BRAKES_NOT_APPLIED,28.155,7.2,28.1626,6.719999999999999,28.164,D,28.1626,0.0,28.1337,True,True
1,28.2642,fe 8a 0d f2 06 3f 02 25,432.0,444.0,12.0,0.015625,28.2355,BRAKES_NOT_APPLIED,28.2355,8.0,28.2626,6.960000000000001,28.2638,D,28.2626,0.0,28.2337,True,True
1,28.3643,06 db 0e 92 07 54 02 25,474.0,484.0,10.0,0.015625,28.3551,BRAKES_NOT_APPLIED,28.3551,8.0,28.3626,7.200000000000003,28.3635,D,28.3626,0.0,28.3345,True,True
1,28.4641,e2 6c 0f d2 07 5e 02 25,492.0,500.0,8.0,0.0,28.4355,BRAKES_NOT_APPLIED,28.4355,8.0,28.4624,7.439999999999998,28.4639,D,28.4624,0.0,28.4338,True,True
1,28.5642,c5 5d 0f a2 07 80 02 25,490.0,488.0,-2.0,0.0,28.5551,BRAKES_NOT_APPLIED,28.5551,8.0,28.563,7.68,28.5639,D,28.563,0.0,28.5342,True,True
1,28.664,9e 2e 0f 92 07 98 02 25,484.0,484.0,0.0,0.015625,28.6355,BRAKES_NOT_APPLIED,28.6355,8.0,28.6624,7.920000000000002,28.6636,D,28.6624,0.0,28.6338,True,True
1,28.7644,23 cf 0e 62 07 ad 02 25,472.0,472.0,0.0,0.0,28.7549,BRAKES_NOT_APPLIED,28.7549,8.0,28.7629,8.240000000000002,28.7639,D,28.7629,0.0,28.7338,True,True
1,28.864,ad 70 0e 3a 07 be 02 25,462.0,462.0,0.0,0.0,28.8348,BRAKES_NOT_APPLIED,28.8348,8.8,28.8626,8.480000000000004,28.8635,D,28.8626,0.0,28.8344,True,True
1,28.9642,39 11 10 02 08 de 02 25,514.0,512.0,-2.0,0.0,28.955,BRAKES_NOT_APPLIED,28.955,12.0,28.9626,8.719999999999999,28.9635,D,28.9626,0.0,28.9338,True,True
1,29.0634,be 42 13 3a 09 f6 02 25,616.0,590.0,-26.0,0.015625,29.0356,BRAKES_NOT_APPLIED,29.0356,12.0,29.0622,9.04,29.0631,D,29.0622,0.0,29.0338,True,True
1,29.1632,8a 23 15 1a 0b fd 02 25,676.0,710.0,34.0,0.0,29.1547,BRAKES_NOT_APPLIED,29.1547,12.0,29.1623,9.280000000000001,29.1431,D,29.1623,0.0,29.1339,True,True
1,29.2632,a1 64 15 d2 0a 1b 03 25,684.0,692.0,8.0,0.0,29.2347,BRAKES_NOT_APPLIED,29.2347,12.0,29.262,9.68,29.2629,D,29.262,0.0,29.2339,True,True
1,29.3632,63 15 15 c2 0a 3c 03 25,674.0,688.0,14.0,0.0,29.3547,BRAKES_NOT_APPLIED,29.3547,12.0,29.3623,10.0,29.3436,D,29.3623,0.0,29.3339,True,True
1,29.4634,8a 96 14 52 0a 53 03 25,658.0,660.0,2.0,0.0,29.4346,BRAKES_NOT_APPLIED,29.4346,12.0,29.4623,10.399999999999999,29.4434,D,29.4623,0.0,29.434,True,True
1,29.5632,b1 e7 13 0a 0a 72 03 25,636.0,642.0,6.0,0.0,29.5548,BRAKES_NOT_APPLIED,29.5548,12.0,29.5623,10.800000000000004,29.5437,D,29.5623,0.0,29.5348,True,True
1,29.6631,66 08 13 82 09 8f 03 25,608.0,608.0,0.0,0.0,29.6347,BRAKES_NOT_APPLIED,29.6347,12.0,29.6622,11.120000000000005,29.6432,D,29.6622,0.0,29.6339,True,True
1,29.7634,b1 59 12 62 09 aa 03 25,586.0,600.0,14.0,0.0,29.7547,BRAKES_NOT_APPLIED,29.7547,12.0,29.7622,11.439999999999998,29.7432,D,29.7622,0.0,29.7339,True,True
1,29.8634,83 9a 11 d2 08 cd 03 25,562.0,564.0,2.0,0.0,29.8348,BRAKES_NOT_APPLIED,29.8348,12.0,29.8622,11.759999999999998,29.8432,D,29.8622,0.0,29.8342,True,True
1,29.9631,c5 0b 11 9a 08 d6 03 25,544.0,550.0,6.0,0.0,29.955,BRAKES_NOT_APPLIED,29.955,12.0,29.9622,12.079999999999998,29.9432,D,29.9622,0.0,29.9339,True,True
1,30.0632,ca 3c 10 52 08 f3 03 25,518.0,532.0,14.0,0.0,30.0348,BRAKES_NOT_APPLIED,30.0348,12.0,30.062,12.480000000000004,30.0629,D,30.062,0.0,30.0339,True,True
1,30.1632,7b 7d 0f a2 07 14 04 25,494.0,488.0,-6.0,0.0,30.1552,BRAKES_NOT_APPLIED,30.1552,12.0,30.1621,12.64,30.1437,D,30.1621,0.0,30.1339,True,True
1,30.2634,e7 fe 0e 82 07 20 04 25,478.0,480.0,2.0,0.0,30.2348,BRAKES_NOT_APPLIED,30.2348,12.0,30.262,12.96,30.2632,D,30.262,0.0,30.2339,True,True
1,30.3634,f7 4f 0e 22 07 3f 04 25,456.0,456.0,0.0,0.0,30.3548,BRAKES_NOT_APPLIED,30.3548,11.600000000000001,30.3621,13.280000000000001,30.3632,D,30.3621,0.0,30.3339,True,True
1,30.4633,c6 a0 0d 92 06 4f 04 25,436.0,420.0,-16.0,0.0,30.4346,BRAKES_NOT_APPLIED,30.4346,11.600000000000001,30.4621,13.439999999999998,30.4437,D,30.4621,0.0,30.434,True,True
1,30.5632,2f 01 0d 82 06 67 04 25,416.0,416.0,0.0,0.0,30.5548,BRAKES_NOT_APPLIED,30.5548,11.600000000000001,30.5621,13.68,30.5435,D,30.5621,0.0,30.5343,True,True
1,30.6632,92 92 0c 4a 06 72 04 25,402.0,402.0,0.0,0.0,30.6347,BRAKES_NOT_APPLIED,30.6347,11.600000000000001,30.6621,13.920000000000002,30.6432,D,30.6621,0.0,30.6341,True,True
1,30.7634,af 03 0c e2 05 87 04 25,384.0,376.0,-8.0,0.0,30.7551,BRAKES_NOT_APPLIED,30.7551,11.600000000000001,30.7622,14.160000000000004,30.743,D,30.7622,0.0,30.7339,True,True
1,30.8634,96 d4 0b fa 05 86 04 25,378.0,382.0,4.0,0.0,30.8348,BRAKES_NOT_APPLIED,30.8348,11.600000000000001,30.8621,14.32,30.8435,D,30.8621,0.0,30.8342,True,True
1,30.9632,9b 35 0b 82 05 a2 04 25,358.0,352.0,-6.0,0.0,30.9548,BRAKES_NOT_APPLIED,30.9548,11.600000000000001,30.9623,14.560000000000002,30.943,D,30.9623,0.0,30.934,True,True
1,31.0631,14 d6 0a 42 05 bb 04 25,346.0,336.0,-10.0,0.0,31.0346,BRAKES_NOT_APPLIED,31.0346,11.600000000000001,31.0622,14.719999999999999,31.043,D,31.0622,0.0,31.034,True,True
1,31.1632,dc 97 0a 4a 05 ba 04 25,338.0,338.0,0.0,0.0,31.1555,BRAKES_NOT_APPLIED,31.1555,11.600000000000001,31.1621,14.96,31.163,D,31.1621,0.0,31.134,True,True
1,31.2633,a1 68 0a 32 05 c6 04 25,332.0,332.0,0.0,0.0,31.2348,BRAKES_NOT_APPLIED,31.2348,11.600000000000001,31.2619,15.120000000000005,31.2631,D,31.2619,0.0,31.234,True,True
1,31.3632,c3 c9 09 e2 04 d9 04 25,312.0,312.0,0.0,0.0,31.3548,BRAKES_NOT_APPLIED,31.3548,11.600000000000001,31.3621,15.36,31.363,D,31.3621,0.0,31.334,True,True
1,31.4633,83 9a 09 c2 04 e8 04 25,306.0,304.0,-2.0,0.0,31.4348,BRAKES_NOT_APPLIED,31.4348,11.600000000000001,31.4619,15.520000000000003,31.4631,D,31.4619,0.0,31.4341,True,True
1,31.5633,de 1b 09 8a 04 fa 04 25,290.0,290.0,0.0,0.0,31.5548,BRAKES_NOT_APPLIED,31.5548,11.600000000000001,31.5621,15.600000000000001,31.5432,D,31.5621,0.0,31.5347,True,True
1,31.6631,44 ac 08 52 04 07 05 25,276.0,276.0,0.0,0.0,31.6348,BRAKES_NOT_APPLIED,31.6348,11.600000000000001,31.662,15.840000000000003,31.6432,D,31.662,0.0,31.6342,True,True
1,31.7632,f7 7d 08 3a 04 01 05 25,270.0,270.0,0.0,0.0,31.7548,BRAKES_NOT_APPLIED,31.7548,11.600000000000001,31.762,16.0,31.7429,D,31.762,0.0,31.7341,True,True
1,31.8631,6b 0e 08 02 04 1c 05 25,256.0,256.0,0.0,0.0,31.8349,BRAKES_NOT_APPLIED,31.8349,11.600000000000001,31.862,16.160000000000004,31.8629,D,31.862,0.0,31.8343,True,True
1,31.9631,77 0f 08 12 04 17 05 25,256.0,260.0,4.0,0.0,31.9548,BRAKES_NOT_APPLIED,31.9548,11.600000000000001,31.962,16.240000000000002,31.9629,D,31.962,0.0,31.934,True,True
1,32.0632,d1 a0 07 d2 03 22 05 25,244.0,244.0,0.0,0.0,32.0348,BRAKES_NOT_APPLIED,32.0348,11.200000000000001,32.0621,16.4,32.063,D,32.0621,0.0,32.034,True,True
1,32.1631,83 61 07 ba 03 2b 05 25,236.0,238.0,2.0,0.0,32.1548,BRAKES_NOT_APPLIED,32.1548,11.200000000000001,32.162,16.560000000000002,32.1629,D,32.162,0.0,32.134,True,True
1,32.2631,4b 32 07 aa 03 32 05 25,230.0,234.0,4.0,0.0,32.2349,BRAKES_NOT_APPLIED,32.2349,11.200000000000001,32.262,16.64,32.2629,D,32.262,0.0,32.234,True,True
1,32.3634,f1 f3 06 7a 03 48 05 25,222.0,222.0,0.0,0.0,32.3549,BRAKES_NOT_APPLIED,32.3549,11.200000000000001,32.362,16.72,32.3632,D,32.362,0.0,32.3341,True,True
1,32.4629,90 b4 06 52 03 4e 05 25,214.0,212.0,-2.0,0.0,32.4348,BRAKES_NOT_APPLIED,32.4348,11.600000000000001,32.462,16.800000000000004,32.4429,D,32.462,0.0,32.4342,True,True
1,32.5631,0c 05 07 82 03 48 05 25,224.0,224.0,0.0,0.0,32.5548,BRAKES_NOT_APPLIED,32.5548,12.0,32.5619,16.880000000000003,32.5434,D,32.5619,0.0,32.5343,True,True
1,32.6629,06 f6 06 7a 03 5a 05 25,222.0,222.0,0.0,0.0,32.6348,BRAKES_NOT_APPLIED,32.6348,12.0,32.662,16.96,32.6429,D,32.662,0.0,32.634,True,True
1,32.7634,19 f7 06 7a 03 6c 05 25,222.0,222.0,0.0,0.0,32.7549,BRAKES_NOT_APPLIED,32.7549,12.0,32.762,17.04,32.7431,D,32.762,0.0,32.7341,True,True
1,32.863,5b 28 07 92 03 64 05 25,228.0,228.0,0.0,0.0,32.8349,BRAKES_NOT_APPLIED,32.8349,12.0,32.8621,17.200000000000003,32.8432,D,32.8621,0.0,32.8345,True,True
1,32.9629,62 29 07 92 03 6a 05 25,228.0,228.0,0.0,0.0,32.9549,BRAKES_NOT_APPLIED,32.9549,12.0,32.962,17.28,32.9429,D,32.962,0.0,32.9341,True,True
1,33.063,34 aa 07 d2 03 7b 05 25,244.0,244.0,0.0,0.0,33.0347,BRAKES_NOT_APPLIED,33.0347,13.600000000000001,33.062,17.36,33.0431,D,33.062,0.0,33.0341,True,True
1,33.1628,0d fb 08 42 04 91 05 25,286.0,272.0,-14.0,0.0,33.1549,BRAKES_NOT_APPLIED,33.1549,14.0,33.1619,17.439999999999998,33.1429,D,33.1619,0.0,33.1341,True,True
1,33.2633,1e 3c 0a 1a 05 86 05 25,326.0,326.0,0.0,0.0,33.2347,BRAKES_NOT_APPLIED,33.2347,14.0,33.2619,17.6,33.2429,D,33.2619,0.0,33.2341,True,True
1,33.363,bb 8d 0a 42 05 aa 05 25,336.0,336.0,0.0,0.0,33.3553,BRAKES_NOT_APPLIED,33.3553,14.4,33.3621,17.759999999999998,33.3428,D,33.3621,0.0,33.3341,True,True
1,33.4632,6d ee 0a a2 05 9b 05 25,348.0,360.0,12.0,0.0,33.4348,BRAKES_NOT_APPLIED,33.4348,14.0,33.4618,17.92,33.463,D,33.4618,0.0,33.4342,True,True
1,33.5631,c3 8f 0a 42 05 b0 05 25,336.0,336.0,0.0,0.0,33.5549,BRAKES_NOT_APPLIED,33.5549,14.0,33.562,18.08,33.5429,D,33.562,0.0,33.5345,True,True
1,33.663,78 50 0a 2a 05 bc 05 25,330.0,330.0,0.0,0.0,33.6349,BRAKES_NOT_APPLIED,33.6349,14.0,33.6619,18.240000000000002,33.6429,D,33.6619,0.0,33.6341,True,True
1,33.763,cf d1 09 ea 04 d4 05 25,314.0,314.0,0.0,0.0,33.7549,BRAKES_NOT_APPLIED,33.7549,14.0,33.7619,18.4,33.7428,D,33.7619,0.0,33.7342,True,True
1,33.863,72 92 09 ca 04 d6 05 25,306.0,306.0,0.0,0.0,33.835,BRAKES_NOT_APPLIED,33.835,14.0,33.8619,18.560000000000002,33.8428,D,33.8619,0.0,33.8343,True,True
1,33.963,8e f3 08 6a 04 f2 05 25,286.0,282.0,-4.0,0.0,33.9549,BRAKES_NOT_APPLIED,33.9549,14.0,33.9619,18.72,33.9428,D,33.9619,0.0,33.9342,True,True
1,34.0628,48 b4 08 5a 04 fb 05 25,278.0,278.0,0.0,0.0,34.035,BRAKES_NOT_APPLIED,34.035,14.0,34.0619,18.880000000000003,34.0428,D,34.0619,0.0,34.0342,True,True
1,34.163,0a 85 08 42 04 03 06 25,272.0,272.0,0.0,0.0,34.1549,BRAKES_NOT_APPLIED,34.1549,14.0,34.1619,18.96,34.143,D,34.1619,0.0,34.1342,True,True
1,34.2629,85 26 08 12 04 0d 06 25,260.0,260.0,0.0,-0.015625,34.2348,BRAKES_NOT_APPLIED,34.2348,14.0,34.2618,19.120000000000005,34.2428,D,34.2618,0.0,34.2342,True,True
1,34.363,6a 17 08 0a 04 09 06 25,258.0,258.0,0.0,-0.015625,34.3547,BRAKES_NOT_APPLIED,34.3547,14.0,34.3619,19.28,34.3428,D,34.3619,0.0,34.3342,True,True
1,34.463,69 08 08 02 04 1f 06 25,256.0,256.0,0.0,-0.015625,34.4349,BRAKES_NOT_APPLIED,34.4349,14.0,34.4619,19.36,34.4428,D,34.4619,0.0,34.4342,True,True
1,34.563,54 f9 07 fa 03 23 06 25,254.0,254.0,0.0,-0.015625,34.5549,BRAKES_NOT_APPLIED,34.5549,14.0,34.5618,19.520000000000003,34.5428,D,34.5618,0.0,34.5348,True,True
1,34.6633,ad 8a 07 b2 03 33 06 25,240.0,236.0,-4.0,-0.015625,34.6348,BRAKES_NOT_APPLIED,34.6348,14.0,34.6619,19.6,34.6428,D,34.6619,0.0,34.6342,True,True
1,34.7631,7e 5b 07 a2 03 43 06 25,234.0,232.0,-2.0,-0.015625,34.7549,BRAKES_NOT_APPLIED,34.7549,14.0,34.762,19.759999999999998,34.7427,D,34.762,0.0,34.7342,True,True
1,34.8628,88 5c 07 aa 03 44 06 25,234.0,234.0,0.0,-0.015625,34.8349,BRAKES_NOT_APPLIED,34.8349,14.4,34.8619,19.840000000000003,34.8428,D,34.8619,0.0,34.8343,True,True
1,34.9631,6e 4d 07 a2 03 41 06 25,232.0,232.0,0.0,-0.015625,34.9548,BRAKES_NOT_APPLIED,34.9548,14.0,34.9619,20.0,34.9427,D,34.9619,0.0,34.9345,True,True
1,35.0628,61 3e 07 9a 03 4b 06 25,230.0,230.0,0.0,-0.015625,35.0347,BRAKES_NOT_APPLIED,35.0347,14.0,35.0616,20.08,35.0428,D,35.0616,0.0,35.0341,True,True
1,35.1628,e1 df 06 62 03 63 06 25,218.0,216.0,-2.0,-0.015625,35.1549,BRAKES_NOT_APPLIED,35.1549,14.0,35.1619,20.160000000000004,35.1427,D,35.1619,0.0,35.1342,True,True
1,35.2629,e5 e0 06 7a 03 4e 06 25,220.0,222.0,2.0,-0.015625,35.2348,BRAKES_NOT_APPLIED,35.2348,14.0,35.2617,20.240000000000002,35.2434,D,35.2617,0.0,35.2342,True,True
1,35.3629,1f 51 06 22 03 6f 06 25,202.0,200.0,-2.0,-0.015625,35.3551,BRAKES_NOT_APPLIED,35.3551,14.0,35.3617,20.32,35.3426,D,35.3617,0.0,35.3342,True,True
1,35.4629,73 82 06 42 03 72 06 25,208.0,208.0,0.0,-0.015625,35.4349,BRAKES_NOT_APPLIED,35.4349,14.0,35.4617,20.4,35.4426,D,35.4617,0.0,35.4343,True,True
1,35.5633,31 53 06 32 03 6f 06 25,202.0,204.0,2.0,-0.015625,35.5549,BRAKES_NOT_APPLIED,35.5549,14.0,35.5619,20.480000000000004,35.5427,D,35.5619,0.0,35.5342,True,True
1,35.6629,e9 24 06 1a 03 6e 06 25,196.0,198.0,2.0,-0.015625,35.6348,BRAKES_NOT_APPLIED,35.6348,14.0,35.6617,20.64,35.6427,D,35.6617,0.0,35.6343,True,True
1,35.7629,b7 05 06 02 03 73 06 25,192.0,192.0,0.0,-0.015625,35.7549,BRAKES_NOT_APPLIED,35.7549,14.0,35.7617,20.72,35.7426,D,35.7617,0.0,35.7343,True,True
1,35.8629,c8 06 06 0a 03 7b 06 25,192.0,194.0,2.0,-0.015625,35.8348,BRAKES_NOT_APPLIED,35.8348,14.0,35.8618,20.72,35.8427,D,35.8618,0.0,35.8344,True,True
1,35.9629,5a b7 05 da 02 8e 06 25,182.0,182.0,0.0,-0.015625,35.9549,BRAKES_NOT_APPLIED,35.9549,14.0,35.9618,20.800000000000004,35.9425,D,35.9618,0.0,35.9343,True,True
1,36.0628,06 78 05 ba 02 99 06 25,174.0,174.0,0.0,-0.015625,36.0361,BRAKES_NOT_APPLIED,36.0361,14.0,36.0617,20.880000000000003,36.0426,D,36.0617,0.0,36.0343,True,True
