signal,time_s,value
DI_brakePedalState,0.0034,INVALID
DI_driveBlocked,0.0034,2.0
DI_gear,0.0034,P
DI_systemState,0.0034,STANDBY
DI_tractionControlMode,0.0034,NORMAL
VCLEFT_brakePressed,0.0317,0.0
VCLEFT_brakeSwitchPressed,0.0317,0.0
VCLEFT_brakePressed,20.0944,1.0
VCLEFT_brakeSwitchPressed,20.0944,1.0
DI_gear,20.3129,D
DI_systemState,20.3129,ENABLE
VCLEFT_brakePressed,21.8747,0.0
VCLEFT_brakeSwitchPressed,21.8747,0.0
VCLEFT_brakePressed,75.1087,1.0
VCLEFT_brakeSwitchPressed,75.1087,1.0
DI_gear,78.7495,P
DI_systemState,78.7495,STANDBY
VCLEFT_brakePressed,84.2797,0.0
VCLEFT_brakeSwitchPressed,84.2797,0.0
VCLEFT_brakePressed,94.0497,1.0
VCLEFT_brakeSwitchPressed,94.0497,1.0
DI_gear,94.5083,D
DI_systemState,94.5083,ENABLE
VCLEFT_brakePressed,97.4806,0.0
VCLEFT_brakeSwitchPressed,97.4806,0.0
VCLEFT_brakePressed,98.4395,1.0
VCLEFT_brakeSwitchPressed,98.4395,1.0
VCLEFT_brakePressed,99.8506,0.0
VCLEFT_brakeSwitchPressed,99.8506,0.0
VCLEFT_brakePressed,149.0341,1.0
VCLEFT_brakeSwitchPressed,149.0341,1.0
DI_gear,150.7533,P
DI_systemState,150.7533,STANDBY
VCLEFT_brakePressed,152.7638,0.0
VCLEFT_brakeSwitchPressed,152.7638,0.0
