signal,time_s,value
BMS_packVoltage,0.0015,347.22
BMS_packVoltage,0.0115,347.27
BMS_packVoltage,0.0215,347.16
BMS_packVoltage,0.0315,347.27
BMS_packVoltage,0.0415,347.3
BMS_packVoltage,0.0515,347.34000000000003
BMS_packVoltage,0.0615,347.3
BMS_packVoltage,0.0715,347.23
BMS_packVoltage,0.0818,347.25
BMS_packVoltage,0.0916,347.3
BMS_packVoltage,0.1015,347.34000000000003
BMS_packVoltage,0.1115,347.25
BMS_packVoltage,0.1215,347.32
BMS_packVoltage,0.1315,347.34000000000003
BMS_packVoltage,0.1415,347.24
BMS_packVoltage,0.1515,347.17
BMS_packVoltage,0.1615,347.36
BMS_packVoltage,0.1715,347.39
BMS_packVoltage,0.1818,347.18
BMS_packVoltage,0.1915,347.29
BMS_packVoltage,0.2017,347.23
BMS_packVoltage,0.2115,347.35
BMS_packVoltage,0.2215,347.32
BMS_packVoltage,0.2315,347.21
BMS_packVoltage,0.2416,347.29
BMS_packVoltage,0.2515,347.15000000000003
BMS_packVoltage,0.2615,347.28000000000003
BMS_packVoltage,0.2715,347.29
BMS_packVoltage,0.2818,347.23
BMS_packVoltage,0.2915,347.16
BMS_packVoltage,0.3015,347.19
BMS_packVoltage,0.3115,347.23
BMS_packVoltage,0.3215,347.26
BMS_packVoltage,0.3315,347.27
BMS_packVoltage,0.3416,347.11
BMS_packVoltage,0.3515,347.23
BMS_packVoltage,0.3616,347.40000000000003
BMS_packVoltage,0.3715,347.33
BMS_packVoltage,0.382,347.25
BMS_packVoltage,0.3915,347.26
BMS_packVoltage,0.4015,347.27
BMS_packVoltage,0.4115,347.25
BMS_packVoltage,0.4215,347.18
BMS_packVoltage,0.4315,347.2
BMS_packVoltage,0.4416,347.22
BMS_packVoltage,0.4515,347.16
BMS_packVoltage,0.4615,347.24
BMS_packVoltage,0.4715,347.26
BMS_packVoltage,0.4816,347.32
BMS_packVoltage,0.4917,347.23
BMS_packVoltage,0.5017,347.24
BMS_packVoltage,0.5116,347.12
BMS_packVoltage,0.5215,347.22
BMS_packVoltage,0.5315,347.31
BMS_packVoltage,0.5417,347.17
BMS_packVoltage,0.5515,347.24
BMS_packVoltage,0.5617,347.34000000000003
BMS_packVoltage,0.5715,347.37
BMS_packVoltage,0.5819,347.25
BMS_packVoltage,0.5915,347.31
BMS_packVoltage,0.6015,347.15000000000003
BMS_packVoltage,0.6116,347.23
BMS_packVoltage,0.6215,347.15000000000003
BMS_packVoltage,0.6315,347.1
BMS_packVoltage,0.6415,347.0
BMS_packVoltage,0.6515,347.2
BMS_packVoltage,0.6615,347.31
BMS_packVoltage,0.6715,347.21
BMS_packVoltage,0.6818,347.34000000000003
BMS_packVoltage,0.6917,347.05
BMS_packVoltage,0.7015,347.16
BMS_packVoltage,0.7116,347.13
BMS_packVoltage,0.7215,347.21
BMS_packVoltage,0.7315,347.25
BMS_packVoltage,0.7415,347.23
BMS_packVoltage,0.7515,347.19
BMS_packVoltage,0.7615,347.18
BMS_packVoltage,0.7715,347.05
BMS_packVoltage,0.7819,347.22
BMS_packVoltage,0.7915,347.12
BMS_packVoltage,0.8015,347.23
BMS_packVoltage,0.8116,347.08
BMS_packVoltage,0.8215,347.23
BMS_packVoltage,0.8315,347.27
BMS_packVoltage,0.8416,347.24
BMS_packVoltage,0.8516,347.24
BMS_packVoltage,0.8615,347.14
BMS_packVoltage,0.8715,347.28000000000003
BMS_packVoltage,0.8815,347.12
BMS_packVoltage,0.8918,347.22
BMS_packVoltage,0.9015,347.19
BMS_packVoltage,0.9115,347.13
BMS_packVoltage,0.9215,347.04
BMS_packVoltage,0.9315,347.18
BMS_packVoltage,0.9415,347.1
BMS_packVoltage,0.9515,347.25
BMS_packVoltage,0.9615,347.21
BMS_packVoltage,0.9715,347.16
BMS_packVoltage,0.9819,347.16
BMS_packVoltage,0.9915,347.22
BMS_packVoltage,1.0015,347.16
BMS_packVoltage,1.0115,347.13
BMS_packVoltage,1.0215,347.15000000000003
BMS_packVoltage,1.0315,347.29
BMS_packVoltage,1.0416,347.16
BMS_packVoltage,1.0516,347.32
BMS_packVoltage,1.0615,347.19
BMS_packVoltage,1.0715,347.27
BMS_packVoltage,1.0819,347.16
BMS_packVoltage,1.0915,347.18
BMS_packVoltage,1.1015,347.12
BMS_packVoltage,1.1115,347.15000000000003
BMS_packVoltage,1.1215,347.23
