event_id,event_time_s,role,signal,can_id,value,sample_time_s,age_s,max_age_s,unit,status
E00,0.15,驾驶输入,DI_accelPedalPos,0x118,0.0,0.1492,0.0007999999999999952,0.03,%,usable
E00,0.15,条件/状态,DI_gear,0x118,P,0.1492,0.0007999999999999952,0.03,enum,usable
E00,0.15,条件/状态,DI_systemState,0x118,STANDBY,0.1492,0.0007999999999999952,0.03,enum,usable
E00,0.15,条件/状态,DI_tractionControlMode,0x118,NORMAL,0.1492,0.0007999999999999952,0.03,enum,usable
E00,0.15,仲裁后请求,DI_torqueCommand,0x108,0.0,0.0593,0.0907,0.15,Nm,usable
E00,0.15,执行反馈,DI_torqueActual,0x108,0.0,0.0593,0.0907,0.15,Nm,usable
E00,0.15,运动反馈,DI_axleSpeed,0x108,0.0,0.0593,0.0907,0.15,RPM,usable
E00,0.15,运动反馈,DI_vehicleSpeed,0x257,0.0,0.1388,0.011199999999999988,0.05,km/h,usable
E00,0.15,能源响应,DI_elecPower,0x266,0.0,0.1497,0.0002999999999999947,0.03,kW,usable
E00,0.15,能源响应,BMS_packVoltage,0x132,347.39,0.1499,9.999999999998899e-05,0.03,V,usable
E00,0.15,能源响应,BMS_packCurrent,0x132,1.3,0.1499,9.999999999998899e-05,0.03,A,usable
E00,0.15,条件/SOC,BMS_socUI,0x292,32.7,0.0491,0.10089999999999999,0.15,%,usable
E00,0.15,条件/能力,DI_sysDrivePowerMax,0x268,246.0,0.0617,0.08829999999999999,0.15,kW,usable
E00,0.15,条件/能力,DI_sysRegenPowerMax,0x268,92.0,0.0617,0.08829999999999999,0.15,kW,usable
E00,0.15,能源响应,PackPower_derived,0x132,0.451607,0.1499,9.999999999998899e-05,0.03,kW,usable
E01,20.0,驾驶输入,DI_accelPedalPos,0x118,0.0,19.9969,0.0030999999999998806,0.03,%,usable
E01,20.0,条件/状态,DI_gear,0x118,P,19.9969,0.0030999999999998806,0.03,enum,usable
E01,20.0,条件/状态,DI_systemState,0x118,STANDBY,19.9969,0.0030999999999998806,0.03,enum,usable
E01,20.0,条件/状态,DI_tractionControlMode,0x118,NORMAL,19.9969,0.0030999999999998806,0.03,enum,usable
E01,20.0,仲裁后请求,DI_torqueCommand,0x108,0.0,19.9577,0.04230000000000089,0.15,Nm,usable
E01,20.0,执行反馈,DI_torqueActual,0x108,0.0,19.9577,0.04230000000000089,0.15,Nm,usable
E01,20.0,运动反馈,DI_axleSpeed,0x108,0.0,19.9577,0.04230000000000089,0.15,RPM,usable
E01,20.0,运动反馈,DI_vehicleSpeed,0x257,0.0,19.9974,0.002600000000001046,0.05,km/h,usable
E01,20.0,能源响应,DI_elecPower,0x266,0.0,19.9971,0.0029000000000003467,0.03,kW,usable
E01,20.0,能源响应,BMS_packVoltage,0x132,347.37,20.0,0.0,0.03,V,usable
E01,20.0,能源响应,BMS_packCurrent,0x132,1.1,20.0,0.0,0.03,A,usable
E01,20.0,条件/SOC,BMS_socUI,0x292,32.7,19.9494,0.05059999999999931,0.15,%,usable
E01,20.0,条件/能力,DI_sysDrivePowerMax,0x268,246.0,19.9593,0.04070000000000107,0.15,kW,usable
E01,20.0,条件/能力,DI_sysRegenPowerMax,0x268,92.0,19.9593,0.04070000000000107,0.15,kW,usable
E01,20.0,能源响应,PackPower_derived,0x132,0.38210700000000003,20.0,0.0,0.03,kW,usable
E02,30.0,驾驶输入,DI_accelPedalPos,0x118,8.0,29.9966,0.0033999999999991815,0.03,%,usable
E02,30.0,条件/状态,DI_gear,0x118,D,29.9966,0.0033999999999991815,0.03,enum,usable
E02,30.0,条件/状态,DI_systemState,0x118,ENABLE,29.9966,0.0033999999999991815,0.03,enum,usable
E02,30.0,条件/状态,DI_tractionControlMode,0x118,NORMAL,29.9966,0.0033999999999991815,0.03,enum,usable
E02,30.0,仲裁后请求,DI_torqueCommand,0x108,682.0,29.9577,0.04230000000000089,0.15,Nm,usable
E02,30.0,执行反馈,DI_torqueActual,0x108,708.0,29.9577,0.04230000000000089,0.15,Nm,usable
E02,30.0,运动反馈,DI_axleSpeed,0x108,27.3,29.9577,0.04230000000000089,0.15,RPM,usable
E02,30.0,运动反馈,DI_vehicleSpeed,0x257,3.1199999999999974,29.9976,0.002400000000001512,0.05,km/h,usable
E02,30.0,能源响应,DI_elecPower,0x266,3.0,29.9971,0.0029000000000003467,0.03,kW,usable
E02,30.0,能源响应,BMS_packVoltage,0x132,346.92,29.9902,0.009799999999998477,0.03,V,usable
E02,30.0,能源响应,BMS_packCurrent,0x132,9.5,29.9902,0.009799999999998477,0.03,A,usable
E02,30.0,条件/SOC,BMS_socUI,0x292,32.7,29.9604,0.03960000000000008,0.15,%,usable
E02,30.0,条件/能力,DI_sysDrivePowerMax,0x268,247.0,29.9599,0.040099999999998914,0.15,kW,usable
E02,30.0,条件/能力,DI_sysRegenPowerMax,0x268,92.0,29.9599,0.040099999999998914,0.15,kW,usable
E02,30.0,能源响应,PackPower_derived,0x132,3.2957400000000003,29.9902,0.009799999999998477,0.03,kW,usable
E03,45.0,驾驶输入,DI_accelPedalPos,0x118,8.0,44.996,0.003999999999997783,0.03,%,usable
E03,45.0,条件/状态,DI_gear,0x118,D,44.996,0.003999999999997783,0.03,enum,usable
E03,45.0,条件/状态,DI_systemState,0x118,ENABLE,44.996,0.003999999999997783,0.03,enum,usable
E03,45.0,条件/状态,DI_tractionControlMode,0x118,NORMAL,44.996,0.003999999999997783,0.03,enum,usable
E03,45.0,仲裁后请求,DI_torqueCommand,0x108,-86.0,44.9572,0.04279999999999973,0.15,Nm,usable
E03,45.0,执行反馈,DI_torqueActual,0x108,-90.0,44.9572,0.04279999999999973,0.15,Nm,usable
E03,45.0,运动反馈,DI_axleSpeed,0x108,165.8,44.9572,0.04279999999999973,0.15,RPM,usable
E03,45.0,运动反馈,DI_vehicleSpeed,0x257,20.64,44.997,0.0030000000000001137,0.05,km/h,usable
E03,45.0,能源响应,DI_elecPower,0x266,-1.5,44.9965,0.003500000000002501,0.03,kW,usable
E03,45.0,能源响应,BMS_packVoltage,0x132,347.59000000000003,44.9906,0.009399999999999409,0.03,V,usable
E03,45.0,能源响应,BMS_packCurrent,0x132,-3.0,44.9906,0.009399999999999409,0.03,A,usable
E03,45.0,条件/SOC,BMS_socUI,0x292,32.7,44.9607,0.039299999999997226,0.15,%,usable
E03,45.0,条件/能力,DI_sysDrivePowerMax,0x268,246.0,44.9582,0.04180000000000206,0.15,kW,usable
E03,45.0,条件/能力,DI_sysRegenPowerMax,0x268,91.0,44.9582,0.04180000000000206,0.15,kW,usable
E03,45.0,能源响应,PackPower_derived,0x132,-1.04277,44.9906,0.009399999999999409,0.03,kW,usable
E04,56.2764,驾驶输入,DI_accelPedalPos,0x118,12.4,56.2753,0.001100000000000989,0.03,%,usable
E04,56.2764,条件/状态,DI_gear,0x118,D,56.2753,0.001100000000000989,0.03,enum,usable
E04,56.2764,条件/状态,DI_systemState,0x118,ENABLE,56.2753,0.001100000000000989,0.03,enum,usable
E04,56.2764,条件/状态,DI_tractionControlMode,0x118,NORMAL,56.2753,0.001100000000000989,0.03,enum,usable
E04,56.2764,仲裁后请求,DI_torqueCommand,0x108,178.0,56.2564,0.020000000000003126,0.15,Nm,usable
E04,56.2764,执行反馈,DI_torqueActual,0x108,178.0,56.2564,0.020000000000003126,0.15,Nm,usable
E04,56.2764,运动反馈,DI_axleSpeed,0x108,153.4,56.2564,0.020000000000003126,0.15,RPM,usable
E04,56.2764,运动反馈,DI_vehicleSpeed,0x257,19.04,56.2764,0.0,0.05,km/h,usable
E04,56.2764,能源响应,DI_elecPower,0x266,3.0,56.2759,0.0005000000000023874,0.03,kW,usable
E04,56.2764,能源响应,BMS_packVoltage,0x132,346.36,56.2708,0.00560000000000116,0.03,V,usable
E04,56.2764,能源响应,BMS_packCurrent,0x132,10.4,56.2708,0.00560000000000116,0.03,A,usable
E04,56.2764,条件/SOC,BMS_socUI,0x292,32.7,56.2599,0.016500000000000625,0.15,%,usable
E04,56.2764,条件/能力,DI_sysDrivePowerMax,0x268,246.0,56.2575,0.018900000000002137,0.15,kW,usable
