channel,id,signal,time_s,value,asc_line,raw_hex,kind
1,0x3c2,VCLEFT_hornSwitchPressed,0.046,0,130,00 55 55 55 00 00 59 45,initial
1,0x3c2,VCLEFT_hornSwitchPressed,19.7981,1,56051,04 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,20.1184,0,56938,00 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,20.7183,1,58648,04 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,20.9982,0,59438,00 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,29.6193,1,83867,04 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,29.9199,0,84692,00 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,39.5801,1,112076,04 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,40.0198,0,113285,00 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,59.4211,1,168189,04 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,59.9211,0,169613,00 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,69.4015,1,196441,04 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,69.7617,0,197487,00 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,79.6021,1,225345,04 55 55 55 00 00 59 45,observed_change
1,0x3c2,VCLEFT_hornSwitchPressed,80.0223,0,226504,00 55 55 55 00 00 59 45,observed_change
1,0x2e1,VCFRONT_hornOn,0.0782,0,232,10 21 04 00 12 00 20 08,initial
1,0x2e1,VCFRONT_hornOn,19.8559,1,56206,10 21 04 00 12 00 28 08,observed_change
1,0x2e1,VCFRONT_hornOn,20.2396,0,57275,10 21 04 00 12 00 20 08,observed_change
1,0x2e1,VCFRONT_hornOn,20.8154,1,58924,10 21 04 00 12 00 28 08,observed_change
1,0x2e1,VCFRONT_hornOn,21.1044,0,59737,10 21 04 00 12 00 20 08,observed_change
1,0x2e1,VCFRONT_hornOn,29.6484,1,83953,10 21 04 00 12 00 28 08,observed_change
1,0x2e1,VCFRONT_hornOn,30.0322,0,85021,10 21 04 00 12 00 20 08,observed_change
1,0x2e1,VCFRONT_hornOn,39.6326,1,112210,10 21 04 00 12 00 28 08,observed_change
1,0x2e1,VCFRONT_hornOn,40.2087,0,113821,10 21 04 00 12 00 20 08,observed_change
1,0x2e1,VCFRONT_hornOn,59.5077,1,168459,10 21 04 00 12 00 28 08,observed_change
1,0x2e1,VCFRONT_hornOn,60.0819,0,170093,10 21 04 00 12 00 20 08,observed_change
1,0x2e1,VCFRONT_hornOn,69.4907,1,196724,10 21 04 00 12 00 28 08,observed_change
1,0x2e1,VCFRONT_hornOn,69.8745,0,197808,10 21 04 00 12 00 20 08,observed_change
1,0x2e1,VCFRONT_hornOn,79.6683,1,225536,10 21 04 00 12 00 28 08,observed_change
1,0x2e1,VCFRONT_hornOn,80.1476,0,226861,10 21 04 00 12 00 20 08,observed_change
1,0x2e1,VCFRONT_hornOn,89.9398,1,254601,10 21 04 00 12 00 28 08,observed_change
1,0x2e1,VCFRONT_hornOn,90.3253,0,255689,10 21 04 00 12 00 20 08,observed_change
1,0x2e1,VCFRONT_hornOn,110.101,1,311706,10 21 04 00 12 00 28 08,observed_change
1,0x2e1,VCFRONT_hornOn,110.3896,0,312521,10 21 04 00 12 00 20 08,observed_change
1,0x2e1,VCFRONT_hornOn,139.7671,1,395733,10 21 04 00 12 00 28 08,observed_change
1,0x2e1,VCFRONT_hornOn,140.1525,0,396798,10 21 04 00 12 00 20 08,observed_change
1,0x2e1,VCFRONT_hornOn,289.4402,1,744376,10 21 04 00 12 00 28 08,observed_change
1,0x2e1,VCFRONT_hornOn,289.5365,0,744612,10 21 04 00 12 00 20 08,observed_change
1,0x2e1,VCFRONT_hornOn,289.6323,1,744841,10 21 04 00 12 00 28 08,observed_change
1,0x2e1,VCFRONT_hornOn,289.7282,0,745061,10 21 04 00 12 00 20 08,observed_change
1,0x273,UI_honkHorn,0.242,0,669,81 e1 10 00 c8 00 10 01,initial
1,0x273,UI_honkHorn,89.8782,1,254451,81 e1 10 00 c8 00 10 21,observed_change
1,0x273,UI_honkHorn,90.2068,0,255360,81 e1 10 00 c8 00 10 01,observed_change
1,0x273,UI_honkHorn,110.0312,1,311492,81 e1 10 00 c8 00 10 21,observed_change
1,0x273,UI_honkHorn,110.6996,0,313413,81 e1 10 00 c8 00 10 01,observed_change
1,0x273,UI_honkHorn,139.7546,1,395686,81 e1 10 00 c8 00 10 21,observed_change
1,0x273,UI_honkHorn,140.1874,0,396908,81 e1 10 00 c8 00 10 01,observed_change
1,0x3b3,UI_soundHornOnLock,0.1419,0,388,8c 80 04 30 01 00 a8 80,initial
1,0x3b3,UI_soundHornOnLock,270.669,1,703720,9c 80 00 30 01 00 a8 80,observed_change
1,0x3b3,UI_soundHornOnLock,292.6675,0,752024,8c 80 00 30 01 00 a8 80,observed_change
1,0x2e8,EPBR_hornRequest,0.0458,0,129,02 11 00 00 06 80 10 93,initial
