channel,id,signal,time_s,value,asc_line,raw_hex
1,0x3c2,VCLEFT_hornSwitchPressed,0.046,0,130,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,0.146,0,407,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,0.246,0,687,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,0.346,0,966,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,0.4461,0,1245,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,0.5461,0,1556,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,0.646,0,1840,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,0.7469,0,2118,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,0.8461,0,2393,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,0.9462,0,2670,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,1.0461,0,2952,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,1.1461,0,3231,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,1.2461,0,3514,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,1.3462,0,3793,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,1.4462,0,4072,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,1.5461,0,4387,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,1.6461,0,4672,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,1.7461,0,4949,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,1.8461,0,5230,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,1.9463,0,5506,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,2.0468,0,5794,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,2.1461,0,6070,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,2.2461,0,6350,00 55 55 55 00 00 59 45
