dbc_source,can_id,message,dbc_dlc,signal,start_bit,bit_length,byte_order,signed,scale,offset,unit,multiplexer_signal,multiplexer_ids,asc_frame_count,asc_dlc
dbc/Model3CAN.dbc,0x27D,ID27DCP_dcChargeLimits,8,CP_evseMaxDcCurrentLimit,0,13,little_endian,False,0.0732422,0,A,,,2997,8
dbc/Model3CAN.dbc,0x27D,ID27DCP_dcChargeLimits,8,CP_evseInstantDcCurrentLimit,52,12,little_endian,False,0.146484,0,A,,,2997,8
dbc/Model3CAN.dbc,0x2BD,ID2BDCP_dcPowerLimits,4,CP_evseInstantDcPowerLimit,0,13,little_endian,False,0.0622559,0,kW,,,2997,4
dbc/Model3CAN.dbc,0x25D,ID25DCP_status,8,CP_chargeCablePresent,3,1,little_endian,False,1,0,,,,2997,8
dbc/Model3CAN.dbc,0x25D,ID25DCP_status,8,CP_chargeCableSecured,4,1,little_endian,False,1,0,,,,2997,8
dbc/Model3CAN.dbc,0x25D,ID25DCP_status,8,CP_latchState,5,2,little_endian,False,1,0,,,,2997,8
dbc/Model3CAN.dbc,0x25D,ID25DCP_status,8,CP_chargeDoorOpen,10,1,little_endian,False,1,0,,,,2997,8
dbc/Model3CAN.dbc,0x25D,ID25DCP_status,8,CP_numAlertsSet,53,7,little_endian,False,1,0,,,,2997,8
dbc/Model3CAN.dbc,0x29D,ID29DCP_dcChargeStatus,4,CP_evseOutputDcCurrent,0,15,little_endian,True,0.0732467,0,A,,,2997,5
dbc/Model3CAN.dbc,0x29D,ID29DCP_dcChargeStatus,4,CP_evseOutputDcVoltage,16,13,little_endian,False,0.0732422,0,V,,,2997,5
dbc/Model3CAN.dbc,0x2B4,ID2B4PCS_dcdcRailStatus,5,PCS_dcdcLvBusVolt,0,10,little_endian,False,0.0390625,0,V,,,2998,6
dbc/Model3CAN.dbc,0x212,ID212BMS_status,8,BMS_hvacPowerRequest,0,1,little_endian,False,1,0,,,,2997,8
dbc/Model3CAN.dbc,0x212,ID212BMS_status,8,BMS_activeHeatingWorthwhile,5,1,little_endian,False,1,0,,,,2997,8
dbc/Model3CAN.dbc,0x212,ID212BMS_status,8,BMS_contactorState,8,3,little_endian,False,1,0,,,,2997,8
dbc/Model3CAN.dbc,0x212,ID212BMS_status,8,BMS_uiChargeStatus,11,3,little_endian,False,1,0,,,,2997,8
dbc/Model3CAN.dbc,0x212,ID212BMS_status,8,BMS_hvState,16,3,little_endian,False,1,0,,,,2997,8
dbc/Model3CAN.dbc,0x212,ID212BMS_status,8,BMS_chargeRequest,29,1,little_endian,False,1,0,,,,2997,8
dbc/Model3CAN.dbc,0x212,ID212BMS_status,8,BMS_chgPowerAvailable,40,11,little_endian,False,0.125,0,kW,,,2997,8
dbc/Model3CAN.dbc,0x23D,ID23DCP_chargeStatus,4,CP_hvChargeStatus,0,3,little_endian,False,1,0,,,,0,
dbc/Model3CAN.dbc,0x23D,ID23DCP_chargeStatus,4,CP_chargeShutdownRequest,3,2,little_endian,False,1,0,,,,0,
dbc/Model3CAN.dbc,0x13D,ID13DCP_chargeStatus,6,CP_hvChargeStatus,0,3,little_endian,False,1,0,,,,0,
