signal_key,signal,chinese_semantic,role,priority,can_id,message,dbc_source,dbc_dlc,signal_required_dlc,asc_dlc,frame_count,decoded_count,distinct_count,first_time_s,last_time_s,min_value,max_value,readability,semantic_validation
CP_chargeDoorOpen,CP_chargeDoorOpen,充电口盖开启状态（DBC定义候选，待本车验证）,外部动作反馈,P1,0x25D,CP_status,input/tesla_model3_ONYX.dbc,8,2,8,2997,2997,2,0.015500,299.636000,0.0,1.0,READABLE,PENDING_EVENT_VALIDATION
CP_chargeCablePresent,CP_chargeCablePresent,充电线缆存在状态（待验证，不替代实际插拔记录）,连接状态,P0,0x25D,CP_status,input/tesla_model3_ONYX.dbc,8,1,8,2997,2997,2,0.015500,299.636000,0.0,1.0,READABLE,PENDING_EVENT_VALIDATION
CP_chargeCableSecured,CP_chargeCableSecured,充电线缆已固定状态（具体锁止含义待验证）,安全状态门,P0,0x25D,CP_status,input/tesla_model3_ONYX.dbc,8,1,8,2997,2997,2,0.015500,299.636000,0.0,1.0,READABLE,PENDING_EVENT_VALIDATION
CP_latchState,CP_latchState,充电枪锁止机构状态（待验证，不单独作为安全拔枪依据）,安全状态门,P0,0x25D,CP_status,input/tesla_model3_ONYX.dbc,8,1,8,2997,2997,2,0.015500,299.636000,1.0,3.0,READABLE,PENDING_EVENT_VALIDATION
CP_evseChargeType,CP_evseChargeType,车辆侧可见的EVSE充电类型候选（直流/交流枚举待验证）,连接类型状态,P0,0x21D,CP_evseStatus,input/tesla_model3_ONYX.dbc,8,5,8,2997,2997,2,0.015000,299.635600,0.0,1.0,READABLE,PENDING_EVENT_VALIDATION
CP_digitalCommsEstablished,CP_digitalCommsEstablished,车辆侧数字通信已建立候选状态（不代表完整协议握手）,协商状态,P0,0x21D,CP_evseStatus,input/tesla_model3_ONYX.dbc,8,5,8,2997,2997,1,0.015000,299.635600,0.0,0.0,READABLE,PENDING_EVENT_VALIDATION
CP_evseRequest,CP_evseRequest,EVSE请求候选状态（请求主体及控制层级待验证）,请求候选,P1,0x21D,CP_evseStatus,input/tesla_model3_ONYX.dbc,8,1,8,2997,2997,1,0.015000,299.635600,0.0,0.0,READABLE,PENDING_EVENT_VALIDATION
CP_evseAccept,CP_evseAccept,EVSE接受候选状态（不等同扫码或支付平台接受）,许可反馈候选,P1,0x21D,CP_evseStatus,input/tesla_model3_ONYX.dbc,8,1,8,2997,2997,1,0.015000,299.635600,0.0,0.0,READABLE,PENDING_EVENT_VALIDATION
CP_gbState,CP_gbState,国标直流充电状态机候选（位段/位宽冲突未解决）,专项状态机候选,P1,0x21D,CP_evseStatus,input/tesla_model3_ONYX.dbc,8,7,8,2997,2997,1,0.015000,299.635600,0.0,0.0,READABLE,PENDING_EVENT_VALIDATION
CP_hvChargeStatus,CP_hvChargeStatus,车辆侧高压充电状态候选（连接/测试/使能等枚举待验证）,充电许可/状态,P0,0x13D,CP_chargeStatus,input/tesla_model3_ONYX.dbc,6,1,,0,0,0,,,,,NO_FRAME,SEMANTIC_VALIDATION_FAILED
CP_chargeShutdownRequest,CP_chargeShutdownRequest,充电关断请求候选（正常/紧急及请求主体待验证）,专项停止请求候选,P1,0x13D,CP_chargeStatus,input/tesla_model3_ONYX.dbc,6,1,,0,0,0,,,,,NO_FRAME,SEMANTIC_VALIDATION_FAILED
CP_stopChargeRequest,CP_stopChargeRequest,停止充电请求候选（与关断请求的层级关系待验证）,专项停止请求候选,P1,0x21D,CP_evseStatus,input/tesla_model3_ONYX.dbc,8,6,8,2997,2997,2,0.015000,299.635600,0.0,1.0,READABLE,PENDING_EVENT_VALIDATION
