time_s,can_id,raw_hex,asc_dlc,voltage_raw_u16,voltage_v,smooth_raw_s15,smooth_onyx_a,smooth_raw_s16,smooth_json_a,unfiltered_raw_s16,unfiltered_model3can_a
173.735800,0x132,62 8e d6 07 d1 4f,6,36450,364.5,2006,-200.60000000000002,2006,200.60000000000002,20433,-199.6500000000001
173.745900,0x132,6f 8e df 07 e5 4f,6,36463,364.63,2015,-201.5,2015,201.5,20453,-200.6500000000001
173.755800,0x132,68 8e d7 07 cc 4f,6,36456,364.56,2007,-200.70000000000002,2007,200.70000000000002,20428,-199.4000000000001
173.766000,0x132,6b 8e e3 07 f5 4f,6,36459,364.59000000000003,2019,-201.9,2019,201.9,20469,-201.45000000000005
173.775800,0x132,60 8e d6 07 d0 4f,6,36448,364.48,2006,-200.60000000000002,2006,200.60000000000002,20432,-199.60000000000002
173.785800,0x132,6a 8e de 07 e1 4f,6,36458,364.58,2014,-201.4,2014,201.4,20449,-200.45000000000005
173.796100,0x132,71 8e d9 07 d0 4f,6,36465,364.65000000000003,2009,-200.9,2009,200.9,20432,-199.60000000000002
173.805800,0x132,76 8e e2 07 ec 4f,6,36470,364.7,2018,-201.8,2018,201.8,20460,-201.0
173.815800,0x132,6e 8e d5 07 d3 4f,6,36462,364.62,2005,-200.5,2005,200.5,20435,-199.75
173.825800,0x132,6e 8e dd 07 e5 4f,6,36462,364.62,2013,-201.3,2013,201.3,20453,-200.6500000000001
173.835800,0x132,6c 8e d6 07 c7 4f,6,36460,364.6,2006,-200.60000000000002,2006,200.60000000000002,20423,-199.1500000000001
173.845900,0x132,76 8e e3 07 f3 4f,6,36470,364.7,2019,-201.9,2019,201.9,20467,-201.35000000000002
173.856000,0x132,67 8e d7 07 dc 4f,6,36455,364.55,2007,-200.70000000000002,2007,200.70000000000002,20444,-200.20000000000005
173.865900,0x132,60 8e de 07 e9 4f,6,36448,364.48,2014,-201.4,2014,201.4,20457,-200.85000000000002
173.875800,0x132,68 8e d6 07 c9 4f,6,36456,364.56,2006,-200.60000000000002,2006,200.60000000000002,20425,-199.25
173.885800,0x132,6e 8e e2 07 f1 4f,6,36462,364.62,2018,-201.8,2018,201.8,20465,-201.25
173.896100,0x132,6e 8e d7 07 dd 4f,6,36462,364.62,2007,-200.70000000000002,2007,200.70000000000002,20445,-200.25
173.905800,0x132,6f 8e de 07 eb 4f,6,36463,364.63,2014,-201.4,2014,201.4,20459,-200.95000000000005
173.915900,0x132,70 8e d4 07 c6 4f,6,36464,364.64,2004,-200.4,2004,200.4,20422,-199.10000000000002
173.925800,0x132,6d 8e e0 07 e7 4f,6,36461,364.61,2016,-201.60000000000002,2016,201.60000000000002,20455,-200.75
173.935800,0x132,6d 8e d7 07 d7 4f,6,36461,364.61,2007,-200.70000000000002,2007,200.70000000000002,20439,-199.95000000000005
173.946000,0x132,69 8e dd 07 ec 4f,6,36457,364.57,2013,-201.3,2013,201.3,20460,-201.0
173.955800,0x132,72 8e d3 07 c4 4f,6,36466,364.66,2003,-200.3,2003,200.3,20420,-199.0
173.965900,0x132,6e 8e e0 07 e6 4f,6,36462,364.62,2016,-201.60000000000002,2016,201.60000000000002,20454,-200.70000000000005
173.975800,0x132,66 8e d7 07 d8 4f,6,36454,364.54,2007,-200.70000000000002,2007,200.70000000000002,20440,-200.0
173.985800,0x132,64 8e df 07 f0 4f,6,36452,364.52,2015,-201.5,2015,201.5,20464,-201.20000000000005
173.996200,0x132,6e 8e d2 07 c9 4f,6,36462,364.62,2002,-200.20000000000002,2002,200.20000000000002,20425,-199.25
174.005800,0x132,6b 8e de 07 e4 4f,6,36459,364.59000000000003,2014,-201.4,2014,201.4,20452,-200.60000000000002
174.015900,0x132,66 8e d6 07 d0 4f,6,36454,364.54,2006,-200.60000000000002,2006,200.60000000000002,20432,-199.60000000000002
174.025800,0x132,6f 8e dd 07 f0 4f,6,36463,364.63,2013,-201.3,2013,201.3,20464,-201.20000000000005
174.035800,0x132,6d 8e d2 07 ce 4f,6,36461,364.61,2002,-200.20000000000002,2002,200.20000000000002,20430,-199.5
174.045900,0x132,76 8e dd 07 e6 4f,6,36470,364.7,2013,-201.3,2013,201.3,20454,-200.70000000000005
174.055800,0x132,6c 8e d6 07 c9 4f,6,36460,364.6,2006,-200.60000000000002,2006,200.60000000000002,20425,-199.25
174.065800,0x132,73 8e df 07 f4 4f,6,36467,364.67,2015,-201.5,2015,201.5,20468,-201.4000000000001
174.075800,0x132,6a 8e d3 07 d5 4f,6,36458,364.58,2003,-200.3,2003,200.3,20437,-199.85000000000002
174.085800,0x132,73 8e dc 07 e9 4f,6,36467,364.67,2012,-201.20000000000002,2012,201.20000000000002,20457,-200.85000000000002
174.096100,0x132,71 8e d4 07 cc 4f,6,36465,364.65000000000003,2004,-200.4,2004,200.4,20428,-199.4000000000001
174.105800,0x132,6f 8e df 07 f1 4f,6,36463,364.63,2015,-201.5,2015,201.5,20465,-201.25
174.115800,0x132,6a 8e d3 07 d5 4f,6,36458,364.58,2003,-200.3,2003,200.3,20437,-199.85000000000002
174.125800,0x132,73 8e db 07 e7 4f,6,36467,364.67,2011,-201.10000000000002,2011,201.10000000000002,20455,-200.75
174.135800,0x132,67 8e d2 07 c8 4f,6,36455,364.55,2002,-200.20000000000002,2002,200.20000000000002,20424,-199.20000000000005
