time_s,can_id,raw_hex,asc_dlc,current_raw_s15,current_onyx_a,current_factor_0_1_a,current_factor_0_125_a,voltage_raw_u13,voltage_onyx_v,fifth_byte
173.730300,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
173.829800,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
173.928800,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
174.029800,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
174.128800,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
174.228900,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
174.328800,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
174.428800,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
174.528800,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
174.628600,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
174.730900,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
174.829500,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
174.929300,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
175.029300,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
175.128900,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
175.228900,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
175.329000,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
175.428900,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
175.529000,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
175.628900,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
175.730300,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
175.829100,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
175.929100,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
176.029100,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
176.129100,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
176.228600,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
176.328600,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
176.428600,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
176.528600,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
176.628600,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
176.730700,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
176.829100,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
176.929100,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
177.029100,0x29D,d5 06 79 13 00,5,1749,128.1084783,174.9,218.625,4985,365.11236699999995,0
