event_id,time_s,event,basis
E00,0.0,采集开始/充前背景,脚本零点；CP输出电压电流均为0
E01,20.7178,充电口动作窗口,锁止候选先变化；DoorOpen候选仅短脉冲，语义未通过
E02,39.7192,插枪/连接识别窗口,EVSE类型候选0→1；线缆Present/Secured方向与名称冲突
E03,115.3922,车辆充电状态建立,BMS_uiChargeStatus 2→3；尚未建立直流电流
E04,130.0925,接触器重新闭合,BMS_contactorState回到4；仅作为部分高压证据
E05,140.0275,CP侧候选直流电压建立,电压先建立，不能定义实际充电开始
E06,145.0277,直流电流开始建立,CP电流首次>1 A；Pack原始电流同步转为充电方向
E07,173.73,短稳态窗口开始,数据状态稳定后选取，不采用脚本预定时间
E08,245.7336,停止候选事件,CP_stopChargeRequest出现；缺少独立实际停止触发记录
E09,246.2332,CP直流输出退出,停止候选后约0.500s降为0
E10,246.3925,车辆充电状态退出,BMS_uiChargeStatus 3→2
E11,273.5338,连接类型退出窗口,EVSE类型候选1→0；实际解锁/拔枪时刻无独立记录
