candidate,s0030_priority,S9_PRE_median,S9_PRE_min,S9_PRE_max,S9_CONNECTED_NOT_CHARGING_median,S9_CONNECTED_NOT_CHARGING_min,S9_CONNECTED_NOT_CHARGING_max,S9_CHARGING_HIGH_median,S9_CHARGING_HIGH_min,S9_CHARGING_HIGH_max,S9_STOPPED_CONNECTED_median,S9_STOPPED_CONNECTED_min,S9_STOPPED_CONNECTED_max,S9_UNLOCKED_CONNECTED_median,S9_UNLOCKED_CONNECTED_min,S9_UNLOCKED_CONNECTED_max,S9_UNPLUGGED_median,S9_UNPLUGGED_min,S9_UNPLUGGED_max,S9_APP_LOW_1_raw,S9_APP_LOW_1_offset_s,S9_APP_LOW_2_raw,S9_APP_LOW_2_offset_s,S9_APP_HIGH_raw,S9_APP_HIGH_offset_s,S9_VEHICLE_HIGH_raw,S9_VEHICLE_HIGH_offset_s,S9_VEHICLE_STOPPED_raw,S9_VEHICLE_STOPPED_offset_s
0x132/DLC6/B2,P1,247.0,246,249,248.0,247,249,180.0,178,181,247.0,3,249,247.0,246,248,247,246,249,90,-0.0032,181,0.0011,181,0.0044,180,-0.0038,247,-0.0001
0x204/DLC8/B4,P1,0.0,0,0,0.0,0,0,160.0,157,160,0.0,0,160,0.0,0,0,0.0,0,0,5,0.0459,160,0.0079,160,-0.0024,159,-0.0405,0,-0.0189
0x252/DLC8/B4,P1,0.0,0,0,0.0,0,0,244.0,244,244,0.0,0,244,0.0,0,0,0.0,0,0,244,0.0395,244,0.0037,244,-0.0048,244,-0.0424,0,-0.0078
0x292/DLC8/B6,P1,0.0,0,0,0.0,0,0,132.0,131,132,42.5,0,132,0.0,0,0,0.0,0,0,65,0.0397,130,0.0047,131,-0.0041,131,-0.0419,0,-0.0073
0x333/DLC5/B1,P1,16.0,16,16,16.0,16,16,32.0,32,32,5.0,5,32,5.0,5,5,16.0,16,16,32,0.1745,32,0.1357,32,0.1112,32,-0.1282,5,-0.0634
0x204/DLC8/B2,P2,0.0,0,0,0.0,0,0,71.0,70,71,0.0,0,71,0.0,0,0,0.0,0,0,72,0.0459,71,0.0079,71,-0.0024,70,-0.0405,0,-0.0189
0x204/DLC8/B3,P2,255.0,255,255,255.0,255,255,71.0,70,71,0.0,0,71,0.0,0,0,255.0,255,255,72,0.0459,71,0.0079,71,-0.0024,70,-0.0405,0,-0.0189
0x212/DLC8/B2,P2,0.0,0,0,0.0,0,0,32.0,32,32,9.5,0,32,0.0,0,0,0.0,0,0,15,0.0393,32,0.0034,32,-0.0045,32,-0.0425,0,-0.0096
0x212/DLC8/B5,P2,255.0,255,255,255.0,255,255,28.0,28,28,255.0,28,255,255.0,255,255,255.0,255,255,29,0.0393,28,0.0034,28,-0.0045,28,-0.0425,255,-0.0096
0x252/DLC8/B5,P2,168.0,168,168,168.0,168,168,177.0,169,177,128.0,8,209,128.0,128,128,128.0,128,128,169,0.0395,177,0.0037,177,-0.0048,177,-0.0424,128,-0.0078
0x264/DLC6/B2,P2,0.0,0,0,0.0,0,0,208.0,208,208,128.0,0,208,0.0,0,0,0.0,0,0,170,0.0461,208,0.0104,208,-0.0013,208,-0.0398,0,-0.0186
0x264/DLC6/B3,P2,0.0,0,0,0.0,0,0,71.0,70,72,0.0,0,72,0.0,0,0,0.0,0,0,38,0.0461,71,0.0104,71,-0.0013,70,-0.0398,0,-0.0186
0x2A3/DLC7/B4,P2,,,,,,,18.0,18,18,18.0,18,18,,,,,,,9,0.0173,18,-0.0188,18,-0.0267,18,0.035,,
0x472/DLC8/B1,P2,37,37,37,37.0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,18,-0.2004,37,-0.2354,37,0.2581,37,0.0185,37,-0.3473
